Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AERO ENG,1,32263,001,Aero Eng 1 Seminar,Panayiotis Papadopoulos,under,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2
AEROSPC,100,20727,001,Leadership Lab,Michael Kraft; Shawn Whitney; Megan Haley,under,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2
AEROSPC,135A,24604,002,Air Force Studies,Shawn Whitney,under,2,7,2,1,0,0,0,0,0,0,1,0,0,0,0
AEROSPC,1A,21062,001,Found Us Air Force,Megan Haley,under,7,4,5,1,0,0,1,1,0,0,0,0,0,0,4
AEROSPC,1A,24529,002,Found Us Air Force,Megan Haley,under,7,4,9,1,0,0,0,0,0,0,0,0,1,0,0
AEROSPC,2A,21061,001,Evolut Of Air Power,Michael Kraft,under,10,10,6,1,2,0,0,0,0,0,0,0,0,1,0
AEROSPC,2A,24530,002,Evolut Of Air Power,Michael Kraft,under,9,3,3,1,1,1,0,0,0,0,0,0,0,3,1
AFRICAM,100,32820,001,Black Intllctl Thgh,Leigh Raiford,under,0,23,15,5,4,0,0,0,0,0,0,0,0,4,0
AFRICAM,101,24655,001,Research Methods,Chiyuma Elliott,under,5,14,5,0,5,2,1,1,0,0,0,0,3,4,0
AFRICAM,116,30420,001,Slavery And African,Ula Taylor,under,0,10,6,4,4,3,3,0,3,0,0,1,4,3,1
AFRICAM,11A,20722,001,Elementary Swahili,David Kyeu,under,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0
AFRICAM,159,30422,01,Spec Top Afam Lit,Sam Mchombo,under,3,5,5,4,3,1,1,1,0,0,0,0,0,1,0
AFRICAM,164,23517,001,Spoken Word:  Oral,Aya De Leon,under,0,19,4,3,2,0,0,0,0,0,0,0,0,2,0
AFRICAM,198BC,16646,001,Directed Group Stud,Keith Feldman; Akilah Favors,under,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
AFRICAM,27AC,23651,001,Lives/Strug/Maj Cul,Michael Cohen,under,0,94,48,20,15,1,3,0,0,0,0,0,2,24,4
AFRICAM,4A,20723,001,Africa:  Hist & Cul,Arif Gamal,under,55,19,1,1,4,0,0,0,1,0,0,0,3,9,0
AFRICAM,5A,20732,001,Afam Life & Cul U S,Brandi Catanese,under,0,94,2,0,1,1,0,0,0,0,0,0,0,4,0
AFRICAM,C133A,25447,001,Race Urban Sch,Travis Bristol; Hoyun Kim,under,0,25,7,2,0,0,0,0,0,0,0,0,0,3,0
AFRICAM,R1B,23293,001,Freshmn Composition,Nikki Jones; Michael Myers II,under,0,9,2,0,0,0,0,0,0,0,1,0,0,2,0
