Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
L & S,125,52146,001,Time,Mark Richards; Raphael Bousso; Walter Alvarez,under,5,9,3,5,10,0,2,1,0,0,0,0,0,19,3
COM LIT,R1A,17209,003,Engl Comp World Lit,Ashley Brock; Victoria Kahn,under,0,1,2,5,9,0,0,0,1,0,0,0,0,0,0
COMPSCI,198,25756,041,Directed Group Stdy,Cameron Baradar; Michel Maharbiz,under,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
MCELLBI,98,57677,010,Directed Group Stdy,Colby Gekko; Hyaejeen Jeon; Michael Eisen,under,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
ITALIAN,R5B,46954,003,Reading & Comp,Leslie Elwell,under,0,2,6,6,3,0,0,0,0,0,0,0,0,0,0
LD ARCH,170,48533,001,Hist/Lit Ld Arch,Katherine Rinne,under,1,5,6,3,5,5,1,2,2,0,0,0,5,1,1
COMPSCI,98,26253,001,Directed Group Stdy,Daniel Garcia,under,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3
ESPM,198,29979,013,Directed Group Stdy,Scott Stephens,under,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
UGBA,192T,08286,001,Topics In Csr,Kellie Mcelhaney,under,0,8,4,7,5,0,0,0,0,0,0,0,0,2,0
MATH,110,54110,001,Linear Algebra,Edward Frenkel,under,20,59,53,27,33,12,36,28,20,0,0,0,40,13,13
POLECON,101,71227,001,Contemp Theo Pol Ec,Khalid Kadir,under,4,12,24,33,37,12,10,2,6,0,0,1,3,4,0
JAPAN,1B,21015,005,Elementary Japanese,Maki Takata; Noriko Knickerbocker; Wakae Kambara,under,0,7,4,1,0,1,0,0,0,0,0,0,0,4,1
FRENCH,2,32251,004,Elementary French,Nelly Timmons; Seda Chavdarian,under,0,7,2,4,2,0,0,0,0,0,0,0,0,1,1
PHYS ED,12,68139,003,Pe Activities,Dave O'Neill; M. Scott,under,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2
NUSCTX,170,64749,001,Exper Nutrition Lab,Dale Leitman,under,2,11,6,4,1,0,0,0,0,0,0,0,0,0,0
GWS,20,32915,001,Intro Feminist Theo,Minoo Moallem,under,0,20,16,5,5,0,0,0,0,0,0,0,0,1,0
ASTRON,7B,05906,001,Intro Astrophysics,Eugene Chiang,under,3,9,3,7,7,5,0,3,0,0,1,0,3,0,1
COM LIT,R1A,17458,006,Engl Comp World Lit,Jeffrey Weiner; Victoria Kahn,under,1,0,2,4,3,3,0,2,0,0,0,0,0,0,0
MATH,54,53939,003,Lin Alg & Diff Eqns,Lior Pachter,under,51,68,85,45,57,56,29,29,8,9,4,5,20,6,11
UGBA,100,07911,006,Business Comm,Ericka Lutz,under,0,4,6,7,0,0,0,0,0,0,1,0,0,0,0
HIN-URD,1B,84603,001,Intrd Hindi,Pranjali Sirasao,under,3,5,2,1,1,0,0,0,0,0,0,0,0,1,0
PHYSICS,8A,68970,002,Intro Physics,Michael Deweese,under,13,51,13,36,47,32,44,32,15,0,3,0,0,1,1
ENGLISH,198,28229,010,Directed Group Stdy,Georgina Kleege,under,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
THEATER,10,88130,002,Intro To Acting,Samuel Haley-Hill,under,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0
JAPAN,1B,21009,003,Elementary Japanese,Noriko Knickerbocker; Wakae Kambara; Yasuko Baker,under,0,8,3,0,3,0,1,0,0,0,0,0,0,3,0
MCELLBI,198,59060,008,Directed Group Stdy,Antara Rao; Gary Firestone; Prithi Polavarapu,under,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
MATH,104,54092,002,Intro To Analysis,Virginia Harrison,under,1,6,0,1,1,2,0,1,0,0,0,0,9,1,3
ENV DES,1,28653,001,Intro To Env Des,Nicholas De Monchaux,under,0,15,11,21,15,6,2,2,0,0,0,0,1,3,0
ART,132,04517,001,App To Sculp Ceram,Erik Scollon,under,0,5,10,2,1,0,0,0,0,0,0,0,0,1,0
ENGLISH,43B,27875,001,Intro/Writing Verse,Claire Marie Stancek; Lyn Hejinian,under,0,3,3,3,0,0,0,0,0,0,0,0,0,1,0
ISF,190,45563,003,Senior Thesis,Earl Klee,under,0,7,6,1,0,1,0,0,4,0,0,1,0,0,0
FRENCH,3,32281,005,Intermediate French,Trevor Sanders; Vesna Rodic,under,0,3,2,3,1,0,0,0,0,0,0,0,0,5,1
AFRICAM,142AC,00782,001,Race/American Film,Justin Gomer,under,1,5,10,5,4,7,7,0,1,0,0,0,1,13,1
INTEGBI,24,42118,006,Freshman Seminars,Roy Caldwell,under,0,9,4,0,0,1,0,0,0,0,0,0,1,1,0
