Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AEROSPC,135B,18803,001,Air Force Studies,Andrew Emerson,under,0,2,4,0,0,0,0,0,0,0,0,0,0,5,0
AEROSPC,1A,23721,001,Found Us Air Force,Beverly Davis,under,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0
AEROSPC,1B,18799,001,Found Us Air Force,Beverly Davis,under,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0
AEROSPC,2B,18801,001,Evolut Of Air Power,Beverly Davis,under,0,11,0,0,0,0,0,0,0,0,0,0,0,13,0
AFRICAM,100,22924,001,Black Intllctl Thgh,Leigh Raiford,under,0,7,0,0,0,0,0,0,0,0,0,0,0,37,2
AFRICAM,101,18829,001,Research Methods,Janelle Perry,under,0,3,3,1,0,0,0,0,0,0,0,0,0,10,0
AFRICAM,115,23989,001,Lang Soc Iss Africa,Sam Mchombo,under,6,5,2,1,0,0,0,0,0,0,0,0,0,15,0
AFRICAM,11B,18810,001,Elementary Swahili,Sam Mchombo,under,0,2,2,0,0,0,0,0,0,0,0,0,0,7,1
AFRICAM,120,22672,001,Africa From Revolut,G Ugo Nwokeji,under,1,4,5,2,0,0,0,0,0,0,0,0,0,17,0
AFRICAM,131,18830,001,"Carib Soc, Cultures",Michel Laguerre,under,0,26,0,0,0,0,0,0,0,0,0,0,0,23,0
AFRICAM,142AC,18831,001,Race/American Film,Elizabeth Lowe Hunter; Michael Cohen,under,0,15,0,0,0,0,0,0,0,0,0,0,0,86,0
AFRICAM,152F,31083,1,Neo-Slave Narrative,Darieck Scott,under,5,5,1,0,0,0,0,0,0,0,0,0,0,9,1
AFRICAM,156AC,18832,001,Poetry 4 People:Int,Aya De Leon,under,0,13,8,3,0,0,0,0,0,0,0,0,0,43,0
AFRICAM,158B,18839,001,Poet 4 People:Prac,Aya De Leon,under,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
AFRICAM,159,18840,001,Spec Top Afam Lit,Gladys Wilkerson,under,7,5,2,1,0,0,0,0,0,0,0,0,0,2,1
AFRICAM,194B,22579,001,Aatp Seminar,Takiyah Jackson,under,0,27,0,0,5,0,0,0,0,0,0,0,0,15,1
AFRICAM,28AC,18812,001,Glob & Min Am Comm,Stephen Small,under,0,9,5,3,0,2,0,0,0,0,0,0,0,49,2
AFRICAM,39B,31073,001,Fresh/Soph Seminar,John Patton,under,4,21,0,0,0,0,0,0,0,0,0,0,0,7,0
AFRICAM,5B,23258,001,Afam Life & Cul U S,Nikki Jones,under,0,33,0,0,0,0,0,0,0,0,0,0,0,44,0
AFRICAM,C156,22607,001,"Race, Space, Ineq",Jovan Lewis,under,42,1,0,0,0,0,0,0,0,0,0,0,0,9,0
AFRICAM,R1A,18804,001,Fresh Composition,Ian Steele; Nikki Jones,under,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0
AFRICAM,R1B,22336,001,Freshmn Composition,John Mundell; Nikki Jones,under,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0
AFRICAM,R1B,22901,002,Freshmn Composition,Michael Myers Ii; Nikki Jones,under,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0
AMERSTD,10,18860,001,Intro American Stdy,Christine Palmer; Mark Brilliant,under,0,5,2,1,3,1,1,2,0,0,0,0,1,32,4
AMERSTD,101,18863,001,Us Cultures In Time,Sarah Gold Mcbride,under,0,2,5,9,1,0,0,0,0,0,0,0,0,42,0
AMERSTD,102,18864,001,Us Cultures/Place,Jon Winet,under,0,17,0,3,0,0,0,0,0,0,0,0,0,16,4
AMERSTD,102,31061,002,Us Cultures/Place,Alexander Craghead,under,0,1,0,0,3,0,0,0,0,0,0,0,0,6,2
AMERSTD,191,16049,001,Senior Seminar,Sarah Gold Mcbride,under,0,1,2,1,1,0,0,0,0,0,0,0,0,10,0
AMERSTD,191,16050,002,Senior Seminar,Michael Cohen,under,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1
AMERSTD,C111E,22367,001,Topics In Amer Stud,Scott Saul,under,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0
AMERSTD,H110,30343,001,Honors Seminar,Christine Palmer,under,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0
AMERSTD,H195,18517,001,Honors Thesis,Christine Palmer,under,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0
ANTHRO,1,18866,001,Intro To Bio Anthro,Sabrina Agarwal,under,38,24,9,4,7,1,1,1,1,0,0,0,0,148,8
ANTHRO,111,30503,001,Human Behavior,Terrence Deacon,under,6,7,4,4,4,1,2,1,0,0,0,0,0,63,2
ANTHRO,112,18931,001,Sp Topics: Bio Anth,Christopher Lowman,under,0,20,1,0,0,0,0,0,0,0,0,0,0,3,0
ANTHRO,114,22943,001,Hist/Anthro Thought,Ann Danis; Rosemary Joyce,under,10,23,8,0,8,0,0,1,0,0,0,0,0,60,0
ANTHRO,115,23324,001,Intro Med Anthro,Deborah Gordon,under,3,13,3,0,1,0,0,0,0,0,0,0,0,13,0
ANTHRO,121C,30520,001,Hist Artifact/Analy,William White,under,0,11,0,0,0,0,0,0,0,0,1,0,0,21,0
ANTHRO,122F,10004,001,Calif Archaeology,Kent Lightfoot,under,9,22,7,0,1,0,0,0,0,0,0,0,0,18,1
ANTHRO,123A,30522,001,Old World Prehistor,Lisa Maher,under,14,3,3,0,0,0,0,0,0,0,0,0,0,11,0
ANTHRO,124B,31017,001,Hawaiian Ehtnohist,Kirsten Vacca,under,5,8,0,0,0,0,0,0,0,0,0,0,0,14,1
ANTHRO,136G,22952,001,Cultural Policy,Rosemary Joyce,under,18,4,0,0,1,0,0,0,0,0,0,0,0,19,0
ANTHRO,137,18934,001,Energy/Cult/Soc Org,Laura Nader,under,8,3,4,3,0,1,0,0,0,0,0,0,0,36,2
ANTHRO,156A,31120,001,Politics And Anthro,James Holston,under,5,10,1,0,0,0,0,0,0,0,0,0,0,12,0
ANTHRO,158,30921,001,Religion & Anthro,Charles Hirschkind,under,18,14,4,4,2,0,0,0,0,0,0,0,0,15,1
ANTHRO,160AC,22245,001,Forms Of Folklore,Charles Briggs,under,19,25,5,0,0,0,0,0,0,0,0,0,0,45,2
ANTHRO,162,22572,001,Topics In Folklore,Fethiye Meltem Turkoz,under,4,14,4,0,0,0,0,0,0,0,0,0,0,12,0
ANTHRO,169B,30684,001,Res Theo/Meth Soc,Lawrence Cohen,under,2,3,3,0,0,0,0,0,0,0,0,0,0,9,0
ANTHRO,169C,23609,001,Ling Anthr Method,William Hanks,under,0,8,1,0,1,0,0,0,0,0,0,0,0,7,0
ANTHRO,189,30689,006,Spec Top:Soc/Cult,Corinne Hayden,under,4,5,2,1,3,0,0,0,0,0,0,0,0,12,0
ANTHRO,189,32060,004,Spec Top:Soc/Cult,Daena Funahashi,under,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0
ANTHRO,24,32740,002,Freshman Seminar,Rosemary Joyce,under,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0
ANTHRO,2AC,18883,001,Intro Archaeology,Jun Sunseri,under,26,65,8,2,1,1,0,0,0,0,0,0,0,103,3
ANTHRO,3AC,18894,001,Intro Soc/Cult Ac,Stefania Pandolfo,under,116,104,19,1,1,1,0,0,0,0,0,0,0,101,3
ANTHRO,R5B,18917,001,Reading & Comp,Burcu Tung Umurhan; Rosemary Joyce,under,2,9,0,0,0,0,0,0,0,0,0,0,0,3,0
ANTHRO,R5B,18919,003,Reading & Comp,Ashwak Hauter; Rosemary Joyce,under,4,5,1,0,0,0,0,0,0,0,0,0,0,5,0
ANTHRO,R5B,18918,002,Reading & Comp,Lisa Min; Rosemary Joyce,under,0,9,1,0,0,0,0,0,0,0,0,0,0,6,0
ANTHRO,R5B,18920,004,Reading & Comp,Ricardo Rivera; Rosemary Joyce,under,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0
ARABIC,100B,18978,001,Advanced Arabic,Haitham Mohamed,under,4,5,2,0,0,0,0,0,0,0,0,0,0,4,0
ARABIC,111B,24164,001,Survey Of Arab Lit,Ahmad Diab,under,0,2,2,0,0,0,0,0,0,0,0,0,0,6,0
ARABIC,115B,30820,001,Colloquial Arabic,Haitham Mohamed,under,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0
ARABIC,1B,18972,003,Elementary Arabic,Elsa Elmahdy; Lubna Safi,under,1,6,1,0,0,0,0,0,0,0,0,0,0,3,0
ARABIC,1B,18973,004,Elementary Arabic,Amel Belguith,under,1,8,0,0,0,0,0,0,0,0,0,0,0,4,0
ARABIC,20B,18976,002,Intermediate Arabic,Hatem Bazian,under,3,2,0,0,0,0,0,0,0,0,0,0,0,6,0
ARABIC,20B,18975,001,Intermediate Arabic,Amel Belguith,under,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0
ARCH,100B,13072,001,Fund Of Arch Design,Gerard Creedon,under,0,15,16,11,7,0,0,0,0,0,0,0,0,59,0
ARCH,100D,13086,003,Arch Design Iv,Kyle Steinfeld,under,3,2,2,1,0,0,0,0,0,0,0,0,0,7,0
ARCH,100D,13234,006,Arch Design Iv,Eleanor Pries,under,2,5,2,0,0,0,0,0,0,0,0,0,0,4,0
ARCH,100D,32406,007,Arch Design Iv,Logman Arja,under,1,9,0,0,0,0,0,0,0,0,0,0,0,4,1
ARCH,100D,13087,004,Arch Design Iv,Sarah Hirschman,under,0,5,3,4,0,1,0,0,0,0,0,0,0,1,0
ARCH,100D,13088,005,Arch Design Iv,David Jaehning,under,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0
ARCH,100D,33450,008,Arch Design Iv,Peter Zellner,under,0,7,2,1,1,0,0,0,0,0,0,0,0,2,0
ARCH,11B,13060,001,Intro To Design,Rudabeh Pakravan; Rudabeh Pakravan,under,0,14,15,6,7,0,0,0,0,0,0,0,1,29,1
ARCH,140,13092,001,Energy & Enviro,Gail Brager; Stet Sanborn,under,3,25,7,4,3,1,1,0,0,0,0,0,0,73,0
ARCH,160,13099,001,Intro Construction,Dana Buntrock,under,0,4,0,0,0,1,0,0,0,0,0,0,0,115,0
ARCH,170B,13105,001,"Hist, Arch&Urbanism",Margaret Crawford,under,26,4,6,0,0,0,0,0,0,0,0,0,0,102,0
ARCH,98,33336,003,Directed Group Stdy,Alexandra Zhao; Greg Castillo; Wan Chi Li,under,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
ARMENI,102,30645,001,Adv Reading Armeni,Myrna Douzjian,under,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0
ARMENI,124,30646,001,Armenian Literature,Myrna Douzjian,under,0,7,3,1,1,1,0,0,0,0,0,0,0,14,0
ART,100,18995,001,Collaborative Innov,Greg Niemeyer,under,0,17,0,0,0,0,0,0,0,0,0,0,0,15,0
ART,102,22035,001,Adv Ptng R&M,Craig Nagasawa,under,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0
ART,103,23274,001,Adv Pntng Portrait,Kenyatta Hinkle,under,3,4,0,0,0,0,0,0,0,0,0,0,0,12,0
ART,117,18997,001,Adv Draw Re/Methods,Aida Gamez,under,5,8,0,0,0,0,0,0,0,0,0,0,0,3,0
ART,118,18998,001,Adv Draw Figure,Indira Morre,under,8,11,0,0,0,0,0,0,0,0,0,0,0,2,0
ART,119,18999,001,Gpca,Asma Kazmi,under,2,7,1,0,0,0,0,0,0,0,0,0,0,11,0
ART,12,22031,001,Drawing: Fdns,Christopher Christion,under,0,11,0,1,0,0,0,0,0,0,0,0,0,12,1
ART,120,22039,101,Adv Prntmg Intaglio,Randy Hussong,under,0,6,1,0,0,0,0,0,0,0,0,0,0,4,0
ART,123,19000,001,Adv Prntmkg Screen,Randy Hussong,under,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0
ART,13,22032,001,Painting: Fdns,Christina Klein-Tross,under,8,5,1,0,0,0,0,0,0,0,0,0,0,4,0
ART,13,22033,002,Painting: Fdns,Craig Nagasawa,under,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0
ART,137,30307,001,Adv Proj Ceram Scul,Cathy Lu,under,3,8,1,0,0,0,0,0,0,0,0,0,0,5,0
ART,138,32077,001,Installation,Brody Reiman,under,2,5,0,0,0,0,0,0,0,0,0,0,0,10,0
ART,14,18985,001,Sculpture: Fdns,Dana Hemenway,under,5,4,0,0,0,0,0,0,0,0,0,0,0,6,0
ART,15,18986,001,Ceramics: Fdns,Nicki Green,under,0,14,0,0,0,0,0,0,0,0,0,0,0,7,0
ART,160,32609,001,Spec Topics Vis Std,Jill Miller,under,1,11,0,0,0,0,0,0,0,0,0,0,0,6,0
