Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
MUSIC,140,67815,001,Javanese Gamelan,Midiyanto Midiyanto,under,2,16,1,0,0,0,0,0,0,0,0,0,0,1,0
COLWRIT,7J,27140,001,Amer Cult Ca Cultur,Margi Wald; Michele Rajotte,under,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
THEATER,118AC,87863,001,"Perf, Tv, Soc Media",Abigail De Kosnik; Kate Mattingly; Martha Herrara-Lasso Gonzalez,under,57,18,3,6,2,1,1,2,0,0,1,0,1,19,6
FRENCH,13,48850,001,Intermed Convers,Leslie Martin,under,0,6,2,1,2,0,0,0,0,0,0,0,0,0,0
CIV ENG,130N,38520,001,Mech Of Structures,Clement Barthes,under,8,6,9,2,6,2,0,2,2,0,0,0,0,1,1
AFRICAM,139,10185,002,Sel Top:Africam Soc,Kimberly Mcnair; Nailah Suad-Bakari,under,0,2,1,3,1,3,1,0,0,0,1,0,0,1,0
MATH,16B,63495,001,Anal Geo & Calculus,Anh-Trang Nguyen; Mark Haiman,under,6,6,3,3,1,2,0,4,1,0,0,0,0,0,1
PSYCH,139,78905,001,Clinical Case Study,James Mchale,under,0,19,4,0,3,0,1,1,0,0,0,0,0,0,1
AMERSTD,180D,11530,001,Race And Humor,Beth Piatote,under,0,3,0,3,7,0,0,5,3,1,3,0,14,11,1
ART,21,14035,001,Digital Photography,Michelle Ott,under,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0
MATH,185,63970,001,Complex Analysis,Edward Scerbo; Mark Haiman,under,2,9,5,5,5,3,5,2,0,0,2,0,1,0,1
SOCIOL,150,83360,001,Social Psych,Brian Powers,under,2,12,7,5,2,1,0,0,0,0,0,0,2,2,1
LINGUIS,C105,62145,001,Mind And Language,Oana David,under,0,1,2,4,3,2,2,2,1,0,0,0,0,1,1
PSYCH,8,79560,001,Music And The Brain,Elise Piazza,under,0,8,14,4,5,4,3,1,1,1,0,0,0,14,2
SOC WEL,155,82790,001,Hum Svcs Fndraising,Kimberly Klein,under,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0
ITALIAN,R5B,56210,101,Reading & Comp,Albert Ascoli; Soledad Anatrone,under,0,4,5,1,2,1,0,0,0,0,0,0,0,0,0
PHYSICS,8B,74105,001,Intro Physics,Terrence Buehler,under,6,16,11,8,27,8,6,15,5,0,3,0,4,2,2
INTEGBI,128,54205,001,Sports Medicine,Charles Mclaughlin,under,3,12,7,4,6,5,2,2,0,0,0,0,0,2,0
COLWRIT,8,27195,009,Engl As Second Lang,Jennifer Johnson; Margi Wald,under,2,3,4,3,1,0,1,0,2,0,0,0,1,0,0
ENV DES,1,45105,001,Intro To Env Des,W Martin,under,0,9,25,12,2,0,0,0,0,0,0,0,1,0,0
HISTORY,N119A,52550,001,Postwar Japan,Andrew Barshay,under,0,3,12,5,1,0,0,0,0,0,0,0,0,4,0
ESPM,105A,46085,001,Sierra Nevada Ecol,Kevin O'Hara,under,0,10,15,4,1,2,1,1,0,0,0,0,0,0,0
JAPAN,1,56808,002,Elem Japan Intens,Keiko Yukawa; Maki Takata; Yasuko Baker; Yumi Konishi,under,1,3,3,2,0,1,0,0,0,0,0,0,0,5,1
SPANISH,2,85215,001,Elem Spanish,Jacqueline Bialostozky; Miriam Hernandez-Rodriguez,under,0,7,0,1,1,1,0,2,2,0,0,0,1,3,0
SPANISH,135,85285,002,Hispanic Literature,Pablo Baler,under,1,12,0,2,3,0,1,0,0,0,0,0,0,1,0
NWMEDIA,90,70603,001,Intro New Media,Greg Niemeyer; Kyle Booten,under,0,14,2,0,0,1,0,0,0,0,0,0,0,2,0
CIV ENG,174,38530,001,Engineering Geomati,Robert Kayen,under,0,2,6,1,2,0,0,0,0,0,0,0,0,2,0
ART,8,14023,005,Intro Vis Thinking,Leslie Dreyer,under,8,2,1,0,0,0,0,0,1,0,0,0,2,0,0
INTEGBI,117LF,54200,003,Med Ethnobotany Lab,Arielle Halpern; Thomas Carlson,under,1,2,1,1,1,0,0,0,0,0,0,0,0,4,3
POLECON,100,77105,001,Theory Of Pol Econ,Stephanie Ballenger,under,0,0,8,3,13,3,4,0,1,0,0,0,0,3,0
GERMAN,R5B,50650,001,Reading And Comp,Emina Musanovic,under,0,10,6,0,1,0,0,0,0,0,0,0,0,0,0
MUSIC,25A,67725,001,Music Theory,Robert Yamasato,under,0,9,4,3,2,1,0,0,1,0,0,0,0,3,0
COMPSCI,61A,28630,001,Str Interp Cmp Prgs,Albert Wu; Robert Huang,under,16,43,32,32,49,23,8,16,12,2,2,4,13,34,34
MATH,54,63730,007,Lin Alg & Diff,Alexander Zorn; Mark Haiman,under,1,5,5,4,5,1,2,8,1,0,0,0,1,2,0
