Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AFRICAM,125AC,14113,001,Hist Mod Civ Rt Mov,Ula Taylor,under,0,47,40,16,4,12,5,0,2,0,0,0,5,30,4
AFRICAM,136L,13218,001,Criminal Jus Sur Am,Nikki Jones; Brittani McLemore,under,3,10,0,2,2,1,0,1,0,0,2,0,0,1,0
AFRICAM,139L,14114,001,Spec Top Race Law,Frederick Vincent,under,4,32,0,1,0,0,0,0,0,0,0,0,0,1,0
AFRICAM,R1A,15057,001,Fresh Composition,Nikki Jones; Zana Sanders,under,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,W111,13422,001,"Race, Class & G",Nitoshia Ford; Stephen Small,under,6,6,14,8,2,2,2,0,0,0,1,0,2,6,1
AGRS,10A,15343,001,Intro Ancnt Greece,Dylan Sailor; Jesse Obert,under,1,3,4,0,0,0,0,0,0,1,0,0,0,3,0
AGRS,N28,15342,001,Greek & Roman Myths,Dylan Sailor; Marissa Henry,under,1,12,1,1,0,0,0,0,0,0,0,0,0,1,0
AMERSTD,101,13312,001,Us Cultures In Time,Alexander Craghead,under,1,4,0,2,4,2,0,0,0,0,0,0,0,0,0
ANTHRO,112,13278,001,Sp Topics: Bio Anth,Sabrina Agarwal; Trent Trombley,under,2,6,5,4,2,1,1,0,1,0,0,0,3,2,0
ANTHRO,122H,16048,001,Afr Am Archaeology,William White,under,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0
ANTHRO,2AC,14190,001,Intro Archaeology,Christopher Lowman,under,17,26,10,0,3,3,2,1,0,0,0,0,2,3,0
ANTHRO,3AC,13989,001,Intro Soc/Cult Ac,Brian Karl,under,19,27,11,9,3,6,2,0,0,0,0,0,4,3,1
ANTHRO,R5B,15404,006,Reading & Comp,Gustav Steinhardt; Rosemary Joyce,under,0,2,5,2,0,1,0,1,1,0,0,0,0,0,0
ARCH,108,15724,001,Arch Internship,Mark Schatz,under,0,8,4,0,2,0,0,1,0,0,0,0,0,2,0
ARCH,11B,15539,001,Intro To Design,Joseph Kennedy,under,1,1,2,1,1,4,0,0,0,1,0,0,0,0,0
ARCH,124A,15729,001,Digital Dsgn Methds,Ari Bible,under,0,1,2,0,1,1,0,0,0,0,0,0,1,5,3
ARCH,125A,15739,002,Bldng Info Tech,Christina Lin; John Schlueter,under,0,0,3,1,0,1,2,2,0,0,0,0,1,9,0
ARMENI,128,13921,001,Armeni Art Culture,Myrna Douzjian,under,0,7,1,1,2,1,0,0,0,0,0,0,0,3,0
ART,103,14340,001,Adv Pntng Portrait,Gabrielle Wolodarski,under,0,6,5,2,0,0,0,0,0,0,0,0,0,1,0
ART,119,13195,001,Gpca,Sholeh Asgary,under,7,5,1,2,1,0,0,0,0,0,0,0,0,1,0
ART,119,13996,002,Gpca,Genevieve Quick,under,2,3,7,3,1,1,0,0,0,0,0,0,0,0,0
ART,12,13233,001,Drawing: Fdns,Fred Dewitt,under,2,7,0,0,0,0,0,0,0,0,0,0,0,2,0
ART,13,13369,001,Painting: Fdns,Jill Miller; Jennifer Harrower,under,9,3,4,0,0,0,0,1,0,0,0,0,1,0,0
ART,15,14332,001,Ceramics: Fdns,William Tool,under,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ART,15,15535,002,Ceramics: Fdns,William Tool,under,2,15,0,0,0,0,0,0,0,0,0,0,0,1,0
ART,180,13997,001,Advanced Digital Ph,Arielle Rebek,under,0,8,5,0,0,0,0,1,0,0,0,0,0,0,0
ART,21,13252,001,Digital Photo: Fdns,Jill Miller; Eniola Fakile,under,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ART,21,14112,002,Digital Photo: Fdns,Greg Niemeyer; Eniola Fakile,under,7,1,1,0,0,0,0,0,0,0,0,0,0,2,0
ART,23AC,15529,001,Digital Media: Fdns,Greg Niemeyer; Fei Pan,under,3,21,5,3,1,0,0,0,0,0,0,0,1,9,1
ART,25,14333,001,Graphic Novel: Fdns,Gaia WXYZ,under,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0
ART,8,15548,101,Intro Vis Thinking,Greg Niemeyer; Samuel Wildman,under,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ART,8,15549,201,Intro Vis Thinking,Greg Niemeyer; Rivka Louissaint,under,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0
ART,8,15550,301,Intro Vis Thinking,Greg Niemeyer; Irma Barbosa,under,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ASAMST,128AC,14246,001,Muslims In America,Hatem al-Bazian,under,1,7,4,0,0,0,0,0,0,0,0,0,0,0,1
ASAMST,20AC,15394,001,As Am Comm Race Rel,Harvey Dong,under,0,57,4,2,7,0,0,0,1,0,0,0,1,10,0
ASAMST,R2A,15338,001,Reading&Composition,Khatharya Um; Ryan Ikeda,under,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0
ASTRON,10,13998,002,General Astronomy,Bryan Mendez,under,0,5,6,2,1,2,0,0,0,0,1,0,0,1,0
ASTRON,9,14176,004,Select Topics Astro,Daniel Klyde,under,1,24,3,0,1,1,0,1,1,0,1,0,4,7,4
ASTRON,9,15704,003,Select Topics Astro,Bryan Mendez,under,0,1,1,1,0,0,2,1,0,0,0,0,2,3,1
ASTRON,W12,13432,001,The Planets,Burkhard Militzer,under,0,6,2,1,3,0,2,1,1,0,0,0,1,9,1
BIOLOGY,1A,13437,001,General Biology Lec,Michael Meighan; Erol Kepkep; Mark Barnby; Christina Lewis,under,0,30,8,8,17,6,6,7,7,0,0,0,1,2,1
BIOLOGY,1AL,13861,001,General Biology Lab,Michael Meighan; Erol Kepkep; Steve Takata; Mark Barnby,under,2,37,17,11,15,4,0,0,0,0,0,0,1,1,0
BIOLOGY,1B,13447,001,General Biology,Brett Boltz; Alan Shabel; Joshua Povich,under,4,22,15,5,15,12,7,7,5,1,1,0,2,0,0
CHEM,1A,14937,001,General Chemistry,Mark Kubinec,under,0,17,4,5,18,3,9,5,3,0,9,0,8,1,1
CHEM,1AL,14939,001,General Chem Lab,Debjani Roy,under,11,11,19,7,9,7,2,5,3,4,3,2,2,1,0
CHEM,32,14969,001,Prep For Gen Chem,Debjani Roy,under,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21
CHEM,34,15390,001,Genchem Prep Coc Mj,Evan Miller; Anneliese Gest; Abigail Hinojosa,under,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0
CHEM,3A,14946,001,Chem Struct React,Peter Marsden,under,12,44,14,13,14,12,12,5,4,1,0,0,10,1,2
CHEM,3AL,14950,001,Organic Chem Lab,Peter Marsden,under,17,56,34,20,8,5,1,0,1,0,0,0,1,1,0
CHEM,3B,14961,001,Chem Struct React,Kevin Sibucao,under,3,13,8,6,13,5,12,12,8,7,7,5,10,0,1
CHEM,3BL,14962,001,Organic Chem Lab,Kevin Sibucao,under,13,8,12,17,9,6,4,2,2,1,1,0,1,0,0
CHICANO,110,14004,001,Latina/O Phil & Rel,Lara Medina,under,1,2,4,0,4,0,0,0,0,0,0,0,0,0,0
CHICANO,130,14219,001,Mex Chic Art Hist,Jesus Barraza,under,7,5,1,0,0,0,0,1,0,0,0,0,0,2,0
CHICANO,135C,14005,001,Latino Doc Film,Raymond Telles; David Maldonado,under,9,25,2,0,0,0,0,0,0,0,0,0,2,8,0
CHICANO,50,14001,001,Intro Chicano Hist,Juan Berumen; Fernanda Rivera,under,9,20,10,7,3,1,1,2,1,0,0,1,1,1,0
CHICANO,N180,14341,001,Sel Top Cl Std Abrd,Pablo Gonzalez,under,0,32,1,1,0,0,0,0,0,0,0,0,0,0,0
CHINESE,7B,14006,001,Modern Chinese Lit,Robert Ashmore; Zijing Fan,under,0,5,2,1,0,0,0,0,0,0,0,0,0,3,0
COG SCI,131,13775,001,Comp Models Of Cog,Jose Ramirez,under,17,4,2,0,0,0,0,0,0,0,0,0,1,0,0
COG SCI,190,15299,004,Spec Topics Cog Sci,Adam Croom,under,44,5,2,2,0,0,0,0,0,0,0,0,5,1,1
COG SCI,N1,13272,001,Intro To Cog Sci,Adam Croom,under,98,6,2,1,1,0,1,1,1,0,0,0,0,4,1
COG SCI,N1,14177,002,Intro To Cog Sci,Adam Croom,under,91,14,3,3,3,0,0,7,2,2,0,0,6,3,1
COLWRIT,10A,13288,002,Public Speaking,Becky Hsu,under,1,15,1,0,1,0,0,0,0,0,0,0,0,0,0
COLWRIT,10A,14318,001,Public Speaking,Lindsey Lanfersieck,under,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0
COLWRIT,11,15493,001,Changemkr Pub Spk,David Wiese,under,14,25,3,1,5,0,0,0,0,0,2,0,4,20,4
COLWRIT,134,14439,002,Craft Of Poetry,Tory Adkisson,under,0,9,0,0,0,0,0,0,1,0,0,0,0,2,0
COLWRIT,135,14410,003,Creat Writ Workshop,Joseph Horton,under,0,14,0,0,0,1,0,0,0,0,0,0,1,1,0
COLWRIT,3J,15760,001,Am Cult Sci Tech,Margi Wald; David Wiese; John McClain,under,0,9,2,0,0,0,0,0,0,0,2,0,0,2,2
COLWRIT,3K,15761,001,Am Cult Music,Margi Wald; David Wiese; Matthew Barclay,under,0,4,2,0,1,3,0,0,0,0,0,0,1,6,0
COLWRIT,3L,15808,001,Am Cult Consumerism,Margi Wald; David Wiese; Carolyn Carr,under,0,2,4,0,0,0,1,1,0,0,0,0,4,3,1
COLWRIT,3M,15809,001,Am Cult Socl Media,Jennifer Burton; Margi Wald; David Wiese,under,4,16,1,0,0,1,0,1,0,0,0,0,0,0,0
COLWRIT,3M,16006,002,Am Cult Socl Media,Jennifer Burton; Margi Wald; David Wiese,under,3,12,0,0,0,0,0,0,0,0,0,0,1,4,1
COLWRIT,3S,15711,001,Am Cult & Film,Margi Wald; David Wiese; Elizabeth Boner,under,3,5,1,1,0,0,0,0,0,0,0,0,1,4,0
COLWRIT,3S,16030,002,Am Cult & Film,Margi Wald; David Wiese; Elizabeth Boner,under,11,4,0,0,1,0,0,0,0,0,0,0,0,2,1
COLWRIT,3S,16097,003,Am Cult & Film,Margi Wald; David Wiese; Elizabeth Boner,under,5,4,1,0,0,0,0,0,0,0,0,0,0,2,1
COLWRIT,3S,16101,004,Am Cult & Film,Margi Wald; David Wiese; Elizabeth Boner,under,4,4,0,0,2,0,0,0,0,0,0,0,3,1,0
COLWRIT,3U,15712,001,Am Cult & Lit,Margi Wald; David Wiese; zue acker,under,7,4,1,1,0,0,0,1,0,0,0,0,0,2,1
COLWRIT,3V,15713,001,Am Cult Gender,Margi Wald; David Wiese; Kyle Ridley,under,4,3,2,0,0,0,0,0,0,0,0,0,1,3,3
COLWRIT,3V,16007,002,Am Cult Gender,Margi Wald; David Wiese; Kyle Ridley,under,1,2,0,0,0,0,1,1,0,0,0,0,3,3,1
COLWRIT,3V,16102,003,Am Cult Gender,Margi Wald; David Wiese; Kyle Ridley,under,5,4,2,0,0,0,0,1,0,0,0,0,4,0,0
COLWRIT,3W,15716,001,Am Cult Media,Margi Wald; David Wiese; Sharon Coleman,under,0,10,5,1,0,0,0,0,0,0,0,0,1,0,0
COLWRIT,5A,14427,001,Engl Brdwy Musicals,Margi Wald; David Wiese; David Skolnick,under,0,6,1,2,0,0,1,0,0,0,0,0,0,2,1
COLWRIT,5C,14388,001,Engl Thru Film,Margi Wald; David Wiese; Janet Christensen,under,0,10,0,0,5,2,0,0,0,0,0,0,0,0,0
COLWRIT,5K,14256,001,Engl Thru The Media,Margi Wald; David Wiese; Shalle Leeming,under,0,7,2,1,4,0,0,0,0,0,0,0,0,1,0
COLWRIT,6A,14430,001,Esl Acad Speaking,Margi Wald; David Wiese; Paula Runnals,under,0,2,6,2,1,2,0,0,0,0,0,0,1,3,0
COLWRIT,6B,14398,001,Esl Academic Vocab,Margi Wald; David Wiese; Ronald Martinez,under,2,11,1,1,1,0,0,0,0,0,0,0,0,2,0
COLWRIT,6C,15038,004,Esl Business Vocab,Margi Wald; David Wiese; Ronald Martinez,under,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0
COLWRIT,6C,14377,001,Esl Business Vocab,Margi Wald; David Wiese; Carolyn Carr,under,0,5,0,0,0,0,0,0,0,0,0,0,4,3,0
COLWRIT,6F,15041,001,Esl Listen Speak,Margi Wald; David Wiese; Scot Crisp,under,1,6,0,0,0,0,0,0,0,0,0,0,0,3,0
COLWRIT,6G,15046,002,Esl Digital Writing,Margi Wald; David Wiese; Brandon Lambert,under,7,2,1,0,1,0,0,0,0,0,0,0,1,0,2
COLWRIT,6L,14418,001,Esl Job Search Prac,Margi Wald; David Wiese; Nora Mitchell,under,8,3,0,1,0,0,0,0,0,0,0,0,0,3,0
COLWRIT,6L,15491,002,Esl Job Search Prac,Margi Wald; David Wiese; Nora Mitchell,under,7,3,2,0,0,0,0,2,0,0,0,0,0,3,2
COLWRIT,7D,15071,002,Food Culture,Jennifer Burton; Margi Wald; David Wiese,under,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
COLWRIT,7K,15078,001,Humor,Margi Wald; David Wiese; Scot Crisp,under,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
COLWRIT,7K,15079,002,Humor,Margi Wald; David Wiese; Scot Crisp,under,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2
