Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,5,,,10502,Terrence Hendershott; Thomas Lee,,Business Admin-Undergrad,104,001,A,Letter Grade,A+,Sprdsheetmodeling
1,2,,,10512,Virginia Rath,,Business Admin-Undergrad,190T,002,A,Letter Grade,A+,Topics Innov/Design
1,15,,,10513,Cristina Banks; John Briginshaw; Judith Hopelain; Omar Romero-Hernandez,,Business Admin-Undergrad,10,001,A,Letter Grade,A+,Principles Of Bus
1,2,,,10516,Wasim Azhar; Wasim Azhar,,Business Admin-Undergrad,106,001,A,Letter Grade,A+,Marketing
1,2,,,10600,Kenneth Singer; Marymoore Patterson,,Business Admin-Undergrad,196,006,A,Letter Grade,A+,Spec Topics Bus Adm
1,5,,,10604,Francis Stanton,,Business Admin-Undergrad,120B,001,A,Letter Grade,A+,Adv Fin Accounting
1,1,,,10607,Suneel Udpa,,Business Admin-Undergrad,128,001,A,Letter Grade,A+,Strat Cost Mgmt
1,2,,,10608,Fred Selinger,,Business Admin-Undergrad,196,001,A,Letter Grade,A+,Spec Topics Bus Adm
1,3,,,10609,Fred Selinger,,Business Admin-Undergrad,196,002,A,Letter Grade,A+,Spec Topics Bus Adm
1,16,,,10630,Dmitry Livdan,,Business Admin-Undergrad,103,001,A,Letter Grade,A+,Intro To Finance
1,15,,,10631,Dmitry Livdan,,Business Admin-Undergrad,103,002,A,Letter Grade,A+,Intro To Finance
1,6,,,10645,John Briginshaw,,Business Admin-Undergrad,102A,001,A,Letter Grade,A+,Intro Fin Account
1,5,,,10646,John Briginshaw,,Business Admin-Undergrad,102A,002,A,Letter Grade,A+,Intro Fin Account
1,6,,,10647,James Webb,,Business Admin-Undergrad,102A,003,A,Letter Grade,A+,Intro Fin Account
1,16,,,10657,Francis Stanton,,Business Admin-Undergrad,122,001,A,Letter Grade,A+,Fin Info Analysis
1,26,,,10672,John Lord,,Business Admin-Undergrad,102B,001,A,Letter Grade,A+,Intro Manager Acct
1,3,,,10677,David Robinson,,Business Admin-Undergrad,167,001,A,Letter Grade,A+,Spec Topics In Mkt
1,4,,,10681,Robin Chandra,,Business Admin-Undergrad,195T,001,A,Letter Grade,A+,Topics In Ent
1,2,,,10685,Holly Schroth,,Business Admin-Undergrad,152,002,A,Letter Grade,A+,Negotiation
1,2,,,10689,Alicia Perez; Colin Lacon,,Business Admin-Undergrad,39AC,001,A,Letter Grade,A+,Philanthropy
1,4,,,10713,Samuel Olesky,,Business Admin-Undergrad,133,001,A,Letter Grade,A+,Investments
1,1,,,10718,Jon Metzler,,Business Admin-Undergrad,190T,003,A,Letter Grade,A+,Topics Innov/Design
