Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,3,,,10879,Lee Fleming,,Business Admin-MBA,293,007,A,Letter Grade,A+,Individual Study
1,4,,,10898,William Falik,,Business Admin-MBA,293,020,A,Letter Grade,A+,Individual Study
1,1,,,11366,K Whaley,,Chemistry,299,063,A,Letter Grade,A+,Research
1,2,,,11369,Ting Xu,,Chemistry,299,066,A,Letter Grade,A+,Research
1,6,,,11371,Omar Yaghi,,Chemistry,299,068,A,Letter Grade,A+,Research
1,1,,,11372,Joseph Orenstein,,Chemistry,299,069,A,Letter Grade,A+,Research
1,7,,,11374,Thomas Maimone,,Chemistry,299,071,A,Letter Grade,A+,Research
1,9,,,11390,Felix Fischer,,Chemistry,299,021,A,Letter Grade,A+,Research
1,3,,,11391,Graham Fleming,,Chemistry,299,022,A,Letter Grade,A+,Research
1,1,,,11398,John Hartwig,,Chemistry,299,034,A,Letter Grade,A+,Research
1,1,,,11402,John Kuriyan,,Chemistry,299,038,A,Letter Grade,A+,Research
1,2,,,11405,David Limmer,,Chemistry,299,090,A,Letter Grade,A+,Research
1,1,,,11414,Richard Mathies,,Chemistry,299,045,A,Letter Grade,A+,Research
1,1,,,11429,Michael Marletta,,Chemistry,299,044,A,Letter Grade,A+,Research
1,2,,,11432,Allen Goldstein,,Chemistry,299,096,A,Letter Grade,A+,Research
1,5,,,11433,Alanna Schepartz,,Chemistry,299,097,A,Letter Grade,A+,Research
1,1,,,11436,Ahmet Yildiz,,Chemistry,299,027,A,Letter Grade,A+,Research
1,1,,,11438,Kristin Ceder-Persson,,Chemistry,299,057,A,Letter Grade,A+,Research
1,1,,,11440,Michael Crommie,,Chemistry,299,018,A,Letter Grade,A+,Research
1,2,,,11906,John Marshall,,Public Health,299,022,A,Letter Grade,A+,Independnt Research
1,1,,,11907,Maya Petersen,,Public Health,299,023,A,Letter Grade,A+,Independnt Research
1,3,,,11911,Lisa Barcellos,,Public Health,299,027,A,Letter Grade,A+,Independnt Research
1,1,,,11915,Mahasin Mujahid,,Public Health,299,031,A,Letter Grade,A+,Independnt Research
1,1,,,11932,Jaspal Sandhu,,Public Health,299,048,A,Letter Grade,A+,Independnt Research
1,2,,,11949,Amani Allen,,Public Health,299,065,A,Letter Grade,A+,Independnt Research
1,2,,,11953,Denise Herd,,Public Health,299,069,A,Letter Grade,A+,Independnt Research
1,2,,,11956,Ndola Prata,,Public Health,299,072,A,Letter Grade,A+,Independnt Research
1,1,,,12452,George Brooks,,Integrative Biology,298,080,A,Letter Grade,A+,Special Study
1,3,,,12488,Peter Sudmant,,Integrative Biology,298,460,A,Letter Grade,A+,Special Study
1,2,,,12489,Rebecca Tarvin,,Integrative Biology,298,465,A,Letter Grade,A+,Special Study
1,3,,,12583,Daniel Tataru,,Mathematics,295,045,A,Letter Grade,A+,Individual Research
1,1,,,12607,Antonio Montalban,,Mathematics,295,021,A,Letter Grade,A+,Individual Research
1,1,,,12951,Kaoru Saijo,,Neuroscience,292,002,A,Letter Grade,A+,Neuroresearch
1,1,,,12952,Mark D'Esposito,,Neuroscience,292,003,A,Letter Grade,A+,Neuroresearch
1,1,,,12958,Joni Wallis,,Neuroscience,292,005,A,Letter Grade,A+,Neuroresearch
1,1,,,12966,Lance Kriegsfeld,,Neuroscience,292,038,A,Letter Grade,A+,Neuroresearch
