Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,4,,,00770,Jovan Lewis,,African American Studies,241,001,A,Letter Grade,A+,Spec Topics
1,3,,,01653,Jeffrey Perloff; Leo Simon,,Ag & Resource Econ & Pol,202,001,A,Letter Grade,A+,Issues In Agri Econ
1,2,,,01659,Maximilian Auffhammer,,Ag & Resource Econ & Pol,212,001,A,Letter Grade,A+,Econometrics 2
1,1,,,01677,James Sallee,,Ag & Resource Econ & Pol,261,001,A,Letter Grade,A+,Environ & Res Econ
1,1,,,01680,Christian Traeger; Larry Karp,,Ag & Resource Econ & Pol,263,001,A,Letter Grade,A+,Dynamic Methods
1,2,,,01725,David Roland-Holst,,Ag & Resource Econ & Pol,298,013,A,Letter Grade,A+,Special Study
1,4,,,03035,Lisa Maher,,Anthropology,230,001,A,Letter Grade,A+,Spec Top Arch
1,3,,,03038,Alexei Yurchak,,Anthropology,240B,001,A,Letter Grade,A+,Fd Anthro Theo
1,1,,,03041,Aihwa Ong,,Anthropology,250C,001,A,Letter Grade,A+,Globalization
1,1,,,03047,Nelson Graburn,,Anthropology,250V,001,A,Letter Grade,A+,Tourism
1,2,,,03071,Xin Liu,,Anthropology,280D,001,A,Letter Grade,A+,China
1,3,,,03110,Sabrina Agarwal,,Anthropology,298,001,A,Letter Grade,A+,Dir Read
1,2,,,03185,Jun Sunseri,,Anthropology,298,026,A,Letter Grade,A+,Dir Read
1,1,,,03203,Daniel Fisher,,Anthropology,298,035,A,Letter Grade,A+,Dir Read
1,2,,,03215,Lawrence Cohen,,Anthropology,299,004,A,Letter Grade,A+,Directed Research
1,2,,,03245,Patrick Kirch,,Anthropology,299,014,A,Letter Grade,A+,Directed Research
1,1,,,03251,Xin Liu,,Anthropology,299,016,A,Letter Grade,A+,Directed Research
1,2,,,03275,Laurie Wilkie,,Anthropology,299,024,A,Letter Grade,A+,Directed Research
1,1,,,03296,Lisa Maher,,Anthropology,299,031,A,Letter Grade,A+,Directed Research
1,2,,,04044,William Atwood,,Architecture,204B,003,A,Letter Grade,A+,Thesis Studio
1,1,,,04059,Angela Marino; C Crysler,,Architecture,239,001,A,Letter Grade,A+,Spec Top Thr/Crit
1,3,,,04068,Simon Schleicher,,Architecture,259,001,A,Letter Grade,A+,Spec Top Bldg Struc
1,1,,,04070,Simon Schleicher,,Architecture,259,002,A,Letter Grade,A+,Spec Top Bldg Struc
1,1,,,04212,Marco Cenzatti,,Architecture,239,003,A,Letter Grade,A+,Spec Top Thr/Crit
1,1,,,06044,Chung-Pei Ma,,Astronomy,C202,001,A,Letter Grade,A+,Astroph Fluid Dynam
