Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,10075,Thomas Mccullough,,Business Admin-Undergrad,101A,001A,A,Letter Grade,A+,Microeconomic Analy
1,1,,,10078,Steven Wood,,Business Admin-Undergrad,101B,002D,A,Letter Grade,A+,Macroeconomics
1,1,,,10083,Tiffany Rasmussen,,Business Admin-Undergrad,102A,002A,A,Letter Grade,A+,Fin Accounting
1,7,,,10084,John Briginshaw,,Business Admin-Undergrad,102A,003D,A,Letter Grade,A+,Fin Accounting
1,83,,,10093,Gary Pieroni,,Business Admin-Undergrad,102B,002D,A,Letter Grade,A+,Managerial Acct
1,6,,,10097,Avinash Verma,,Business Admin-Undergrad,103,002D,A,Letter Grade,A+,Intro To Finance
1,1,,,10102,Richard Huntsinger,,Business Admin-Undergrad,104,001A,A,Letter Grade,A+,Business Analytics
1,5,,,10104,Holly Schroth,,Business Admin-Undergrad,105,002D,A,Letter Grade,A+,Leading People
1,1,,,10109,David Robinson,,Business Admin-Undergrad,106,2D,A,Letter Grade,A+,Marketing
1,6,,,10110,Wasim Azhar,,Business Admin-Undergrad,106,03D,A,Letter Grade,A+,Marketing
1,3,,,10114,James Webb,,Business Admin-Undergrad,120AA,001D,A,Letter Grade,A+,Int Fin Acct 1
1,5,,,10119,Gary Pieroni,,Business Admin-Undergrad,120B,001D,A,Letter Grade,A+,Adv Fin Accounting
1,3,,,10121,John Briginshaw,,Business Admin-Undergrad,122,02D,A,Letter Grade,A+,Fin Info Analysis
1,2,,,10124,Avinash Verma,,Business Admin-Undergrad,131,001D,A,Letter Grade,A+,Corp Fin Analysis
1,3,,,10135,Daniel Mulhern,,Business Admin-Undergrad,155,001A,A,Letter Grade,A+,Leadership
1,7,,,10149,Francis Stanton,,Business Admin-Undergrad,120AB,001A,A,Letter Grade,A+,Int Fin Accnting 2
1,3,,,10151,Edward Kass,,Business Admin-Undergrad,154,1D,A,Letter Grade,A+,Power & Politic
1,2,,,10157,Xiao-Jun Zhang,,Business Admin-Undergrad,W102A,1A,A,Letter Grade,A+,Fin Accounting
1,2,,,10158,Richard Huntsinger,,Business Admin-Undergrad,147,001A,A,Letter Grade,A+,Spec Topics In Oitm
1,5,,,10493,Mark Kubinec,,Chemistry,1A,001,A,Letter Grade,A+,General Chemistry
1,10,,,10498,Ashley DuBord; Kaede Hoshi; Peter Marsden,,Chemistry,3A,001,A,Letter Grade,A+,Chem Struct React
1,11,,,10499,Debjani Roy; Natalie Suhy; Naz Dundar; Robin Sheen,,Chemistry,3B,001,A,Letter Grade,A+,Chem Struct React
1,3,,,10603,Kyle Steinfeld; Kyle Steinfeld,,Architecture,124A,001,A,Letter Grade,A+,3-D Computer Tech
1,1,,,10604,Kyle Steinfeld,,Architecture,124A,002,A,Letter Grade,A+,3-D Computer Tech
1,10,,,10611,Chester Harvey; Daniel Chatman,,City & Regional Planning,114,001,A,Letter Grade,A+,Intro Urb Reg Trans
1,2,,,10614,Mark Warren,,Environmental Design,1,001,A,Letter Grade,A+,Intro To Env Des
1,3,,,10621,Gabriel Kaprielian,,Environmental Design,8,001,A,Letter Grade,A+,Disc Design
1,1,,,10633,Robert Glass,,Landscape Arch & Env Plan,1,001,A,Letter Grade,A+,Draw Green Future
1,4,,,10636,Brenna Castro Carlson; Ian McRae,,Landscape Arch & Env Plan,130,001,A,Letter Grade,A+,Sustain Landscapes
1,1,,,10639,Kate Hawkinson,,Visual Studies,185X,001,A,Letter Grade,A+,Word And Image
