Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,11006,Jill Banfield,,Plant & Microbial Biology,299,003,A,Letter Grade,A+,Graduate Research
1,2,,,11320,Peng Ding,,Statistics,299,003,A,Letter Grade,A+,Research
1,1,,,11335,Yun Song,,Statistics,299,018,A,Letter Grade,A+,Research
1,1,,,11508,Jen Chywan Wang,,Nutritional Science & Tox,299,010,A,Letter Grade,A+,Nst Research
1,1,,,11570,Alison Meyer,,Evening & Weekend MBA,296,011,A,Letter Grade,A+,Special Topics
1,4,,,11764,Jacob Gallice,,Financial Engineering,293,004,A,Letter Grade,A+,Individual Study
1,1,,,11776,Panagiotis Patatoukas,,Financial Engineering,293,016,A,Letter Grade,A+,Individual Study
1,13,,,12088,Anke Hemmerling,,Public Health,292,001,A,Letter Grade,A+,M.P.H. Seminar
1,1,,,12532,Teresa Head-Gordon,,Chemistry,N299,003,A,Letter Grade,A+,Research
1,3,,,13205,Don Hanna,,Executive MBA,201B,001,A,Letter Grade,A+,Macro/Global Econ
1,1,,,13207,Gregory La Blanc; Kursat Hosel,,Executive MBA,209,001,A,Letter Grade,A+,Corporate Strategy
1,3,,,13251,Dmitry Livdan; Vinicio De Sola; Corentin Laugier,,Financial Engineering,230D,001,A,Letter Grade,A+,Deriv: Quant Meth
1,8,,,13266,Holly Schroth,,Evening & Weekend MBA,252,001,A,Letter Grade,A+,"Negot, Conflict Res"
1,1,,,13273,Richard Stanton,,Financial Engineering,230I,001,A,Letter Grade,A+,Fixed Income Markts
1,1,,,13318,Peter Goodson,,Evening & Weekend MBA,236M,001F,A,Letter Grade,A+,Turnarounds
1,10,,,14839,Kyle Beckham; Hua Luo,,Education,231A,001,A,Letter Grade,A+,"Teaching, Learning"
1,4,,,14845,Paul Lai,,Education,234,001,A,Letter Grade,A+,Reading And Writing
1,3,,,14850,Thomas Philip; Brendan Henrique,,Education,228B,001,A,Letter Grade,A+,Intro To Python
1,3,,,14851,Thomas Philip; Brendan Henrique,,Education,229A,001,A,Letter Grade,A+,Cs Active Methods
1,9,,,14864,Luz Cazares,,Education,266C,001,A,Letter Grade,A+,School Site Finance
1,5,,,14882,Daniel Acland,,Public Affairs,215,001,A,Letter Grade,A+,Econ For Pol Makers
1,6,,,14889,Daniel Acland,,Public Affairs,215,002,A,Letter Grade,A+,Econ For Pol Makers
1,2,,,14915,Jane Mauldon; Hector Cardenas Suarez; Erika Weissinger,,Public Affairs,201,001,A,Letter Grade,A+,Policy Challenges
1,2,,,14927,Larry Rosenthal,,Public Affairs,245,002,A,Letter Grade,A+,Inferential Stats
1,8,,,14932,Larry Rosenthal,,Public Affairs,245,003,A,Letter Grade,A+,Inferential Stats
1,1,,,14935,Rucker Johnson,,Public Affairs,245,004,A,Letter Grade,A+,Inferential Stats
1,2,,,14938,Edward Helme,,Public Affairs,290,005,A,Letter Grade,A+,Spec Topics Pub Aff
