NUSCTX,11
NUSCTX,10
ESPM,15
PHYSED,32
XINTEGB,31
MCELLBI,102
PSYCH,C19
MCELLBI,C62
INTEGBI,C82
PLANTBI,11
GEOG,40
XGEOG,30
BIOENG,10
INTEGBI,158LF
ESPM,2
PBHLTH,162A
ESPM,6
ANTHRO,1
XMCELLB,32
PSYCH,C127
PSYCH,110
XANTHRO,1
LDARCH,12
LS,C30T
INTEGBI,35AC
EPS,C82
XINTEGB,33
ESPM,108B
ESPM,C129
COGSCI,C127
ESPM,40
ESPM,C107
INTEGBI,131
GEOG,C82
BIOLOGY,1B
BIOLOGY,1A
LDARCH,110
CHEM,C130
ESPM,C12
MCELLBI,C100A
ESPM,117
ESPM,C10
ASTRON,C13
ESPM,108A
PSYCH,121
MCELLBI,32
ANTHRO,107
MCELLBI,55
ESPM,118
