Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,10224,Richard Harland,,Molecular & Cell Biology,H196B,205,A,Letter Grade,A+,Honors Research
1,1,,,11192,Omar Yaghi,,Chemistry,196,069,A,Letter Grade,A+,Special Lab Study
1,4,,,11210,John Arnold; Korshid Tarin; Maura Daly,,Chemistry,196,004,A,Letter Grade,A+,Special Lab Study
1,1,,,11215,Carlos Bustamante,,Chemistry,196,009,A,Letter Grade,A+,Special Lab Study
1,2,,,11362,Neil Tsutsui,,"Env Sci, Policy, & Mgmt",H196,061,A,Letter Grade,A+,Honors Research
1,1,,,11375,Celine Pallud,,"Env Sci, Policy, & Mgmt",H196,047,A,Letter Grade,A+,Honors Research
1,1,,,11376,Lynn Huntsinger,,"Env Sci, Policy, & Mgmt",H196,031,A,Letter Grade,A+,Honors Research
1,1,,,11417,Claudia Carr,,"Env Sci, Policy, & Mgmt",H196,014,A,Letter Grade,A+,Honors Research
1,1,,,11419,Ignacio Chapela,,"Env Sci, Policy, & Mgmt",H196,016,A,Letter Grade,A+,Honors Research
1,3,,,11422,Damian Elias,,"Env Sci, Policy, & Mgmt",H196,019,A,Letter Grade,A+,Honors Research
1,2,,,11426,Carl Boettiger,,"Env Sci, Policy, & Mgmt",H196,095,A,Letter Grade,A+,Honors Research
1,1,,,11427,Timothy Bowles,,"Env Sci, Policy, & Mgmt",H196,096,A,Letter Grade,A+,Honors Research
1,3,,,11517,John Arnold; Korshid Tarin; Maura Daly,,Chemistry,H194,003,A,Letter Grade,A+,Honors Research
1,1,,,11531,John Hartwig,,Chemistry,H194,017,A,Letter Grade,A+,Honors Research
1,1,,,11545,Judith Klinman,,Chemistry,H194,031,A,Letter Grade,A+,Honors Research
1,1,,,11567,Ting Xu,,Chemistry,H194,066,A,Letter Grade,A+,Honors Research
1,1,,,11571,Eric Neuscamman,,Chemistry,H194,070,A,Letter Grade,A+,Honors Research
1,1,,,12170,Armand Alivisatos,,Chemistry,H193,001,A,Letter Grade,A+,Honors Thesis
1,1,,,12727,Tyrone Hayes,,Integrative Biology,191,180,A,Letter Grade,A+,Directed Research
1,3,,,13154,Jay Keasling,,Chemical Engineering,H194,008,A,Letter Grade,A+,Resrch Adv Undergrd
1,1,,,13162,Jeffrey Reimer,,Chemical Engineering,H194,016,A,Letter Grade,A+,Resrch Adv Undergrd
1,1,,,13163,David Schaffer,,Chemical Engineering,H194,017,A,Letter Grade,A+,Resrch Adv Undergrd
1,1,,,13304,Kyriakos Komvopoulos,,Mechanical Engineering,H194,015,A,Letter Grade,A+,Hons Undergrad Res
1,2,,,13400,Thomas Carlson,,Integrative Biology,H196A,100,A,Letter Grade,A+,Thesis Course
1,1,,,13424,Daniela Kaufer,,Integrative Biology,H196A,210,A,Letter Grade,A+,Thesis Course
1,1,,,13456,Michael Boots,,Integrative Biology,H196A,522,A,Letter Grade,A+,Thesis Course
1,1,,,13632,Steven Lindow,,Plant & Microbial Biology,H196,021,A,Letter Grade,A+,Honors Research
1,2,,,13646,Barbara Baker,,Plant & Microbial Biology,H196,001,A,Letter Grade,A+,Honors Research
1,1,,,13651,John Coates,,Plant & Microbial Biology,H196,006,A,Letter Grade,A+,Honors Research
1,1,,,14043,Irina Conboy,,Bioengineering,196,004,A,Letter Grade,A+,Underg Des Res
1,2,,,14049,Ian Holmes,,Bioengineering,196,010,A,Letter Grade,A+,Underg Des Res
1,3,,,14053,Jay Keasling,,Bioengineering,196,011,A,Letter Grade,A+,Underg Des Res
1,1,,,14056,Seung-Wuk Lee,,Bioengineering,196,014,A,Letter Grade,A+,Underg Des Res
1,6,,,14058,Dorian Liepmann,,Bioengineering,196,016,A,Letter Grade,A+,Underg Des Res
1,3,,,14061,Moriel Vandsburger,,Bioengineering,196,019,A,Letter Grade,A+,Underg Des Res
1,1,,,14062,David Schaffer,,Bioengineering,196,020,A,Letter Grade,A+,Underg Des Res
1,1,,,14177,Seung-Wuk Lee,,Bioengineering,H194,014,A,Letter Grade,A+,Hon Undergrad Res
1,2,,,14179,Dorian Liepmann,,Bioengineering,H194,016,A,Letter Grade,A+,Hon Undergrad Res
1,1,,,14180,Gerard Marriott,,Bioengineering,H194,017,A,Letter Grade,A+,Hon Undergrad Res
1,2,,,14182,Moriel Vandsburger,,Bioengineering,H194,019,A,Letter Grade,A+,Hon Undergrad Res
1,1,,,14197,Tony Keaveny,,Bioengineering,H194,034,A,Letter Grade,A+,Hon Undergrad Res
1,10,,,14839,Jay Keasling,,Chemical Engineering,196,008,A,Letter Grade,A+,Special Lab Study
1,1,,,14840,Markita Landry,,Chemical Engineering,196,009,A,Letter Grade,A+,Special Lab Study
1,1,,,14853,Demian Pouzo,,Economics,H195B,002,A,Letter Grade,A+,Sr Honors Thesis
1,3,,,14855,David Card,,Economics,H195B,004,A,Letter Grade,A+,Sr Honors Thesis
1,21,,,14863,Karen Nakamura,,Anthropology,189,001,A,Letter Grade,A+,Spec Top:Soc/Cult
1,1,,,14868,Marco Cenzatti,,Architecture,179,002,A,Letter Grade,A+,"Prosem, Arch Hist"
1,1,,,14885,Ming Hsu,,Cognitive Science,H195A,001,A,Letter Grade,A+,Spec Stdy Honors
1,1,,,14886,Dacher Keltner,,Cognitive Science,H195A,002,A,Letter Grade,A+,Spec Stdy Honors
1,1,,,14887,Dana Carney,,Cognitive Science,H195A,003,A,Letter Grade,A+,Spec Stdy Honors
1,1,,,14890,Linda Wilbrecht,,Cognitive Science,H195A,006,A,Letter Grade,A+,Spec Stdy Honors
1,1,,,14892,Mark D'Esposito,,Cognitive Science,H195A,008,A,Letter Grade,A+,Spec Stdy Honors
1,3,,,14917,Sofia Villas-Boas,,Environ Econ & Policy,H196,001,A,Letter Grade,A+,Honors Research
1,1,,,15026,Yun Song,,Statistics,H195,002,A,Letter Grade,A+,Honors Study
1,2,,,15500,Jeffrey Reimer,,Chemical Engineering,195,017,A,Letter Grade,A+,Special Topics
1,1,,,15769,Sona Kang,,Nutritional Science & Tox,H196,002,A,Letter Grade,A+,Honors Research
1,1,,,16080,Eve Sweetser,,Linguistics,H195B,013,A,Letter Grade,A+,Linguis Honors
1,1,,,16127,Uros Seljak,,Physics,H195B,002,A,Letter Grade,A+,Thesis Research
1,1,,,16217,Jacob Leedom; Robert Birgeneau,,Physics,49,006,A,Letter Grade,A+,Low Div Suppl Work
1,1,,,16440,Paulo Monteiro,,Civil & Environmental Eng,H194,003,A,Letter Grade,A+,Honors Ugrad Res
1,15,,,16650,Alan Pomerantz,,Legal Studies,190,002,A,Letter Grade,A+,Topics In Law/Soc
1,6,,,16652,Eric Stover; Kimberly Koenig,,Legal Studies,190,004,A,Letter Grade,A+,Topics In Law/Soc
1,4,,,16723,Cynthia Agnes Aban; Karen Llagas; Maria Barrios-Leblanc,,South & SE Asian Studies,39,001,A,Letter Grade,A+,Freshman/Sophomore
1,9,,,16724,Michael Barry,,Business Admin-Undergrad,190T,002,A,Letter Grade,A+,Topics Innov/Design
1,1,,,16728,Solomon Fulp,,Business Admin-Undergrad,196,003,A,Letter Grade,A+,Spec Topics Bus Adm
1,1,,,16737,Douglas Leeds; Ingrid Gavshon; Mark Rittenberg; William Collins,,Business Admin-Undergrad,96,001,A,Letter Grade,A+,Ld Spec Top Bus Adm
1,1,,,16926,Fang Xu,,Interdisciplinary Studies,190,004,A,Letter Grade,A+,Senior Thesis
1,10,,,16948,Erika Brown; Kristine Madsen,,Public Health,196,002,A,Letter Grade,A+,Spec Topics Pb Hlth
1,3,,,16949,Hannah Mack; Kevin Williams,,Public Health,196,003,A,Letter Grade,A+,Spec Topics Pb Hlth
1,6,,,16950,Darlene Francis,,Public Health,196,001,A,Letter Grade,A+,Spec Topics Pb Hlth
1,8,,,16952,Darlene Francis,,Public Health,196,005,A,Letter Grade,A+,Spec Topics Pb Hlth
1,1,,,16953,Darlene Francis,,Public Health,196,006,A,Letter Grade,A+,Spec Topics Pb Hlth
1,1,,,17056,Laura Enriquez; Lindsay Berkowitz,,Sociology,190,002,A,Letter Grade,A+,Sem & Res In So
1,2,,,17058,Amanda Frye Leinhos,,Sociology,190,004,A,Letter Grade,A+,Sem & Res In So
1,3,,,17060,Yan Long,,Sociology,190,006,A,Letter Grade,A+,Sem & Res In So
1,1,,,17061,Laura Enriquez; Martin Eiermann,,Sociology,190,007,A,Letter Grade,A+,Sem & Res In So
1,2,,,17194,Jovan Lewis,,Geography,H195A,012,A,Letter Grade,A+,Honors Course
1,2,,,17313,Gabriel Lenz,,Political Science,191,004,A,Letter Grade,A+,Junior Seminar
1,1,,,17314,Amy Gurowitz,,Political Science,191,006,A,Letter Grade,A+,Junior Seminar
1,1,,,17351,Yu-Wei Fan,,Mathematics,49,002,A,Letter Grade,A+,Supp Lower Div Math
1,5,,,17501,Solomon Hsiang,,Public Policy,190,001,A,Letter Grade,A+,Spec Topics Pub Pol
1,6,,,17502,Rucker Johnson,,Public Policy,190,003,A,Letter Grade,A+,Spec Topics Pub Pol
1,2,,,17503,Sarumathi Jayaraman,,Public Policy,190,004,A,Letter Grade,A+,Spec Topics Pub Pol
1,1,,,17637,Suncica Canic,,Mathematics,196,001,A,Letter Grade,A+,Honors Thesis
1,1,,,17640,Antonio Montalban,,Mathematics,196,004,A,Letter Grade,A+,Honors Thesis
1,1,,,17711,Daniel Schnur,,Political Science,196,136,A,Letter Grade,A+,Spec Res Proj
1,1,,,18085,Jeffrey Perloff,,Environ Econ & Policy,195,003,A,Letter Grade,A+,Senior Thesis
1,1,,,18659,Brent Mishler,,"Env Sci, Policy, & Mgmt",175L,033,A,Letter Grade,A+,Sen Res Lab Env Sci
1,5,,,19137,Albert Ruhi Vidal,,"Env Sci, Policy, & Mgmt",194A,001,A,Letter Grade,A+,Senior Seminr Crs
1,2,,,19138,Seth Holmes,,"Env Sci, Policy, & Mgmt",194B,001,A,Letter Grade,A+,Secapstone
1,8,,,19189,Alan Pomerantz,,Legal Studies,39D,001,A,Letter Grade,A+,Fresh/Soph Seminar
1,2,,,19208,Jeremy Thorner,,Molecular & Cell Biology,90A,002,A,Letter Grade,A+,Freshman Seminars
1,2,,,19243,David Rochlin,,Business Admin-Undergrad,192T,1,A,Letter Grade,A+,Topics In Csr
1,1,,,19253,Corinne Hayden,,Anthropology,196,001,A,Letter Grade,A+,Undergrad Sem
1,3,,,19279,Amy Herr,,Bioengineering,192,001,A,Letter Grade,A+,Sr Design Project
1,3,,,19285,Oren Hanner,,Buddhist Studies,190,001,A,Letter Grade,A+,Topics
1,1,,,19310,Benjamin Pageler,,Cognitive Science,190,002,A,Letter Grade,A+,Spec Topics Cog Sci
1,15,,,19311,Linda Isaac,,Cognitive Science,190,003,A,Letter Grade,A+,Spec Topics Cog Sci
1,6,,,19346,Barry Eichengreen; Joan Martinez; Matthew Tauzer,,Economics,191,001,A,Letter Grade,A+,Topic Econ Research
1,1,,,19359,Kristofer Pister,,Electrical Engineering,H196A,005,A,Letter Grade,A+,Sr Honors Thesis
1,2,,,19398,Khalid Kadir,,Global Poverty & Practice,196,003,A,Letter Grade,A+,Global Capstone
