Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
13,30424,,30424,,30424,Leigh Raiford,,African American Studies,240,01,A,Letter Grade,A,Spec Topics
1,34177,,34177,,34177,Leigh Raiford,,African American Studies,240,02,A,Letter Grade,A,Spec Topics
3,30425,,30425,,30425,Nikki Jones,,African American Studies,241,01,A,Letter Grade,A,Spec Topics
8,18930,,18930,,18930,Ula Taylor,,African American Studies,296,001,Credit,Non-Letter Grade,Satisfactory,Dir Diss Research
1,16719,,16719,,16719,Nikki Jones,,African American Studies,299,001,A,Letter Grade,A,Ind Stdy/Res
2,16721,,16721,,16721,Leigh Raiford,,African American Studies,299,003,A,Letter Grade,A,Ind Stdy/Res
4,30426,,30426,,30426,Christian Paiz,,African American Studies,C375,001,A,Letter Grade,A+,Critical Pedagogy
1,30426,,30426,,30426,Christian Paiz,,African American Studies,C375,001,Credit,Non-Letter Grade,Satisfactory,Critical Pedagogy
2,34286,,34286,,34286,Ula Taylor,,African American Studies,601,001,Credit,Non-Letter Grade,Satisfactory,Indiv Study: Ma
3,18931,,18931,,18931,Ula Taylor,,African American Studies,602,001,Credit,Non-Letter Grade,Satisfactory,Ind Stdy For Doc St
3,27365,,27365,,27365,Thibault Fally; Francis Annan,,Ag & Resource Econ & Pol,201,001,A,Letter Grade,A+,Industrial Organz'N
3,27365,,27365,,27365,Thibault Fally; Francis Annan,,Ag & Resource Econ & Pol,201,001,A,Letter Grade,A,Industrial Organz'N
1,27365,,27365,,27365,Thibault Fally; Francis Annan,,Ag & Resource Econ & Pol,201,001,A,Letter Grade,A-,Industrial Organz'N
3,27365,,27365,,27365,Thibault Fally; Francis Annan,,Ag & Resource Econ & Pol,201,001,B,Letter Grade,B+,Industrial Organz'N
1,27365,,27365,,27365,Thibault Fally; Francis Annan,,Ag & Resource Econ & Pol,201,001,B,Letter Grade,B,Industrial Organz'N
5,26809,,26809,,26809,Aprajit Mahajan,,Ag & Resource Econ & Pol,210,001,A,Letter Grade,A,Prob And Stat
3,26809,,26809,,26809,Aprajit Mahajan,,Ag & Resource Econ & Pol,210,001,A,Letter Grade,A-,Prob And Stat
2,26809,,26809,,26809,Aprajit Mahajan,,Ag & Resource Econ & Pol,210,001,B,Letter Grade,B+,Prob And Stat
1,26809,,26809,,26809,Aprajit Mahajan,,Ag & Resource Econ & Pol,210,001,B,Letter Grade,B-,Prob And Stat
2,26810,,26810,,26810,Michael Anderson,,Ag & Resource Econ & Pol,213,001,A,Letter Grade,A+,Applied Econometric
14,26810,,26810,,26810,Michael Anderson,,Ag & Resource Econ & Pol,213,001,A,Letter Grade,A,Applied Econometric
8,26810,,26810,,26810,Michael Anderson,,Ag & Resource Econ & Pol,213,001,A,Letter Grade,A-,Applied Econometric
1,26810,,26810,,26810,Michael Anderson,,Ag & Resource Econ & Pol,213,001,B,Letter Grade,B,Applied Econometric
5,26810,,26810,,26810,Michael Anderson,,Ag & Resource Econ & Pol,213,001,Credit,Non-Letter Grade,Satisfactory,Applied Econometric
1,26810,,26810,,26810,Michael Anderson,,Ag & Resource Econ & Pol,213,001,No Credit,Non-Letter Grade,Unsatisfactory,Applied Econometric
10,26812,,26812,,26812,Ethan Ligon; Francis Annan,,Ag & Resource Econ & Pol,219A,001,A,Letter Grade,A,Econometric Proj
1,26812,,26812,,26812,Ethan Ligon; Francis Annan,,Ag & Resource Econ & Pol,219A,001,B,Letter Grade,B,Econometric Proj
9,27229,,27229,,27229,Thibault Fally; Francis Annan,,Ag & Resource Econ & Pol,239,001,Credit,Non-Letter Grade,Satisfactory,Mkts & Trade Wkshop
8,26816,,26816,,26816,Francis Annan,,Ag & Resource Econ & Pol,249,001,Credit,Non-Letter Grade,Satisfactory,Policy Workshop
3,26817,,26817,,26817,Jeremy Magruder; Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,C251,001,A,Letter Grade,A,Econ Development
1,26817,,26817,,26817,Jeremy Magruder; Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,C251,001,A,Letter Grade,A-,Econ Development
1,26817,,26817,,26817,Jeremy Magruder; Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,C251,001,B,Letter Grade,B,Econ Development
17,26813,,26813,,26813,Ethan Ligon,,Ag & Resource Econ & Pol,259,001,Credit,Non-Letter Grade,Satisfactory,Development Wkshop
4,26814,,26814,,26814,William Reed Walker; Joseph Shapiro,,Ag & Resource Econ & Pol,261,001,A,Letter Grade,A-,Environ & Res Econ
5,26814,,26814,,26814,William Reed Walker; Joseph Shapiro,,Ag & Resource Econ & Pol,261,001,B,Letter Grade,B+,Environ & Res Econ
1,26814,,26814,,26814,William Reed Walker; Joseph Shapiro,,Ag & Resource Econ & Pol,261,001,Credit,Non-Letter Grade,Satisfactory,Environ & Res Econ
14,26815,,26815,,26815,Joseph Shapiro,,Ag & Resource Econ & Pol,269,001,Credit,Non-Letter Grade,Satisfactory,Resources Workshop
1,15461,,15461,,15461,Michael Anderson,,Ag & Resource Econ & Pol,299,001,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15462,,15462,,15462,Maximilian Auffhammer,,Ag & Resource Econ & Pol,299,002,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15465,,15465,,15465,Thibault Fally,,Ag & Resource Econ & Pol,299,005,Credit,Non-Letter Grade,Satisfactory,Individual Research
4,15466,,15466,,15466,Meredith Fowlie,,Ag & Resource Econ & Pol,299,006,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15467,,15467,,15467,Aprajit Mahajan,,Ag & Resource Econ & Pol,299,007,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,15469,,15469,,15469,Ethan Ligon,,Ag & Resource Econ & Pol,299,009,Credit,Non-Letter Grade,Satisfactory,Individual Research
6,15470,,15470,,15470,Jeremy Magruder,,Ag & Resource Econ & Pol,299,010,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15471,,15471,,15471,Jeffrey Perloff,,Ag & Resource Econ & Pol,299,011,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15473,,15473,,15473,Elisabeth Sadoulet,,Ag & Resource Econ & Pol,299,013,Credit,Non-Letter Grade,Satisfactory,Individual Research
5,15474,,15474,,15474,Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,299,014,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15478,,15478,,15478,Brian Wright,,Ag & Resource Econ & Pol,299,018,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,15480,,15480,,15480,James Sallee,,Ag & Resource Econ & Pol,299,020,Credit,Non-Letter Grade,Satisfactory,Individual Research
11,26818,,26818,,26818,Sofia Villas-Boas,,Ag & Resource Econ & Pol,375,001,Credit,Non-Letter Grade,Satisfactory,Teaching Experience
1,17976,,17976,,17976,Michael Anderson,,Ag & Resource Econ & Pol,602,001,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,17977,,17977,,17977,Maximilian Auffhammer,,Ag & Resource Econ & Pol,602,002,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,17978,,17978,,17978,Joseph Shapiro,,Ag & Resource Econ & Pol,602,003,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,17978,,17978,,17978,Joseph Shapiro,,Ag & Resource Econ & Pol,602,003,No Credit,Non-Letter Grade,Unsatisfactory,"Ind Study, Doctorat"
2,17980,,17980,,17980,James Sallee,,Ag & Resource Econ & Pol,602,005,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,17981,,17981,,17981,Meredith Fowlie,,Ag & Resource Econ & Pol,602,006,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,17985,,17985,,17985,Jeremy Magruder,,Ag & Resource Econ & Pol,602,010,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,17992,,17992,,17992,Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,602,017,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,17995,,17995,,17995,David Zilberman,,Ag & Resource Econ & Pol,602,020,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,17996,,17996,,17996,Thibault Fally,,Ag & Resource Econ & Pol,602,021,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
2,18933,,18933,,18933,Christine Palmer,,American Studies,300,001,Credit,Non-Letter Grade,Satisfactory,Teaching Amer Std
1,26509,,26509,,26509,Todd Hickey,,Anc Hist & Medit Archae,298,001,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
3,30270,,30270,,30270,Emily Mackil,,Anc Hist & Medit Archae,298,002,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,30272,,30272,,30272,Carlos Norena,,Anc Hist & Medit Archae,298,004,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,30274,,30274,,30274,J Pena,,Anc Hist & Medit Archae,298,006,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
2,30276,,30276,,30276,Kim Shelton,,Anc Hist & Medit Archae,298,008,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,33955,,33955,,33955,Francesca Rochberg,,Anc Hist & Medit Archae,298,009,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,33962,,33962,,33962,Andrew Stewart,,Anc Hist & Medit Archae,298,010,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
2,33575,,33575,,33575,Emily Mackil,,Anc Hist & Medit Archae,299,002,A,Letter Grade,A,Superv Indep Study
1,33930,,33930,,33930,Sanjyot Mehendale,,Anc Hist & Medit Archae,299,004,A,Letter Grade,A,Superv Indep Study
1,34098,,34098,,34098,Adam Benkato,,Anc Hist & Medit Archae,299,006,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,34338,,34338,,34338,Susanna Elm,,Anc Hist & Medit Archae,299,007,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,33931,,33931,,33931,Kim Shelton,,Anc Hist & Medit Archae,601,001,Credit,Non-Letter Grade,Satisfactory,Sprv Ind Stdy Mstrs
1,26610,,26610,,26610,Kim Shelton,,Anc Hist & Medit Archae,602,001,Credit,Non-Letter Grade,Satisfactory,Sprv Ind Stdy Phd
1,33929,,33929,,33929,Carlos Norena,,Anc Hist & Medit Archae,602,002,Credit,Non-Letter Grade,Satisfactory,Sprv Ind Stdy Phd
3,30234,,30234,,30234,Christine Hastorf,,Anthropology,229A,001,A,Letter Grade,A,Archaeol Rsch Strat
3,30234,,30234,,30234,Christine Hastorf,,Anthropology,229A,001,A,Letter Grade,A-,Archaeol Rsch Strat
5,32317,,32317,,32317,Jun Sunseri; Nicholas Laluk,,Anthropology,230,001,A,Letter Grade,A,Spec Top Arch
2,30235,,30235,,30235,Lawrence Cohen,,Anthropology,240A,001,A,Letter Grade,A+,Fund Anthro Theo
7,30235,,30235,,30235,Lawrence Cohen,,Anthropology,240A,001,A,Letter Grade,A,Fund Anthro Theo
2,32318,,32318,,32318,Mariane Ferme,,Anthropology,250E,001,A,Letter Grade,A+,Politics
1,32318,,32318,,32318,Mariane Ferme,,Anthropology,250E,001,A,Letter Grade,A,Politics
1,32318,,32318,,32318,Mariane Ferme,,Anthropology,250E,001,B,Letter Grade,B+,Politics
1,30232,,30232,,30232,Charles Hirschkind,,Anthropology,250X,001,A,Letter Grade,A,Special Topics
1,31045,,31045,,31045,Sadhana Naithani,,Anthropology,250X,002,A,Letter Grade,A+,Special Topics
2,31045,,31045,,31045,Sadhana Naithani,,Anthropology,250X,002,A,Letter Grade,A,Special Topics
1,31045,,31045,,31045,Sadhana Naithani,,Anthropology,250X,002,A,Letter Grade,A-,Special Topics
1,31045,,31045,,31045,Sadhana Naithani,,Anthropology,250X,002,B,Letter Grade,B+,Special Topics
11,31046,,31046,,31046,Aarti Sethi,,Anthropology,250X,003,A,Letter Grade,A,Special Topics
7,20824,,20824,,20824,Charles Briggs,,Anthropology,C262A,001,A,Letter Grade,A,Traditionalities
4,30233,,30233,,30233,William Hanks,,Anthropology,270B,001,A,Letter Grade,A,Language Fundamentl
1,30233,,30233,,30233,William Hanks,,Anthropology,270B,001,Credit,Non-Letter Grade,Satisfactory,Language Fundamentl
31,18939,,18939,,18939,Mariane Ferme,,Anthropology,290,001,Credit,Non-Letter Grade,Satisfactory,Surv Anthr Research
7,25562,,25562,,25562,Rosemary Joyce,,Anthropology,291,001,Credit,Non-Letter Grade,Satisfactory,Prof Dev Anthr Arch
2,14289,,14289,,14289,Sabrina Agarwal,,Anthropology,298,001,A,Letter Grade,A+,Dir Read
1,14291,,14291,,14291,Charles Briggs,,Anthropology,298,003,A,Letter Grade,A,Dir Read
1,14291,,14291,,14291,Charles Briggs,,Anthropology,298,003,Credit,Non-Letter Grade,Satisfactory,Dir Read
4,14292,,14292,,14292,Lawrence Cohen,,Anthropology,298,004,A,Letter Grade,A,Dir Read
1,14295,,14295,,14295,Junko Habu,,Anthropology,298,007,A,Letter Grade,A,Dir Read
2,14297,,14297,,14297,Christine Hastorf,,Anthropology,298,009,A,Letter Grade,A,Dir Read
7,14299,,14299,,14299,Charles Hirschkind,,Anthropology,298,011,A,Letter Grade,A,Dir Read
1,14300,,14300,,14300,James Holston,,Anthropology,298,012,Credit,Non-Letter Grade,Satisfactory,Dir Read
2,14301,,14301,,14301,Rosemary Joyce,,Anthropology,298,013,A,Letter Grade,A,Dir Read
1,14303,,14303,,14303,Kent Lightfoot,,Anthropology,298,015,A,Letter Grade,A,Dir Read
1,14304,,14304,,14304,Xin Liu,,Anthropology,298,016,A,Letter Grade,A,Dir Read
2,14305,,14305,,14305,Daena Funahashi,,Anthropology,298,017,A,Letter Grade,A+,Dir Read
1,14305,,14305,,14305,Daena Funahashi,,Anthropology,298,017,A,Letter Grade,A,Dir Read
1,14309,,14309,,14309,Stefania Pandolfo,,Anthropology,298,021,A,Letter Grade,A,Dir Read
2,14310,,14310,,14310,Andrew Kim,,Anthropology,298,022,A,Letter Grade,A,Dir Read
1,14312,,14312,,14312,Jun Sunseri,,Anthropology,298,024,A,Letter Grade,A+,Dir Read
1,14313,,14313,,14313,Laurie Wilkie,,Anthropology,298,025,A,Letter Grade,A,Dir Read
1,14314,,14314,,14314,Alexei Yurchak,,Anthropology,298,026,A,Letter Grade,A,Dir Read
1,14320,,14320,,14320,Daniel Fisher,,Anthropology,298,032,A,Letter Grade,A,Dir Read
1,14321,,14321,,14321,Karen Nakamura,,Anthropology,298,033,A,Letter Grade,A+,Dir Read
3,14321,,14321,,14321,Karen Nakamura,,Anthropology,298,033,A,Letter Grade,A,Dir Read
1,14321,,14321,,14321,Karen Nakamura,,Anthropology,298,033,Credit,Non-Letter Grade,Satisfactory,Dir Read
3,14486,,14486,,14486,Sabrina Agarwal,,Anthropology,299,001,A,Letter Grade,A+,Directed Research
7,14488,,14488,,14488,Charles Briggs,,Anthropology,299,003,A,Letter Grade,A,Directed Research
1,14488,,14488,,14488,Charles Briggs,,Anthropology,299,003,Credit,Non-Letter Grade,Satisfactory,Directed Research
1,14489,,14489,,14489,Lawrence Cohen,,Anthropology,299,004,A,Letter Grade,A+,Directed Research
5,14489,,14489,,14489,Lawrence Cohen,,Anthropology,299,004,A,Letter Grade,A,Directed Research
1,14490,,14490,,14490,Terrence Deacon,,Anthropology,299,005,A,Letter Grade,A,Directed Research
1,14491,,14491,,14491,Mariane Ferme,,Anthropology,299,006,A,Letter Grade,A,Directed Research
1,14491,,14491,,14491,Mariane Ferme,,Anthropology,299,006,Credit,Non-Letter Grade,Satisfactory,Directed Research
1,14492,,14492,,14492,Junko Habu,,Anthropology,299,007,A,Letter Grade,A,Directed Research
1,14493,,14493,,14493,William Hanks,,Anthropology,299,008,A,Letter Grade,A,Directed Research
1,14493,,14493,,14493,William Hanks,,Anthropology,299,008,Credit,Non-Letter Grade,Satisfactory,Directed Research
2,14494,,14494,,14494,Christine Hastorf,,Anthropology,299,009,A,Letter Grade,A,Directed Research
2,14495,,14495,,14495,Corinne Hayden,,Anthropology,299,010,A,Letter Grade,A,Directed Research
4,14496,,14496,,14496,Charles Hirschkind,,Anthropology,299,011,A,Letter Grade,A,Directed Research
4,14496,,14496,,14496,Charles Hirschkind,,Anthropology,299,011,Credit,Non-Letter Grade,Satisfactory,Directed Research
2,14497,,14497,,14497,James Holston,,Anthropology,299,012,A,Letter Grade,A,Directed Research
1,14497,,14497,,14497,James Holston,,Anthropology,299,012,Credit,Non-Letter Grade,Satisfactory,Directed Research
4,14498,,14498,,14498,Rosemary Joyce,,Anthropology,299,013,A,Letter Grade,A,Directed Research
3,14500,,14500,,14500,Kent Lightfoot,,Anthropology,299,015,A,Letter Grade,A,Directed Research
1,14501,,14501,,14501,Xin Liu,,Anthropology,299,016,A,Letter Grade,A+,Directed Research
2,14505,,14505,,14505,Stefania Pandolfo,,Anthropology,299,021,A,Letter Grade,A,Directed Research
1,14505,,14505,,14505,Stefania Pandolfo,,Anthropology,299,021,Credit,Non-Letter Grade,Satisfactory,Directed Research
1,14508,,14508,,14508,Jun Sunseri,,Anthropology,299,024,A,Letter Grade,A+,Directed Research
3,14509,,14509,,14509,Laurie Wilkie,,Anthropology,299,025,A,Letter Grade,A,Directed Research
1,14510,,14510,,14510,Alexei Yurchak,,Anthropology,299,026,A,Letter Grade,A,Directed Research
1,14510,,14510,,14510,Alexei Yurchak,,Anthropology,299,026,Credit,Non-Letter Grade,Satisfactory,Directed Research
2,14515,,14515,,14515,Lisa Maher,,Anthropology,299,031,A,Letter Grade,A+,Directed Research
5,14516,,14516,,14516,Daniel Fisher,,Anthropology,299,032,A,Letter Grade,A,Directed Research
1,14516,,14516,,14516,Daniel Fisher,,Anthropology,299,032,Credit,Non-Letter Grade,Satisfactory,Directed Research
3,14517,,14517,,14517,Karen Nakamura,,Anthropology,299,033,A,Letter Grade,A,Directed Research
1,17917,,17917,,17917,William Hanks,,Anthropology,301,007,Credit,Non-Letter Grade,Satisfactory,Prof Train Teaching
1,17918,,17918,,17918,Sabrina Agarwal,,Anthropology,301,008,Credit,Non-Letter Grade,Satisfactory,Prof Train Teaching
3,17913,,17913,,17913,Rosemary Joyce,,Anthropology,301,014,Credit,Non-Letter Grade,Satisfactory,Prof Train Teaching
8,20837,,20837,,20837,Karen Nakamura,,Anthropology,375,001,Credit,Non-Letter Grade,Satisfactory,Grad Pedagogy Smnar
2,14099,,14099,,14099,Boubacar Kante,,Applied Science & Tech,299,001,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14100,,14100,,14100,Jasmina Vujic,,Applied Science & Tech,299,002,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14101,,14101,,14101,Na Ji,,Applied Science & Tech,299,003,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14070,,14070,,14070,Lane Martin,,Applied Science & Tech,299,004,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14071,,14071,,14071,Seung-Wuk Lee,,Applied Science & Tech,299,005,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14072,,14072,,14072,Frances Hellman,,Applied Science & Tech,299,008,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,14074,,14074,,14074,Jie Yao,,Applied Science & Tech,299,010,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14075,,14075,,14075,Carl Schroeder,,Applied Science & Tech,299,012,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,14076,,14076,,14076,Roger Falcone,,Applied Science & Tech,299,013,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,14078,,14078,,14078,Hartmut Haeffner,,Applied Science & Tech,299,015,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,14081,,14081,,14081,Feng Wang,,Applied Science & Tech,299,020,Credit,Non-Letter Grade,Satisfactory,Individual Research
