Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
47,32263,,32263,,32263,Panayiotis Papadopoulos,,Aerospace Engineering,1,001,Credit,Non-Letter Grade,Pass,Aero Eng 1 Seminar
2,32263,,32263,,32263,Panayiotis Papadopoulos,,Aerospace Engineering,1,001,No Credit,Non-Letter Grade,Not Pass,Aero Eng 1 Seminar
7,21062,,21062,,21062,Megan Haley,,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
4,21062,,21062,,21062,Megan Haley,,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
5,21062,,21062,,21062,Megan Haley,,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
1,21062,,21062,,21062,Megan Haley,,Aerospace Studies,1A,001,B,Letter Grade,B+,Found Us Air Force
1,21062,,21062,,21062,Megan Haley,,Aerospace Studies,1A,001,C,Letter Grade,C+,Found Us Air Force
1,21062,,21062,,21062,Megan Haley,,Aerospace Studies,1A,001,C,Letter Grade,C,Found Us Air Force
4,21062,,21062,,21062,Megan Haley,,Aerospace Studies,1A,001,No Credit,Non-Letter Grade,Not Pass,Found Us Air Force
7,24529,,24529,,24529,Megan Haley,,Aerospace Studies,1A,002,A,Letter Grade,A+,Found Us Air Force
4,24529,,24529,,24529,Megan Haley,,Aerospace Studies,1A,002,A,Letter Grade,A,Found Us Air Force
9,24529,,24529,,24529,Megan Haley,,Aerospace Studies,1A,002,A,Letter Grade,A-,Found Us Air Force
1,24529,,24529,,24529,Megan Haley,,Aerospace Studies,1A,002,B,Letter Grade,B+,Found Us Air Force
1,24529,,24529,,24529,Megan Haley,,Aerospace Studies,1A,002,F,Letter Grade,F,Found Us Air Force
10,21061,,21061,,21061,Michael Kraft,,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
10,21061,,21061,,21061,Michael Kraft,,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
6,21061,,21061,,21061,Michael Kraft,,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
1,21061,,21061,,21061,Michael Kraft,,Aerospace Studies,2A,001,B,Letter Grade,B+,Evolut Of Air Power
2,21061,,21061,,21061,Michael Kraft,,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
1,21061,,21061,,21061,Michael Kraft,,Aerospace Studies,2A,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
9,24530,,24530,,24530,Michael Kraft,,Aerospace Studies,2A,002,A,Letter Grade,A+,Evolut Of Air Power
3,24530,,24530,,24530,Michael Kraft,,Aerospace Studies,2A,002,A,Letter Grade,A,Evolut Of Air Power
3,24530,,24530,,24530,Michael Kraft,,Aerospace Studies,2A,002,A,Letter Grade,A-,Evolut Of Air Power
1,24530,,24530,,24530,Michael Kraft,,Aerospace Studies,2A,002,B,Letter Grade,B+,Evolut Of Air Power
1,24530,,24530,,24530,Michael Kraft,,Aerospace Studies,2A,002,B,Letter Grade,B,Evolut Of Air Power
