Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,6,,,01653,Jeffrey Perloff; Sofia Villas-Boas,,Ag & Resource Econ & Pol,202,001,A,Letter Grade,A+,Issues In Agri Econ
1,1,,,01677,David Sunding; Meredith Fowlie,,Ag & Resource Econ & Pol,264,001,A,Letter Grade,A+,Emp Energy Env Econ
1,6,,,03001,Laurie Wilkie,,Anthropology,227,001,A,Letter Grade,A+,Hist Arch Res
1,7,,,03002,Jun Sunseri,,Anthropology,228,001,A,Letter Grade,A+,Method
1,4,,,03005,Lisa Maher; Patrick Kirch,,Anthropology,229B,001,A,Letter Grade,A+,Arch Rsch Strat
1,2,,,03011,Ira Jacknis,,Anthropology,235,001,A,Letter Grade,A+,Museum Anthropology
1,4,,,03016,Stefania Pandolfo,,Anthropology,250A,001,A,Letter Grade,A+,Psychological Anthr
1,1,,,03023,Nelson Graburn,,Anthropology,250V,001,A,Letter Grade,A+,Tourism
1,1,,,03026,Aihwa Ong,,Anthropology,250X,001,A,Letter Grade,A+,Special Topics
1,1,,,03092,Terrence Deacon,,Anthropology,298,005,A,Letter Grade,A+,Dir Read
1,2,,,03125,Xin Liu,,Anthropology,298,016,A,Letter Grade,A+,Dir Read
1,1,,,03164,Ruth Tringham,,Anthropology,298,031,A,Letter Grade,A+,Dir Read
1,2,,,03170,Lisa Maher,,Anthropology,298,034,A,Letter Grade,A+,Dir Read
1,3,,,03176,Sabrina Agarwal,,Anthropology,299,001,A,Letter Grade,A+,Directed Research
1,1,,,03215,Patrick Kirch,,Anthropology,299,014,A,Letter Grade,A+,Directed Research
1,1,,,03236,Stefania Pandolfo,,Anthropology,299,021,A,Letter Grade,A+,Directed Research
1,1,,,03242,Nancy Scheper-Hughes,,Anthropology,299,023,A,Letter Grade,A+,Directed Research
1,1,,,03245,Laurie Wilkie,,Anthropology,299,024,A,Letter Grade,A+,Directed Research
1,1,,,03266,Lisa Maher,,Anthropology,299,031,A,Letter Grade,A+,Directed Research
1,1,,,03882,Renee Chow,,Architecture,202,001,A,Letter Grade,A+,Adv Option Studio
1,3,,,03888,Deborah Berke; Seema Kairam,,Architecture,202,003,A,Letter Grade,A+,Adv Option Studio
1,2,,,03894,Mark Anderson,,Architecture,204B,001,A,Letter Grade,A+,Thesis Studio
1,1,,,03897,Rene' Davids,,Architecture,204B,002,A,Letter Grade,A+,Thesis Studio
1,3,,,03900,Maria Paz Gutierrez,,Architecture,204B,003,A,Letter Grade,A+,Thesis Studio
1,1,,,03915,Steven Sharafian,,Architecture,208,001,A,Letter Grade,A+,Construction Law
1,4,,,03935,Maria Paz Gutierrez,,Architecture,229,001,A,Letter Grade,A+,Digit Des Thry Meth
1,1,,,03936,Richard Fernau,,Architecture,237,001,A,Letter Grade,A+,Ulter Speculation
1,1,,,03938,Brendon Levitt; Kyle Steinfeld,,Architecture,229,002,A,Letter Grade,A+,Digit Des Thry Meth
1,1,,,03941,Kyle Steinfeld,,Architecture,229,003,A,Letter Grade,A+,Digit Des Thry Meth
1,3,,,03944,Gail Brager,,Architecture,249,001,A,Letter Grade,A+,Phy Envir In Bldgs
1,1,,,03945,Luisa Caldas,,Architecture,249,002,A,Letter Grade,A+,Phy Envir In Bldgs
1,3,,,03947,Stefano Schiavon,,Architecture,249,003,A,Letter Grade,A+,Phy Envir In Bldgs
1,3,,,03951,Mark Anderson,,Architecture,269,002,A,Letter Grade,A+,Spec Top Const/Mat
1,1,,,04011,Margaret Dhaemers,,Architecture,299,008,A,Letter Grade,A+,Individual Study
1,1,,,04053,Kyle Steinfeld,,Architecture,299,022,A,Letter Grade,A+,Individual Study
1,1,,,04113,Jill Stoner,,Architecture,230,001,A,Letter Grade,A+,Adv Arch Des Th/Cr
1,1,,,04666,Greg Niemeyer,,Art Practice,290,004,A,Letter Grade,A+,Indep Stud Grad
1,6,,,04714,Greg Niemeyer,,Art Practice,295,001,A,Letter Grade,A+,Indep Study Mfa
1,2,,,05064,Beate Fricke; Niklaus Largier,,History of Art,258,001,A,Letter Grade,A+,Sem: Late Medieval
1,1,,,06065,Daniel Kasen,,Astronomy,C207,001,A,Letter Grade,A+,Rad Proc In Astron
1,1,,,06076,Eliot Quataert,,Astronomy,252,001,A,Letter Grade,A+,Stel Struct Evol
1,7,,,07043,Niren Murthy,,Bioengineering,C216,001,A,Letter Grade,A+,Macro Sci Biotech
1,1,,,07049,Irina Conboy; Michael Conboy,,Bioengineering,C218,001,A,Letter Grade,A+,Stem Cell & Dir Org
1,1,,,07067,Ian Holmes,,Bioengineering,241,001,A,Letter Grade,A+,Prod Mod In Comp Bi
1,2,,,07091,Gerard Marriott,,Bioengineering,263,001,A,Letter Grade,A+,Prin Of Molec & Cel
1,1,,,08777,Terry Taylor,,Business Admin-MBA,204,01A,A,Letter Grade,A+,Operations
1,1,,,08783,Terry Taylor,,Business Admin-MBA,204,03A,A,Letter Grade,A+,Operations
1,3,,,08816,Ernesto Dal Bo,,Business Admin-MBA,207,02B,A,Letter Grade,A+,Ethics
1,7,,,08825,David Robinson; Samuel Olesky; Timothy Dayonot,,Business Admin-MBA,209F,001,A,Letter Grade,A+,Bus Fundamentals
1,1,,,08828,Gregory La Blanc,,Business Admin-MBA,211,001,A,Letter Grade,A+,Game Theory
1,4,,,08831,Severin Borenstein,,Business Admin-MBA,212,001,A,Letter Grade,A+,Energy Env Mkts
1,5,,,08836,Allan Marks,,Business Admin-MBA,217,011,A,Letter Grade,A+,Topics In Eap
1,2,,,08837,Alastair Lawrence,,Business Admin-MBA,223,001,A,Letter Grade,A+,Corp Fin Reporting
1,2,,,08839,Alastair Lawrence,,Business Admin-MBA,223,002,A,Letter Grade,A+,Corp Fin Reporting
1,3,,,08846,Gustavo Manso,,Business Admin-MBA,231,001,A,Letter Grade,A+,Corporate Finance
1,5,,,08849,Gustavo Manso,,Business Admin-MBA,231,002,A,Letter Grade,A+,Corporate Finance
1,3,,,08855,Christine Parlour,,Business Admin-MBA,233,001,A,Letter Grade,A+,Investments
