Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,4,,,00527,G. Ugo Nwokeji,,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
1,3,,,00539,Brandi Catanese,,African American Studies,5A,001,A,Letter Grade,A+,Afam Life & Cul U S
1,1,,,00557,Sam Mchombo,,African American Studies,10B,001,A,Letter Grade,A+,Intermed Swahili
1,2,,,00560,Edwin Okongo,,African American Studies,11B,001,A,Letter Grade,A+,Elementary Swahili
1,2,,,00563,Edwin Okongo,,African American Studies,11B,002,A,Letter Grade,A+,Elementary Swahili
1,5,,,00610,John Patton,,African American Studies,109,001,A,Letter Grade,A+,Black/Male Am Life
1,2,,,00626,Hardy Frye,,African American Studies,122,001,A,Letter Grade,A+,"Afam Family, Am Soc"
1,2,,,00628,Stephen Small,,African American Studies,123,001,A,Letter Grade,A+,Social & Political
1,1,,,00635,Darieck Scott,,African American Studies,152F,001,A,Letter Grade,A+,Neo-Slave Narrative
1,6,,,00638,Aya De Leon,,African American Studies,156AC,001,A,Letter Grade,A+,Poetry 4 People:Int
1,2,,,01203,Gordon Rausser,,Environ Econ & Policy,C1,001,A,Letter Grade,A+,Intro To Env Econ
1,5,,,01218,Jeffrey Perloff,,Environ Econ & Policy,100,001,A,Letter Grade,A+,Microecon Theory
1,2,,,01233,David Zilberman,,Environ Econ & Policy,C101,001,A,Letter Grade,A+,Environmental Econ
1,11,,,01254,Sofia Villas-Boas,,Environ Econ & Policy,142,001,A,Letter Grade,A+,Indust Organization
1,2,,,01257,Robin Marsh,,Environ Econ & Policy,153,001,A,Letter Grade,A+,Envir & Development
1,2,,,01281,David Roland-Holst,,Environ Econ & Policy,C181,001,A,Letter Grade,A+,International Trade
1,1,,,01332,David Zilberman,,Environ Econ & Policy,H196,002,A,Letter Grade,A+,Honors Research
1,1,,,02030,Michelle Branch,,American Studies,101,003,A,Letter Grade,A+,Us Cultures In Time
1,1,,,02057,Paul Groth,,American Studies,C112B,001,A,Letter Grade,A+,"Am Landscape,1900--"
1,5,,,02303,Terrence Deacon,,Anthropology,1,001,A,Letter Grade,A+,Intro To Bio Anthro
1,8,,,02396,Kent Lightfoot,,Anthropology,2AC,001,A,Letter Grade,A+,Intro Archaeology
1,3,,,02465,Xin Liu,,Anthropology,3AC,001,A,Letter Grade,A+,Intro Soc/Cult Ac
1,1,,,02537,Jason Price; Terrence Deacon,,Anthropology,R5B,002,A,Letter Grade,A+,Reading & Comp
1,3,,,02540,Stanley Herman,,Anthropology,R5B,003,A,Letter Grade,A+,Reading & Comp
1,4,,,02548,Arpita Roy,,Anthropology,R5B,006,A,Letter Grade,A+,Reading & Comp
1,2,,,02612,Lawrence Cohen,,Anthropology,115,001,A,Letter Grade,A+,Intro Med Anthro
1,2,,,02638,James Battle,,Anthropology,119,001,A,Letter Grade,A+,Med Anthro Topics
1,2,,,02639,Laurie Wilkie,,Anthropology,121C,001,A,Letter Grade,A+,Hist Artifact/Analy
1,15,,,02644,Jun Sunseri,,Anthropology,122A,001,A,Letter Grade,A+,Archaeol No Amer
1,4,,,02645,Patrick Kirch,,Anthropology,C124C,001,A,Letter Grade,A+,Hum Bio Of The Pac
1,6,,,02663,Lisa Maher,,Anthropology,128M,001,A,Letter Grade,A+,Topics:Arch/Method
1,7,,,02669,Laura Nader,,Anthropology,137,001,A,Letter Grade,A+,Energy/Cult/Soc Org
1,15,,,02681,Stefania Pandolfo,,Anthropology,149,001,A,Letter Grade,A+,Psychological Anth
1,3,,,02696,Paul Rabinow,,Anthropology,155,001,A,Letter Grade,A+,Modernity
1,2,,,02698,Junko Habu,,Anthropology,171,001,A,Letter Grade,A+,Japan
1,14,,,02699,William Hanks,,Anthropology,179,001,A,Letter Grade,A+,The Maya
1,2,,,02702,Stanley Brandes,,Anthropology,180,001,A,Letter Grade,A+,Europ Society
