Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
4,24437,,24437,,24437,Darieck Scott,,African American Studies,240,001,A,Letter Grade,A+,Spec Topics
5,24437,,24437,,24437,Darieck Scott,,African American Studies,240,001,A,Letter Grade,A,Spec Topics
2,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,A,Letter Grade,A+,Spec Topics
6,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,A,Letter Grade,A,Spec Topics
1,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,A,Letter Grade,A-,Spec Topics
1,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,B,Letter Grade,B+,Spec Topics
1,33290,,33290,,33290,Micah Khater,,African American Studies,241,001,Credit,Non-Letter Grade,Satisfactory,Spec Topics
4,33303,,33303,,33303,Ula Taylor,,African American Studies,241,002,A,Letter Grade,A,Spec Topics
1,31461,,31461,,31461,John Powell,,African American Studies,250,001,A,Letter Grade,A-,Black Intellectuals
7,19307,,19307,,19307,Ula Taylor,,African American Studies,296,001,Credit,Non-Letter Grade,Satisfactory,Dir Diss Research
2,17093,,17093,,17093,Michael Cohen,,African American Studies,299,001,A,Letter Grade,A,Ind Stdy/Res
1,17094,,17094,,17094,Leigh Raiford,,African American Studies,299,002,A,Letter Grade,A,Ind Stdy/Res
1,19308,,19308,,19308,Ula Taylor,,African American Studies,601,001,Credit,Non-Letter Grade,Satisfactory,Indiv Study: Ma
4,19309,,19309,,19309,Ula Taylor,,African American Studies,602,001,Credit,Non-Letter Grade,Satisfactory,Ind Stdy For Doc St
3,27475,,27475,,27475,Larry Karp; Jeffrey Perloff,,Ag & Resource Econ & Pol,202,001,A,Letter Grade,A+,Issues In Agri Econ
3,27475,,27475,,27475,Larry Karp; Jeffrey Perloff,,Ag & Resource Econ & Pol,202,001,A,Letter Grade,A,Issues In Agri Econ
3,27475,,27475,,27475,Larry Karp; Jeffrey Perloff,,Ag & Resource Econ & Pol,202,001,A,Letter Grade,A-,Issues In Agri Econ
2,27475,,27475,,27475,Larry Karp; Jeffrey Perloff,,Ag & Resource Econ & Pol,202,001,B,Letter Grade,B+,Issues In Agri Econ
4,27477,,27477,,27477,Ethan Ligon; Sofia Villas-Boas,,Ag & Resource Econ & Pol,212,001,A,Letter Grade,A+,Econometrics 2
1,27477,,27477,,27477,Ethan Ligon; Sofia Villas-Boas,,Ag & Resource Econ & Pol,212,001,A,Letter Grade,A,Econometrics 2
3,27477,,27477,,27477,Ethan Ligon; Sofia Villas-Boas,,Ag & Resource Econ & Pol,212,001,A,Letter Grade,A-,Econometrics 2
4,27477,,27477,,27477,Ethan Ligon; Sofia Villas-Boas,,Ag & Resource Econ & Pol,212,001,B,Letter Grade,B+,Econometrics 2
2,27477,,27477,,27477,Ethan Ligon; Sofia Villas-Boas,,Ag & Resource Econ & Pol,212,001,B,Letter Grade,B,Econometrics 2
2,27477,,27477,,27477,Ethan Ligon; Sofia Villas-Boas,,Ag & Resource Econ & Pol,212,001,Credit,Non-Letter Grade,Satisfactory,Econometrics 2
2,27479,,27479,,27479,Ethan Ligon; Joseph Shapiro,,Ag & Resource Econ & Pol,219B,001,A,Letter Grade,A,Econometric Proj
5,27479,,27479,,27479,Ethan Ligon; Joseph Shapiro,,Ag & Resource Econ & Pol,219B,001,A,Letter Grade,A-,Econometric Proj
2,27479,,27479,,27479,Ethan Ligon; Joseph Shapiro,,Ag & Resource Econ & Pol,219B,001,B,Letter Grade,B+,Econometric Proj
2,27479,,27479,,27479,Ethan Ligon; Joseph Shapiro,,Ag & Resource Econ & Pol,219B,001,B,Letter Grade,B,Econometric Proj
11,27842,,27842,,27842,Francis Annan,,Ag & Resource Econ & Pol,239,001,Credit,Non-Letter Grade,Satisfactory,Mkts & Trade Wkshop
1,27480,,27480,,27480,Brian Wright; David Zilberman,,Ag & Resource Econ & Pol,242,001,A,Letter Grade,A,Quant Policy Anlys
2,27480,,27480,,27480,Brian Wright; David Zilberman,,Ag & Resource Econ & Pol,242,001,A,Letter Grade,A-,Quant Policy Anlys
