Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,7,,,10594,Kathleen Mccarthy; Daniel Squire,,Latin,15,001,A,Letter Grade,A+,The Latin Workshop
1,1,,,10600,Jacqueline Chew,,Music,45,001,A,Letter Grade,A+,Beginning Piano 1
1,1,,,10624,Margaret Bridges,,Psychology,149,001,A,Letter Grade,A+,Early Dev & Lrn Sem
1,4,,,10625,Ephrem Fernandez,,Psychology,137,001,A,Letter Grade,A+,Mind-Body & Health
1,8,,,10628,Margi Wald; David Wiese; Nora Mitchell,,College Writing Programs,6L,001,A,Letter Grade,A+,Esl Job Search Prac
1,2,,,10636,Margaret Bridges; Devanshi Unadkat,,Psychology,149B,001,A,Letter Grade,A+,Cntxt Of Early Devp
1,3,,,10637,Kristen Burmester,,Psychology,149D,001,A,Letter Grade,A+,Ec Policy
1,3,,,10643,Kelly Campbell,,Psychology,149A,001,A,Letter Grade,A+,Ed&Ls Practicum
1,1,,,10644,Belinda Kremer,,College Writing Programs,134,001,A,Letter Grade,A+,Craft Of Poetry
1,6,,,10649,Margaret Sokolik; Joe De Quattro,,College Writing Programs,R1A,003,A,Letter Grade,A+,College Writing 1a
1,1,,,10652,Margaret Sokolik; Becky Hsu,,College Writing Programs,R1A,004,A,Letter Grade,A+,College Writing 1a
1,5,,,10662,Dre Helmns,,Mechanical Engineering,40,001,A,Letter Grade,A+,Thermodynamics
1,2,,,10664,James Casey; Theresa Honein,,Mechanical Engineering,104,001,A,Letter Grade,A+,Engr Mechanics Ii
1,2,,,10666,Philip Marcus; Aidi Zhang,,Mechanical Engineering,106,001,A,Letter Grade,A+,Fluid Mechanics
1,2,,,10668,Charles Scudiere,,Mechanical Engineering,109,001,A,Letter Grade,A+,Heat Transfer
1,20,,,10670,Ala Moradian,,Mechanical Engineering,110,001,A,Letter Grade,A+,Intro Product Dev
1,2,,,10671,George Anwar,,Mechanical Engineering,132,001,A,Letter Grade,A+,Dyn System/Feedback
1,2,,,10673,Christopher Myers; Ananya Nandy,,Design Innovation,22,1,A,Letter Grade,A+,Prototype & Fab
1,1,,,11074,Daniel Nomura,,Chemistry,196,039,A,Letter Grade,A+,Special Lab Study
1,1,,,11144,John Hartwig,,Chemistry,H194,025,A,Letter Grade,A+,Honors Research
1,1,,,11686,Britt Glaunsinger,,Plant & Microbial Biology,H196,001,A,Letter Grade,A+,Honors Research
1,1,,,12004,Nick Tsivanidis,,Economics,H195B,003,A,Letter Grade,A+,Sr Honors Thesis
1,7,,,12009,Charles Briggs; Clara Mantini Briggs,,Anthropology,189,001,A,Letter Grade,A+,Spec Top:Soc/Cult
1,1,,,12059,Vivek Rao; George Moore II,,Design Innovation,190,10,A,Letter Grade,A+,Spec Topics Des Inv
1,1,,,12367,Laura Enriquez; Phung Su,,Sociology,190,001,A,Letter Grade,A+,Sem & Res In So
1,3,,,12421,Richard Borcherds; Anaka Maher,,Mathematics,49,001,A,Letter Grade,A+,Supp Lower Div Math
1,6,,,13197,Stephen Torres; Moor Xu,,Industrial Eng & Ops Rsch,192,001,A,Letter Grade,A+,Bme Bootcamp
1,1,,,13215,Chanel Caplan,,Media Studies,190,001,A,Letter Grade,A+,Special Topics
1,2,,,13216,Matthew Berry,,Media Studies,190,002,A,Letter Grade,A+,Special Topics
1,2,,,13260,Thomas Mccullough,,Business Admin-Undergrad,101A,001A,A,Letter Grade,A+,Microeconomic Analy
