Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,2,,,11060,Sheri Johnson,,Psychology,299,106,A,Letter Grade,A+,Research
1,1,,,11250,Oliver John,,Psychology,298,004,A,Letter Grade,A+,Directed Study
1,1,,,12018,Susanna Elm,,Classics,299,001,A,Letter Grade,A+,Special Study
1,9,,,12041,Anke Hemmerling,,Public Health,292,001,A,Letter Grade,A+,M.P.H. Seminar
1,1,,,12464,Omar Yaghi,,Chemistry,N299,005,A,Letter Grade,A+,Research
1,1,,,12771,Gregory La Blanc,,Evening & Weekend MBA,290T,002,A,Letter Grade,A+,Spec Top Inn/Desgn
1,1,,,12774,Angele Beausoleil,,Evening & Weekend MBA,290T,001,A,Letter Grade,A+,Spec Top Inn/Desgn
1,5,,,14548,Kyle Beckham; Pa Vue,,Education,231A,001,A,Letter Grade,A+,"Teaching, Learning"
1,8,,,14550,Kyle Beckham,,Education,231A,002,A,Letter Grade,A+,"Teaching, Learning"
1,1,,,14551,Nives Wetzel De Cediel,,Education,392C,002,A,Letter Grade,A+,Art Integration
1,4,,,14553,Aimee Riechel,,Education,227,001,A,Letter Grade,A+,Ethnic Studies K-12
1,1,,,14556,Nives Wetzel De Cediel,,Education,228,002,A,Letter Grade,A+,Design For Learning
1,8,,,14558,Thomas Philip; Brendan Henrique,,Education,224,001,A,Letter Grade,A+,Intro Block-Based
1,1,,,14560,Hodari Toure,,Education,229A,001,A,Letter Grade,A+,Cs Active Methods
1,14,,,14569,Shannon Williams-Zou,,Education,262H,001,A,Letter Grade,A+,Urbschldship/Mgt 2
1,3,,,14589,Daniel Acland,,Public Affairs,215,001,A,Letter Grade,A+,Econ For Pol Makers
1,1,,,14591,Sarah Anzia,,Public Affairs,235,001,A,Letter Grade,A+,Research Methods
1,2,,,14595,Sarah Anzia,,Public Affairs,235,002,A,Letter Grade,A+,Research Methods
1,5,,,14596,Daniel Acland,,Public Affairs,215,002,A,Letter Grade,A+,Econ For Pol Makers
1,4,,,14599,Jane Mauldon; Lawrence Magid; Todd Achilles; Kiran Jain; Alexander Yeh,,Public Affairs,290,002,A,Letter Grade,A+,Spec Topics Pub Aff
1,4,,,14601,Lawrence Magid; Todd Achilles; Kiran Jain; Alexander Yeh,,Public Affairs,287,001,A,Letter Grade,A+,Strategic Planning
1,2,,,14602,Lawrence Magid; Todd Achilles; Kiran Jain; Alexander Yeh,,Public Affairs,287,002,A,Letter Grade,A+,Strategic Planning
1,2,,,14607,Lawrence Magid; Todd Achilles; Kiran Jain; Alexander Yeh,,Public Affairs,290,003,A,Letter Grade,A+,Spec Topics Pub Aff
1,4,,,14624,Randall Rentschler; Brenda Kahn,,Public Affairs,225,001,A,Letter Grade,A+,Policy Comm
1,4,,,14627,Jane Mauldon,,Public Affairs,205,001,A,Letter Grade,A+,Policy Frameworks
1,3,,,14629,Rucker Johnson; Raghav Raghunathan,,Public Affairs,245,001,A,Letter Grade,A+,Inferential Stats
