Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,13080,,13080,,13080,Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,N299,001,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,12489,,12489,,12489,Jeremy Magruder,,Ag & Resource Econ & Pol,N602,004,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,16111,,16111,,16111,J Pena,,Anc Hist & Medit Archae,298,002,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,11385,,11385,,11385,Charles Briggs,,Anthropology,299,001,A,Letter Grade,A,Directed Research
1,11239,,11239,,11239,Mohammad Kaazem Pur Mofrad,,Applied Science & Tech,299,002,Credit,Non-Letter Grade,Satisfactory,Individual Research
15,12472,,12472,,12472,Lisa Iwamoto,,Architecture,N299,001,Credit,Non-Letter Grade,Satisfactory,Individual Study
1,12473,,12473,,12473,Margaret Crawford,,Architecture,N299,002,Credit,Non-Letter Grade,Satisfactory,Individual Study
1,12478,,12478,,12478,C Crysler,,Architecture,N299,007,Credit,Non-Letter Grade,Satisfactory,Individual Study
1,13272,,13272,,13272,Wendy Guild,,Business Admin-MBA,293C,001,Credit,Non-Letter Grade,Satisfactory,Practical Training
1,12418,,12418,,12418,Xiao-Jun Zhang,,Business Admin-PhD,299A,001,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,16002,,16002,,16002,Panagiotis Patatoukas,,Business Admin-PhD,299A,007,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15891,,15891,,15891,Rui Wang,,Chemical Engineering,299,006,A,Letter Grade,A,Research Chem Engin
1,15922,,15922,,15922,John Hartwig,,Chemistry,N299,001,A,Letter Grade,A,Research
1,15955,,15955,,15955,Matthew Francis,,Chemistry,N299,002,A,Letter Grade,A,Research
1,12532,,12532,,12532,Teresa Head-Gordon,,Chemistry,N299,003,A,Letter Grade,A+,Research
1,12536,,12536,,12536,Polly Arnold,,Chemistry,N299,007,B,Letter Grade,B,Research
1,12596,,12596,,12596,Polly Arnold,,Chemistry,N299,064,A,Letter Grade,A,Research
1,12069,,12069,,12069,Laurel Larsen,,Civil & Environmental Eng,297,011,Credit,Non-Letter Grade,Satisfactory,Fld Studies In Cee
1,12073,,12073,,12073,Matthew De Jong,,Civil & Environmental Eng,297,015,Credit,Non-Letter Grade,Satisfactory,Fld Studies In Cee
1,12071,,12071,,12071,Joan Walker,,Civil & Environmental Eng,297,016,Credit,Non-Letter Grade,Satisfactory,Fld Studies In Cee
1,12078,,12078,,12078,Kenichi Soga,,Civil & Environmental Eng,297,022,Credit,Non-Letter Grade,Satisfactory,Fld Studies In Cee
1,10815,,10815,,10815,SHAOFAN LI,,Civil & Environmental Eng,299,017,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,10820,,10820,,10820,Robert Kayen,,Civil & Environmental Eng,299,023,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15909,,15909,,15909,Dimitrios Zekkos,,Civil & Environmental Eng,299,023,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15960,,15960,,15960,Maya Carrasquillo,,Civil & Environmental Eng,299,025,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,12879,,12879,,12879,Rasmus Nielsen,,Computational Biology,295,001,A,Letter Grade,A,Individual Research
2,12295,,12295,,12295,Kurt Keutzer,,Computer Science,297,116,Credit,Non-Letter Grade,Satisfactory,Field Studies In Cs
2,12302,,12302,,12302,Sergey Levine,,Computer Science,297,122,Credit,Non-Letter Grade,Satisfactory,Field Studies In Cs
1,12305,,12305,,12305,Jitendra Malik,,Computer Science,297,128,Credit,Non-Letter Grade,Satisfactory,Field Studies In Cs
1,12306,,12306,,12306,Bjoern Hartmann,,Computer Science,297,130,Credit,Non-Letter Grade,Satisfactory,Field Studies In Cs
1,12326,,12326,,12326,Daniel Klein,,Computer Science,297,171,Credit,Non-Letter Grade,Satisfactory,Field Studies In Cs
2,12328,,12328,,12328,John Kubiatowicz,,Computer Science,297,174,Credit,Non-Letter Grade,Satisfactory,Field Studies In Cs
1,10393,,10393,,10393,Peter Bartlett,,Computer Science,299,013,Credit,Non-Letter Grade,Satisfactory,Indiv Research
1,16044,,16044,,16044,Jitendra Malik,,Computer Science,299,0200,Credit,Non-Letter Grade,Satisfactory,Indiv Research
1,10404,,10404,,10404,Bjoern Hartmann,,Computer Science,299,024,Credit,Non-Letter Grade,Satisfactory,Indiv Research
1,10406,,10406,,10406,Krste Asanovic,,Computer Science,299,026,Credit,Non-Letter Grade,Satisfactory,Indiv Research
2,10409,,10409,,10409,Sergey Levine,,Computer Science,299,29,Credit,Non-Letter Grade,Satisfactory,Indiv Research
1,14819,,14819,,14819,Michael Ball; Victor Huang,,Computer Science,375,001,Credit,Non-Letter Grade,Pass,Teaching Techniques
13,15614,,15614,,15614,Ysis Tarter,,Data Science,200,001,A,Letter Grade,A,Datasci Programming
1,15614,,15614,,15614,Ysis Tarter,,Data Science,200,001,F,Letter Grade,F,Datasci Programming
11,15615,,15615,,15615,Mumin Khan,,Data Science,200,002,A,Letter Grade,A+,Datasci Programming
2,15615,,15615,,15615,Mumin Khan,,Data Science,200,002,A,Letter Grade,A,Datasci Programming
1,15615,,15615,,15615,Mumin Khan,,Data Science,200,002,C,Letter Grade,C,Datasci Programming
11,15616,,15616,,15616,Ysis Tarter,,Data Science,200,003,A,Letter Grade,A,Datasci Programming
1,15616,,15616,,15616,Ysis Tarter,,Data Science,200,003,A,Letter Grade,A-,Datasci Programming
2,15616,,15616,,15616,Ysis Tarter,,Data Science,200,003,B,Letter Grade,B+,Datasci Programming
14,15617,,15617,,15617,Sridevi Pudipeddi,,Data Science,200,004,A,Letter Grade,A,Datasci Programming
3,15618,,15618,,15618,Uthra Ramanujam,,Data Science,200,005,A,Letter Grade,A+,Datasci Programming
11,15618,,15618,,15618,Uthra Ramanujam,,Data Science,200,005,A,Letter Grade,A,Datasci Programming
12,15619,,15619,,15619,Sridevi Pudipeddi,,Data Science,200,006,A,Letter Grade,A,Datasci Programming
3,15619,,15619,,15619,Sridevi Pudipeddi,,Data Science,200,006,A,Letter Grade,A-,Datasci Programming
16,15623,,15623,,15623,Conor Healy,,Data Science,201,001,A,Letter Grade,A,Res Dsgn Data Analy
1,15623,,15623,,15623,Conor Healy,,Data Science,201,001,F,Letter Grade,F,Res Dsgn Data Analy
14,15624,,15624,,15624,JP Dolphin,,Data Science,201,002,A,Letter Grade,A,Res Dsgn Data Analy
1,15624,,15624,,15624,JP Dolphin,,Data Science,201,002,A,Letter Grade,A-,Res Dsgn Data Analy
1,15625,,15625,,15625,Conor Healy,,Data Science,201,003,A,Letter Grade,A+,Res Dsgn Data Analy
14,15625,,15625,,15625,Conor Healy,,Data Science,201,003,A,Letter Grade,A,Res Dsgn Data Analy
12,15626,,15626,,15626,Anna Zaitsev,,Data Science,201,004,A,Letter Grade,A+,Res Dsgn Data Analy
3,15626,,15626,,15626,Anna Zaitsev,,Data Science,201,004,A,Letter Grade,A,Res Dsgn Data Analy
13,15627,,15627,,15627,Anna Zaitsev,,Data Science,201,005,A,Letter Grade,A+,Res Dsgn Data Analy
2,15627,,15627,,15627,Anna Zaitsev,,Data Science,201,005,A,Letter Grade,A,Res Dsgn Data Analy
1,15628,,15628,,15628,Conor Healy,,Data Science,201,006,A,Letter Grade,A+,Res Dsgn Data Analy
11,15628,,15628,,15628,Conor Healy,,Data Science,201,006,A,Letter Grade,A,Res Dsgn Data Analy
3,15628,,15628,,15628,Conor Healy,,Data Science,201,006,A,Letter Grade,A-,Res Dsgn Data Analy
13,15877,,15877,,15877,Conor Healy,,Data Science,201,007,A,Letter Grade,A,Res Dsgn Data Analy
1,15877,,15877,,15877,Conor Healy,,Data Science,201,007,F,Letter Grade,F,Res Dsgn Data Analy
2,15631,,15631,,15631,Paul Laskowski,,Data Science,203,001,A,Letter Grade,A,Stat For Data Sci
8,15631,,15631,,15631,Paul Laskowski,,Data Science,203,001,A,Letter Grade,A-,Stat For Data Sci
1,15631,,15631,,15631,Paul Laskowski,,Data Science,203,001,B,Letter Grade,B+,Stat For Data Sci
4,15631,,15631,,15631,Paul Laskowski,,Data Science,203,001,B,Letter Grade,B,Stat For Data Sci
1,15631,,15631,,15631,Paul Laskowski,,Data Science,203,001,F,Letter Grade,F,Stat For Data Sci
2,15632,,15632,,15632,Sushovan Majhi,,Data Science,203,002,A,Letter Grade,A,Stat For Data Sci
5,15632,,15632,,15632,Sushovan Majhi,,Data Science,203,002,A,Letter Grade,A-,Stat For Data Sci
5,15632,,15632,,15632,Sushovan Majhi,,Data Science,203,002,B,Letter Grade,B+,Stat For Data Sci
1,15632,,15632,,15632,Sushovan Majhi,,Data Science,203,002,B,Letter Grade,B,Stat For Data Sci
1,15633,,15633,,15633,Mark Labovitz,,Data Science,203,003,A,Letter Grade,A+,Stat For Data Sci
3,15633,,15633,,15633,Mark Labovitz,,Data Science,203,003,A,Letter Grade,A,Stat For Data Sci
8,15633,,15633,,15633,Mark Labovitz,,Data Science,203,003,A,Letter Grade,A-,Stat For Data Sci
2,15633,,15633,,15633,Mark Labovitz,,Data Science,203,003,B,Letter Grade,B+,Stat For Data Sci
2,15633,,15633,,15633,Mark Labovitz,,Data Science,203,003,B,Letter Grade,B,Stat For Data Sci
8,15634,,15634,,15634,Mark Labovitz,,Data Science,203,004,A,Letter Grade,A,Stat For Data Sci
4,15634,,15634,,15634,Mark Labovitz,,Data Science,203,004,A,Letter Grade,A-,Stat For Data Sci
2,15634,,15634,,15634,Mark Labovitz,,Data Science,203,004,B,Letter Grade,B+,Stat For Data Sci
1,15634,,15634,,15634,Mark Labovitz,,Data Science,203,004,B,Letter Grade,B,Stat For Data Sci
1,15634,,15634,,15634,Mark Labovitz,,Data Science,203,004,B,Letter Grade,B-,Stat For Data Sci
6,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,A,Letter Grade,A,Stat For Data Sci
3,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,A,Letter Grade,A-,Stat For Data Sci
4,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,B,Letter Grade,B+,Stat For Data Sci
1,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,B,Letter Grade,B,Stat For Data Sci
1,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,B,Letter Grade,B-,Stat For Data Sci
2,15636,,15636,,15636,Gunnar Kleemann,,Data Science,203,006,A,Letter Grade,A+,Stat For Data Sci
3,15636,,15636,,15636,Gunnar Kleemann,,Data Science,203,006,A,Letter Grade,A,Stat For Data Sci
