Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A+,Hist Mod Civ Rt Mov
62,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A,Hist Mod Civ Rt Mov
15,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A-,Hist Mod Civ Rt Mov
14,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B+,Hist Mod Civ Rt Mov
13,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B,Hist Mod Civ Rt Mov
2,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B-,Hist Mod Civ Rt Mov
7,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,C,Letter Grade,C+,Hist Mod Civ Rt Mov
5,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,C,Letter Grade,C,Hist Mod Civ Rt Mov
1,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,D,Letter Grade,D+,Hist Mod Civ Rt Mov
5,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,D,Letter Grade,D,Hist Mod Civ Rt Mov
5,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,F,Letter Grade,F,Hist Mod Civ Rt Mov
33,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,Credit,Non-Letter Grade,Pass,Hist Mod Civ Rt Mov
7,14307,,14307,,14307,Ula Taylor,,African American Studies,125AC,001,No Credit,Non-Letter Grade,Not Pass,Hist Mod Civ Rt Mov
13,15978,,15978,,15978,G Ugo Nwokeji,,African American Studies,127,001,A,Letter Grade,A+,Pan Afrikan Social
3,15978,,15978,,15978,G Ugo Nwokeji,,African American Studies,127,001,A,Letter Grade,A,Pan Afrikan Social
14,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,A,Letter Grade,A,Criminal Jus Sur Am
6,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,A,Letter Grade,A-,Criminal Jus Sur Am
9,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,B,Letter Grade,B+,Criminal Jus Sur Am
9,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,B,Letter Grade,B,Criminal Jus Sur Am
4,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,B,Letter Grade,B-,Criminal Jus Sur Am
1,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,C,Letter Grade,C+,Criminal Jus Sur Am
5,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,C,Letter Grade,C,Criminal Jus Sur Am
3,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,C,Letter Grade,C-,Criminal Jus Sur Am
3,13409,,13409,,13409,Nikki Jones,,African American Studies,136L,001,D,Letter Grade,D,Criminal Jus Sur Am
