UC Berkeley Fall 2007 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 002B,001,EVOLUT OF AIR POWER,"HENSON, A S       ",3,1,3,4,0,0,1,0,0,0,0,0,0
AEROSPC, 024,001,FRESHMAN SEMINARS  ,"HENSON, A S       ",4,3,1,1,0,0,0,0,0,0,0,0,3
AFRICAM, 004B,001,AFRICA:  HIST & CUL,"TAYLOR, U Y       ",3,11,13,10,12,7,4,3,4,2,1,0,1
AFRICAM, 005B,001,AFAM LIFE & CUL U S,"ALLEN, R          ",0,11,13,14,6,6,5,2,1,1,0,0,1
AFRICAM, 100,001,INT AFRICAN AMERSTD,"NOON, K M         ",0,0,9,4,4,8,0,2,0,0,0,0,0
AFRICAM, 111,001,RACE CLASS GEN U S ,"FRYE, H T         ",1,5,9,5,6,2,2,2,0,0,1,0,0
AFRICAM, 112B,001,POL/ECO DEV 3RD WLD,"HINTZEN, P C      ",0,2,20,6,7,2,1,1,1,0,0,0,0
AFRICAM, 117,001,AFRIC AM:INDUST AGE,"TAYLOR, U Y       ",0,8,13,7,4,6,2,4,2,3,0,0,3
AFRICAM, 119,001,SELECTED TOPICS    ,"COHEN, M M        ",0,9,4,0,2,0,0,0,0,0,0,0,0
AFRICAM, 122,001,"AFAM FAMILY, AM SOC","FRYE, H T         ",0,3,8,13,8,5,5,0,1,1,2,0,0
AFRICAM, 131,001,"CARIB SOC, CULTURES","LAGUERRE, M S     ",0,7,6,5,7,2,3,1,0,1,0,0,0
AFRICAM, 156AC,001,POETRY 4 PEOPLE:INT,"DE LEON, A        ",2,44,12,0,2,2,0,1,0,0,0,0,0
AFRICAM, 159,001,SPEC TOP AFAM LIT  ,"NANDA, A          ",0,3,6,0,1,0,1,0,0,0,0,0,1
AFRICAM, 159,002,SPEC TOP AFAM LIT  ,"HENRY, C P        ",0,14,9,12,14,5,0,0,2,0,1,0,0
