Grade Distribution for Fall 2011 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Jenna Allen) 4/13/2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DEPT,COURSE,COURSE NUMBER,COURSE SECTION,COURSE DESCRIPTION,INSTRUCTOR NAME,COURSE CONTROL NUMBER,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,PASS,NO PASS,TOTAL P/NP,INCOMPLETES,TOTAL GRADES FOR COURSE
"A,RESEC",ENVECON, 100,001,MICROECON THEORY   ,"LIGON, E          ",01221,3,10,49,7,5,4,3,1,2,0,0,0,2,0,4,4,0,91
"A,RESEC",ENVECON, 131,001,GLOBALIZATION&ENVIR,"KARP, L S         ",01269,2,2,2,1,1,2,0,2,1,0,0,1,0,0,1,1,0,15
"A,RESEC",ENVECON, 143,001,ECON OF INNOVATION ,"WRIGHT, B         ",01287,2,13,10,10,10,3,2,1,0,0,0,0,0,2,1,3,1,55
"A,RESEC",ENVECON, 145,001,HLTH & ENV ECON POL,"ANDERSON, M L     ",01290,3,12,13,7,7,4,5,6,3,3,0,0,0,0,0,0,1,64
"A,RESEC",ENVECON, 152,001,ADV TOPICS DEV/TRAD,"WYDICK, B         ",01308,1,1,5,3,6,3,3,2,0,1,0,0,1,2,1,3,0,29
"A,RESEC",ENVECON,C001,001,INTRO TO ENV ECON  ,"BERCK, P          ",01203,0,15,5,6,4,6,4,11,0,1,0,0,0,1,1,2,1,55
"A,RESEC",ENVECON,C102,001,NAT RES ECON       ,"SUNDING, D L      ",01236,2,4,6,6,14,7,9,9,8,0,1,0,1,0,0,0,0,67
"A,RESEC",ENVECON,C115,001,BIORESOURCE MODELS ,"GETZ, W M         ",01251,0,2,3,0,1,0,1,0,0,0,0,2,1,0,0,0,0,10
"A,RESEC",ENVECON,C118,001,INTRO ECONOMETRICS ,"SADOULET, E       ",01260,3,4,4,6,4,3,1,2,4,0,1,0,0,1,0,1,0,33
"A,RESEC",ENVECON,C151,001,ECONOMIC DEVELOP   ,"DEJANVRY, A       ",01293,2,8,11,8,13,8,4,7,2,0,0,0,2,0,2,2,0,67
"A,RESEC",ENVECON,C175,001,ECON CLIMATE CHG   ,"TRAEGER, C P      ",01326,0,4,8,11,5,1,2,1,0,0,0,0,1,1,0,1,0,34
"A,RESEC",ENVECON,C181,001,INTERNATIONAL TRADE,"KAMALA, C         ",01338,1,1,2,3,4,4,7,5,2,2,2,0,1,3,2,5,0,39
AFRICAM,AFRICAM, 004A,001,AFRICA:  HIST & CUL,"NWOKEJI, G        ",00509,1,8,6,9,8,4,5,3,0,1,1,0,2,10,0,10,3,61
AFRICAM,AFRICAM, 005A,001,AFAM LIFE & CUL U S,"CATANESE, B N     ",00521,0,4,9,7,7,12,4,5,6,1,3,2,1,3,12,15,0,76
AFRICAM,AFRICAM, 010A,001,INTERMED SWAHILI   ,"OMWAMBA, J O      ",00539,0,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,11
AFRICAM,AFRICAM, 011A,001,ELEMENTARY SWAHILI ,"OKONGO, E O       ",00542,0,14,2,3,2,1,1,1,0,0,0,0,1,1,0,1,0,26
