Grade Distribution for Fall 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Fall,African American Studies,AFRICAM,African American Studies,R1A,002,Fresh Composition,Lia Bascomb; Nailah Suad-Bakari,00508,,2,2,4,3,2,,,,,,,1,,,,,,14
2012 Fall,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,,5,5,7,3,,,1,,,,,,,,1,,2,24
2012 Fall,African American Studies,AFRICAM,African American Studies,R1B,002,Freshmn Composition,Ronald Williams,00514,,5,6,2,4,,1,,1,,,,,,,,,,19
2012 Fall,African American Studies,AFRICAM,African American Studies,4A,001,Africa: Hist & Cul,G. Ugo Nwokeji,00515,,4,9,9,7,7,5,,5,3,1,1,,5,,2,,3,61
2012 Fall,African American Studies,AFRICAM,African American Studies,5B,001,Afam Life & Cul U S,Robert Allen,00538,5,18,14,1,9,6,2,7,2,,,,1,8,,,,,73
2012 Fall,African American Studies,AFRICAM,African American Studies,11A,001,Elementary Swahili,Edwin Okongo,00548,4,6,3,1,2,,1,,,,,,,3,,2,,,22
2012 Fall,African American Studies,AFRICAM,African American Studies,11A,002,Elementary Swahili,Edwin Okongo,00551,4,6,1,1,5,1,3,4,,,,1,1,5,,,,,32
2012 Fall,African American Studies,AFRICAM,African American Studies,27AC,001,Lives/Strug/Maj Cul,Michael Cohen,00559,5,32,16,7,5,3,2,1,,,,,,40,,3,,,114
2012 Fall,African American Studies,AFRICAM,African American Studies,28AC,001,Glob & Min Am Comm,Frederick Vincent; Kimberly Mcnair,00560,4,6,14,2,4,5,2,2,3,1,3,1,2,7,,1,,1,58
2012 Fall,African American Studies,AFRICAM,African American Studies,98,006,Directed Group Stdy,Nailah Suad-Bakari,00590,,,,,,,,,,,,,,16,,,,1,17
