UC Berkeley Spring 2011 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 001B,001,FOUND US AIR FORCE ,"PARKER, K T       ",0,2,5,3,1,1,3,3,0,0,0,0,2
AEROSPC, 002B,001,EVOLUT OF AIR POWER,"PARKER, K T       ",4,2,4,2,0,0,1,0,0,1,0,0,1
AFRICAM, 004B,001,AFRICA:  HIST & CUL,"NWOKEJI, G        ",0,10,23,10,7,1,2,0,1,1,0,0,1
AFRICAM, 005B,001,AFAM LIFE & CUL U S,"ALLEN, R          ",7,5,7,4,9,6,5,7,3,0,0,0,2
AFRICAM, 011B,001,ELEMENTARY SWAHILI ,"MCHOMBO, S A      ",3,7,5,1,1,2,0,0,0,0,0,0,0
AFRICAM, 011B,002,ELEMENTARY SWAHILI ,"MCHOMBO, S A      ",1,5,7,4,1,1,1,0,0,0,0,0,0
AFRICAM, 039G,001,FRESH/SOPH SEMINAR ,"RAIFORD, L        ",0,9,2,0,1,0,0,0,0,0,0,0,0
AFRICAM, 107,001,RACE AND PUB POLICY,"HENRY, C P        ",2,6,3,2,6,0,0,0,0,0,0,0,1
AFRICAM, 112B,001,POL/ECO DEV 3RD WLD,"HINTZEN, P C      ",0,10,7,3,16,1,3,3,0,0,0,0,0
AFRICAM, 117,001,AFRIC AM:INDUST AGE,"RAIFORD, L        ",0,2,3,6,2,7,3,2,1,0,1,0,2
AFRICAM, 122,001,"AFAM FAMILY, AM SOC","FRYE, H T         ",6,6,15,13,5,1,0,0,0,0,0,0,0
AFRICAM, 123,001,SOCIAL & POLITICAL ,"SMALL, S A        ",0,7,1,6,5,0,0,1,0,0,0,0,0
AFRICAM, 125,001,HIST CIV RIGHTS MOV,"VINCENT, F        ",1,17,3,3,10,1,0,1,0,0,0,0,2
AFRICAM, 131,001,"CARIB SOC, CULTURES","LAGUERRE, M S     ",0,10,13,4,2,0,0,0,0,0,0,0,0
AFRICAM, 142AC,001,RACE/AMERICAN FILM ,"COHEN, M M        ",0,44,33,9,2,1,0,0,0,0,0,0,0
AFRICAM, 150B,001,AFRIAM LIT '20-PRES,"SCOTT, D          ",1,10,8,9,2,2,1,0,3,0,1,0,0
AFRICAM, 156AC,001,POETRY 4 PEOPLE:INT,"DE LEON, A        ",7,34,4,6,2,0,0,1,0,0,0,0,0
AFRICAM, 159,001,SPEC TOP AFAM LIT  ,"CATANESE, B N     ",0,6,13,1,2,0,0,0,0,0,0,0,0
AFRICAM, 159,002,SPEC TOP AFAM LIT  ,"PATTON, J E       ",0,3,4,4,12,1,3,1,0,0,0,0,1
AFRICAM,R001A,001,FRESH COMPOSITION  ,"NANDA, A          ",0,3,4,5,3,2,0,0,0,0,0,0,1
AFRICAM,R001B,001,FRESHMN COMPOSITION,"NANDA, A          ",1,2,2,4,3,1,0,3,0,0,0,0,1
AMERSTD, 010AC,001,INTRO AMERICAN STDY,"COHEN, M M        ",0,46,16,12,8,11,5,3,0,1,1,1,2
AMERSTD, 101AC,001,US CULTURES IN TIME,"HENKIN, D M       ",0,1,6,8,9,2,2,0,1,0,0,0,0
AMERSTD, 102,001,US CULTURES/PLACE  ,"MORAN, K S        ",0,20,11,8,13,7,2,2,0,0,0,0,1
AMERSTD, 102,002,US CULTURES/PLACE  ,"STEEN, S          ",0,2,7,1,1,2,4,0,2,0,0,0,1
AMERSTD, 102,003,US CULTURES/PLACE  ,"PADILLA, G        ",0,6,1,2,1,0,0,0,0,0,0,0,1
AMERSTD, 191,001,SENIOR SEMINAR     ,"BIESTMAN, K W     ",0,4,4,1,1,3,1,0,0,0,1,0,1
AMERSTD, 191,002,SENIOR SEMINAR     ,"BIESTMAN, K W     ",0,2,3,0,2,4,0,0,1,0,0,0,3
AMERSTD, 191,003,SENIOR SEMINAR     ,"PALMER, C         ",0,4,4,2,2,2,1,3,0,0,0,0,0
AMERSTD,C111E,001,TOPICS IN AMER STUD,"HUTSON, R E       ",0,0,1,4,3,2,0,1,2,0,0,0,1
AMERSTD,C112B,001,"AM LANDSCAPE,1900--","GROTH, P E        ",0,6,4,9,6,1,2,1,1,0,1,0,1
AMERSTD,C172,001,BUS HISTORICAL ENV ,"ROSEN, C A        ",0,4,4,5,8,5,5,4,4,0,1,0,0
AMERSTD,H110,001,HONORS SEMINAR     ,"MCQUADE, D A      ",1,12,0,0,0,0,0,0,0,0,0,0,0
AMERSTD,H195,001,HONORS THESIS      ,"PALMER, C         ",2,4,6,0,0,0,0,0,0,0,0,0,0
ANTHRO, 001,001,INTRO TO BIO ANTHRO,"DEACON, T W       ",9,42,45,69,58,39,52,20,17,6,2,0,3
ANTHRO, 002AC,001,INTRO ARCHAEOLOGY  ,"LIGHTFOOT, K G    ",9,90,53,36,27,10,3,3,3,0,0,1,0
ANTHRO, 003AC,001,INTRO SOC/CULT AC  ,"ERICKSON, B R     ",3,50,62,38,27,9,3,6,1,0,0,0,4
ANTHRO, 112,001,SP TOPICS: BIO ANTH,"MILLIGAN NEWMARK, ",0,13,13,15,6,6,5,3,7,1,2,0,0
ANTHRO, 114,001,HIST/ANTHRO THOUGHT,"COHEN, L          ",9,59,37,23,16,6,3,3,0,0,0,0,3
ANTHRO, 119,001,MED ANTHRO TOPICS  ,"SCHEPER-HUGHES, N ",0,9,5,5,1,0,0,0,0,0,0,0,0
ANTHRO, 123B,001,ARCHAEOL OF AFRICA ,"COHEN, D R        ",5,10,11,2,4,1,0,1,0,1,0,0,0
ANTHRO, 134B,001,ARCH PRACTICUM     ,"SHACKLEY, M S     ",6,9,0,0,0,0,0,0,0,0,0,0,0
ANTHRO, 136E,001,DIGITAL DOCUMNTATN ,"ASHLEY, M         ",3,12,1,0,0,0,0,0,0,0,0,0,0
ANTHRO, 137,001,ENERGY/CULT/SOC ORG,"NADER, L          ",7,13,21,25,33,30,21,9,13,5,0,1,2
ANTHRO, 138B,001,ETHNOGRAPHIC FILM  ,"BRAUN, N          ",0,5,2,2,2,0,1,0,0,0,0,0,0
ANTHRO, 158,001,RELIGION & ANTHRO  ,"ERICKSON, B R     ",8,12,4,1,3,0,0,0,0,0,0,0,0
ANTHRO, 170,001,CHINA              ,"LIU, X            ",5,15,9,3,4,4,3,4,2,0,1,1,1
ANTHRO, 179,001,THE MAYA           ,"HANKS, W F        ",7,32,20,7,6,1,2,1,0,0,0,0,0
ANTHRO, 180,001,EUROP SOCIETY      ,"BRANDES, S H      ",1,6,12,11,3,1,0,0,0,0,0,0,0
ANTHRO, 196,001,UNDERGRAD SEM      ,"MILLIGAN NEWMARK, ",0,4,3,1,2,4,1,0,1,0,0,0,0
ANTHRO,C100,001,HUMAN PALEONTOLOGY ,"BRUDVIK, K R      ",1,4,1,6,1,0,2,1,0,0,0,1,0
ANTHRO,C123F,001,DISC NEAR EAST ARCH,"PORTER, B         ",0,3,7,2,2,0,0,1,0,0,0,0,1
ANTHRO,C129D,001,HOLOCENE PALEO     ,"KIRCH, P V        ",2,4,7,2,1,0,0,0,0,0,0,0,0
ANTHRO,C129F,001,ARCHAHEALTH DISEASE,"WILKIE, L A       ",42,21,0,0,0,0,1,0,0,0,0,0,1
ANTHRO,C136K,001,CULTURAL HERITAGE  ,"TRINGHAM, R E     ",6,7,1,0,0,0,0,0,0,0,0,0,1
ANTHRO,R005B,001,READING & COMP     ,"DUBUISSON, E      ",0,1,6,5,1,1,0,0,0,0,0,0,0
ANTHRO,R005B,002,READING & COMP     ,"GOODWIN, M A      ",0,4,8,1,1,0,0,0,0,0,0,0,0
ANTHRO,R005B,003,READING & COMP     ,"BELIAEV, A        ",1,3,5,1,0,0,1,0,0,0,0,0,0
ANTHRO,R005B,004,READING & COMP     ,"HUSMAN, D         ",0,3,5,3,3,1,0,0,0,0,0,0,0
ANTHRO,R005B,006,READING & COMP     ,"GIRAUDO, R F      ",1,4,2,2,1,1,1,0,0,0,0,0,0
ANTHRO,R005B,007,READING & COMP     ,"GOODWIN, M A      ",0,2,9,2,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,008,READING & COMP     ,"CHRISTENSEN, K E  ",4,8,0,0,0,2,0,0,0,0,0,0,0
ANTHRO,R005B,009,READING & COMP     ,"GOODWIN, M A      ",0,2,6,5,2,0,0,0,0,0,0,0,0
ARABIC, 001B,002,ELEMENTARY ARABIC  ,"SAYLOR, E         ",3,10,1,0,1,0,0,0,0,0,0,0,0
ARABIC, 001B,003,ELEMENTARY ARABIC  ,"ZILDZIC, A        ",7,5,1,0,0,0,0,0,0,0,0,0,0
ARABIC, 020B,001,INTERMEDIATE ARABIC,"S'HIRI, S         ",1,8,8,1,0,0,0,0,0,0,0,0,0
ARABIC, 020B,002,INTERMEDIATE ARABIC,"BAZIAN, H A       ",4,8,6,1,0,0,0,0,0,0,0,0,0
ARABIC, 100B,001,ADVANCED ARABIC    ,"BAZIAN, H A       ",5,7,5,1,0,0,0,0,0,0,0,0,0
ARCH, 100A,001,FUND OF ARCH DESIGN,"RAEL, R L         ",0,8,17,14,15,6,5,3,0,2,1,0,3
ARCH, 100B,001,FUND OF ARCH DESIGN,"CREEDON, G T      ",0,7,16,14,13,7,3,0,0,0,0,0,2
ARCH, 108,001,ARCH INTERNSHIP    ,"COMERIO, M C      ",3,15,3,0,1,0,0,0,0,0,0,0,0
ARCH, 111,001,HOUSING: INTERNAT  ,"ARBOLEDA, G A     ",2,3,3,1,3,2,2,1,0,0,0,0,0
ARCH, 130,001,INTR ARCH DES TH/CR,"CRYSLER, C G      ",11,11,22,19,11,9,4,2,2,0,1,1,2
ARCH, 140,001,ENERGY & ENVIRON   ,"BENTON, C C       ",0,20,21,18,34,12,8,8,6,0,0,0,0
ARCH, 160,001,INTRO CONSTRUCTION ,"BLACK, R          ",3,16,19,23,10,9,2,2,2,0,2,0,4
ARCH, 170B,001,"HIST, ARCH&URBANISM","CASTILLO, G       ",0,6,33,29,51,25,9,13,7,0,0,0,1
ART, 008,001,INTRO VIS THINKING ,"MCNAMARA, J S     ",15,37,11,3,0,1,0,0,0,0,0,0,0
ART, 012,001,LANG OF DRAW       ,"RIVERA, R         ",1,7,13,3,2,1,0,0,0,0,0,0,0
ART, 012,003,LANG OF DRAW       ,"RODRIGUEZ, L E    ",5,10,5,2,1,0,0,0,0,0,0,0,0
ART, 013,002,LANG OF PAINTING   ,"NAGASAWA, C K     ",0,14,1,0,2,0,0,0,0,0,0,0,0
ART, 014,001,LANG OF SCULPTURE  ,"REIMAN, B L       ",0,9,3,0,1,1,0,0,0,0,0,0,0
ART, 014,002,LANG OF SCULPTURE  ,"LINGER, D W       ",3,11,4,3,0,1,0,0,0,0,0,0,0
ART, 023AC,001,AMER CYBER CULTURE ,"NIEMEYER, G       ",12,12,10,2,3,3,0,0,0,0,0,0,1
ART, 102,001,APPROACHES TO PTNG ,"NAGASAWA, C K     ",0,11,0,0,1,0,1,0,0,0,0,0,1
ART, 102,002,APPROACHES TO PTNG ,"MORRE, I M        ",10,8,0,1,0,2,0,0,0,0,0,0,0
ART, 117,001,DRAWING COMPOSITION,"WOFFORD, J K      ",3,7,4,2,4,0,1,0,0,0,0,0,1
ART, 118,001,FIGURE DRAWING     ,"GAMEZ, A          ",2,8,7,2,1,1,0,1,0,0,0,0,0
ART, 119,001,GPCA               ,"HAMILTON, J       ",0,19,0,1,9,0,0,0,0,0,0,0,0
ART, 120,002,APP TO PRNTMG INTAG,"HUSSONG, R M      ",0,7,4,5,1,0,0,0,0,0,0,0,0
ART, 124,001,ADV PRINTMAKING    ,"HUSSONG, R M      ",1,8,1,2,1,0,0,0,0,0,0,0,0
ART, 132,001,APP TO SCULP CERAM ,"SHAW, R B         ",0,9,0,1,7,0,1,2,0,0,0,0,0
ART, 137,001,ADV PROJ CERAM SCUL,"SHAW, R B         ",0,11,0,4,3,0,0,1,0,0,0,0,0
ART, 138,001,INSTALLATIONS      ,"REIMAN, B L       ",2,13,3,2,0,0,0,0,0,0,0,0,0
ART, 160,001,SPEC TOPICS VIS STD,"SAMANCI, O        ",2,4,4,1,0,0,1,0,0,0,0,0,0
ART, 165,001,"ART,MED & DISABIL  ","SHERWOOD, K D     ",1,17,2,3,0,0,0,0,0,0,0,0,1
