Grade Distribution for Spring 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Spring,African American Studies,AFRICAM,African American Studies,R1A,001,Fresh Composition,Aparajita Nanda,00503,,1,3,6,1,2,1,,,,,,,2,,,,,16
2012 Spring,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,,2,4,3,3,2,1,1,,,,,,,,,,1,17
2012 Spring,African American Studies,AFRICAM,African American Studies,R1B,002,Freshmn Composition,Ronald Williams,00514,,2,3,3,2,3,1,,,,,,,,,,,,14
2012 Spring,African American Studies,AFRICAM,African American Studies,R1B,003,Freshmn Composition,Ronald Williams,00794,,8,1,3,4,1,,,,,,,2,,,,,,19
2012 Spring,African American Studies,AFRICAM,African American Studies,R1B,004,Freshmn Composition,Ivy Mills,00800,,,4,3,6,,1,,,,,,,,,,,1,15
2012 Spring,African American Studies,AFRICAM,African American Studies,R1B,005,Freshmn Composition,Ivy Mills,00806,,1,5,2,5,1,,1,,,,,,,,,,,15
2012 Spring,African American Studies,AFRICAM,African American Studies,4B,001,Africa: Hist & Cul,G. Ugo Nwokeji,00515,,10,12,10,13,10,5,6,1,1,2,,1,10,,3,,,84
2012 Spring,African American Studies,AFRICAM,African American Studies,5B,001,Afam Life & Cul U S,Robert Allen,00527,6,12,11,4,5,6,2,2,1,,4,1,1,8,,,,,63
2012 Spring,African American Studies,AFRICAM,African American Studies,11B,001,Elementary Swahili,Edwin Okongo,00548,5,2,4,2,1,,1,,1,,,,,1,1,1,,,19
2012 Spring,African American Studies,AFRICAM,African American Studies,11B,002,Elementary Swahili,Sam Mchombo,00551,3,2,5,2,1,3,2,2,2,,,,,,,,,1,23
2012 Spring,African American Studies,AFRICAM,African American Studies,98,008,Directed Group Stdy,Adrian Schurr; Charles Henry,00584,,,,,,,,,,,,,,16,,2,,,18
2012 Spring,African American Studies,AFRICAM,African American Studies,117,001,Afric Am:Indust Age,Ula Taylor,00617,,4,2,3,2,1,6,3,1,,,,4,,,,,2,28
2012 Spring,African American Studies,AFRICAM,African American Studies,122,001,"Afam Family, Am Soc",Hardy Frye,00626,5,10,8,5,1,3,,1,1,1,,,,,,,,1,36
2012 Spring,African American Studies,AFRICAM,African American Studies,123,001,Social & Political,Stephen Small,00629,,6,,3,,,,,,,,,,1,,,,,10
2012 Spring,African American Studies,AFRICAM,African American Studies,125,001,Hist Civ Rights Mov,Ula Taylor,00632,,5,,2,5,2,4,4,1,3,,,2,16,,3,,1,48
2012 Spring,African American Studies,AFRICAM,African American Studies,131,001,"Carib Soc, Cultures",Michel Laguerre,00635,,12,6,1,1,,,,,,,,,2,,1,,,23
2012 Spring,African American Studies,AFRICAM,African American Studies,139,003,Sel Top:Africam Soc,Charles Henry,00643,,3,3,,5,1,1,1,,,2,,,3,,1,,4,24
2012 Spring,African American Studies,AFRICAM,African American Studies,142AC,001,Race/American Film,Michael Cohen,00644,,19,9,10,24,11,1,2,,,,,,16,,2,,3,97
2012 Spring,African American Studies,AFRICAM,African American Studies,152F,001,Neo-Slave Narrative,Darieck Scott,00650,,4,8,3,3,2,,2,,,,1,1,1,,,,,25
2012 Spring,African American Studies,AFRICAM,African American Studies,156AC,001,Poetry 4 People:Int,Aya De Leon,00653,4,36,7,1,1,,,,,,,,,1,,,,,50
2012 Spring,African American Studies,AFRICAM,African American Studies,C178,001,Cultural Studies,Jeroen Dewulf,00692,1,4,2,3,,1,,,,,,,,,,,,,11
2012 Spring,African American Studies,AFRICAM,African American Studies,198,008,Directed Group Stdy,Charles Henry; Luis Flores,00719,,,,,,,,,,,,,,13,,2,,,15
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C1,001,Intro To Env Econ,Gordon Rausser,01203,3,7,3,7,7,3,3,11,5,,,,,5,,1,,,55
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,100,001,Microecon Theory,Jeffrey Perloff,01218,4,14,12,12,14,13,3,6,2,,,,1,1,,1,,1,84
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C101,001,Environmental Econ,David Zilberman,01233,4,20,19,25,9,5,8,4,3,1,,,2,,,,,2,102
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,142,001,Indust Organization,Sofia Villas-Boas,01263,10,14,31,22,15,3,,,,,,,1,,,1,,2,99
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,147,001,Reg Of Energy & Env,Meredith Fowlie,01266,3,10,8,11,2,4,3,,,,1,,,3,1,2,,1,49
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,153,001,Envir & Development,Robin Marsh,01275,,7,14,2,18,2,,7,2,,,,,,,1,,1,54
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,154,001,Poverty/Technology,Sara Boettiger,01284,,19,21,8,3,2,1,2,1,,,,1,,,1,,,59
