Grade Distribution for Spring 2013 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2013 Spring,African American Studies,AFRICAM,African American Studies,R1A,001,Fresh Composition,Aparajita Nanda,00503,,3,4,4,1,2,,,,,,,,,,,,,14
2013 Spring,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,,3,4,3,4,3,2,,,,,,,,,,,,19
2013 Spring,African American Studies,AFRICAM,African American Studies,R1B,002,Freshmn Composition,Lia Bascomb; Nailah Suad-Bakari,00515,,1,2,4,2,2,,2,1,1,,,,,,1,,2,18
2013 Spring,African American Studies,AFRICAM,African American Studies,R1B,003,Freshmn Composition,Ronald Williams,00521,,15,2,,,,,,,,,,1,,,,,,18
2013 Spring,African American Studies,AFRICAM,African American Studies,4B,001,Africa: Hist & Cul,G. Ugo Nwokeji,00527,4,7,13,14,8,7,2,5,1,,,1,2,11,,,,,75
2013 Spring,African American Studies,AFRICAM,African American Studies,5A,001,Afam Life & Cul U S,Brandi Catanese,00539,3,19,10,4,5,4,2,1,,,,,1,8,,1,,2,60
2013 Spring,African American Studies,AFRICAM,African American Studies,11B,001,Elementary Swahili,Edwin Okongo,00560,2,7,4,5,2,3,,,,,,,,,,,,,23
2013 Spring,African American Studies,AFRICAM,African American Studies,11B,002,Elementary Swahili,Edwin Okongo,00563,2,6,,4,1,1,1,,,,,,,,1,,,,16
2013 Spring,African American Studies,AFRICAM,African American Studies,24,001,Freshman Seminars,Sam Mchombo,00569,,,,,,,,,,,,,,12,,,,1,13
2013 Spring,African American Studies,AFRICAM,African American Studies,39D,001,Fresh/Soph Seminar,Cara Stanley,00570,,1,,2,3,3,3,,,,,,,2,,,,,14
2013 Spring,African American Studies,AFRICAM,African American Studies,98,007,Directed Group Stdy,Nailah Suad-Bakari,00581,,,,,,,,,,,,,,41,,2,,,43
2013 Spring,African American Studies,AFRICAM,African American Studies,107,001,Race And Pub Policy,Ronald Williams,00608,,5,3,9,3,3,,4,2,,,2,1,5,,3,,2,42
2013 Spring,African American Studies,AFRICAM,African American Studies,109,001,Black/Male Am Life,John Patton,00610,5,8,5,2,4,5,4,2,,,,,,1,,,,,36
2013 Spring,African American Studies,AFRICAM,African American Studies,112B,001,Pol/Eco Dev 3rd Wld,Kwame Nimako,00611,,10,11,3,3,,,,,,,,,1,,1,,3,32
2013 Spring,African American Studies,AFRICAM,African American Studies,117,001,Afric Am:Indust Age,Ula Taylor,00620,,2,7,6,1,,5,,1,1,,,2,,,,,1,26
2013 Spring,African American Studies,AFRICAM,African American Studies,122,001,"Afam Family, Am Soc",Hardy Frye,00626,2,3,7,5,2,3,,,,,,,1,2,,3,,,28
2013 Spring,African American Studies,AFRICAM,African American Studies,123,001,Social & Political,Stephen Small,00628,2,4,3,3,,,,,,,,,1,1,,,,,14
2013 Spring,African American Studies,AFRICAM,African American Studies,125,001,Hist Civ Rights Mov,Ula Taylor,00629,,6,1,2,,5,,3,,1,,1,,1,,,,2,22
2013 Spring,African American Studies,AFRICAM,African American Studies,131,001,"Carib Soc, Cultures",Michel Laguerre,00631,,19,4,,1,,,,,,,,,1,,1,,2,28
2013 Spring,African American Studies,AFRICAM,African American Studies,152F,001,Neo-Slave Narrative,Darieck Scott,00635,1,3,1,2,2,,,,,,,,,3,,1,,,13
2013 Spring,African American Studies,AFRICAM,African American Studies,156AC,001,Poetry 4 People:Int,Aya De Leon,00638,6,35,6,,2,,1,,,,,,,4,,,,1,55
2013 Spring,African American Studies,AFRICAM,African American Studies,173AC,001,Gandhi: Cv Rts Amer,Purushottama Bilimoria,00767,,5,6,3,,,,,,,,,,3,,,,1,18
2013 Spring,African American Studies,AFRICAM,African American Studies,197,003,Field Study,Nailah Suad-Bakari,00680,,,,,,,,,,,,,,44,,1,,,45
2013 Spring,African American Studies,AFRICAM,African American Studies,198,002,Directed Group Stdy,Aurelia Torng; Irene Lopez; Melissa Gioino; Ula Taylor,00682,,,,,,,,,,,,,,85,,1,,,86
2013 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C1,001,Intro To Env Econ,Gordon Rausser,01203,2,10,5,2,15,4,,11,2,,2,,,5,,,,,58
2013 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,100,001,Microecon Theory,Jeffrey Perloff,01218,5,14,12,5,7,6,,3,3,,,,,4,,1,,1,61
2013 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C101,001,Environmental Econ,David Zilberman,01233,2,24,23,29,19,9,4,2,6,,,1,,2,,,,,121
2013 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,142,001,Indust Organization,Sofia Villas-Boas,01254,11,31,36,18,5,5,1,1,,,,,,1,,,,,109
