Grade Distribution for Spring 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 9/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments,
2016 Spring,African American Studies,AFRICAM,African American Studies,R1A,001,Fresh Composition,Aparajita Nanda,00503,1,5,3,3,3,1,,,,,,,,,,,,,16,
2016 Spring,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,,4,4,5,2,,,,,,,,,,,,,,15,
2016 Spring,African American Studies,AFRICAM,African American Studies,4B,001,Africa: Hist & Cul,G. Ugo Nwokeji,00515,2,19,20,12,4,7,2,2,2,,,1,,3,,,,,74,
2016 Spring,African American Studies,AFRICAM,African American Studies,5B,001,Afam Life & Cul U S,James Taylor,00527,,12,3,7,3,2,1,,,,,,1,6,,1,,3,39,
2016 Spring,African American Studies,AFRICAM,African American Studies,11B,001,Elementary Swahili,David Kyeu,00542,,4,5,2,,,,,,,,,,,1,,,1,13,
2016 Spring,African American Studies,AFRICAM,African American Studies,28AC,001,Glob & Min Am Comm,Stephen Small,00548,,10,10,15,9,2,1,,,,,,,9,,1,,1,58,
2016 Spring,African American Studies,AFRICAM,African American Studies,98,004,Directed Group Stdy,Leigh Raiford; Sonya Dugas,00560,,,,,,,,,,,,,,24,,3,,,27,
2016 Spring,African American Studies,AFRICAM,African American Studies,101,001,Research Methods,Chiyuma Elliott,00611,,7,6,2,,1,,,,,,,,,,,,,16,
2016 Spring,African American Studies,AFRICAM,African American Studies,112B,001,Pol/Eco Dev 3rd Wld,Tianna Paschel,00617,3,29,14,7,5,2,2,1,1,,1,,,5,,,,,70,
2016 Spring,African American Studies,AFRICAM,African American Studies,115,001,Lang Soc Iss Africa,Sam Mchombo,00625,7,18,4,,2,1,,,,,,,,,,,,1,33,
2016 Spring,African American Studies,AFRICAM,African American Studies,117,001,Afric Am:Indust Age,Ula Taylor,00626,,7,9,5,2,4,3,1,3,,,,3,3,,1,,,41,
2016 Spring,African American Studies,AFRICAM,African American Studies,131,001,"Carib Soc, Cultures",Michel Laguerre,00638,1,15,3,3,,,,,,,,,,,,1,,,23,
2016 Spring,African American Studies,AFRICAM,African American Studies,139,001,Sel Top:Africam Soc,Jovan Lewis,00641,2,8,1,3,7,,,1,,,,,1,3,,1,,1,28,
2016 Spring,African American Studies,AFRICAM,African American Studies,142AC,001,Race/American Film,Michael Cohen,00644,,21,12,8,28,2,1,2,,,,,1,19,,2,,4,100,
2016 Spring,African American Studies,AFRICAM,African American Studies,152F,001,Neo-Slave Narrative,Darieck Scott,00653,4,7,2,1,1,2,,,,,1,,,2,,,,,20,
2016 Spring,African American Studies,AFRICAM,African American Studies,153C,001,Toni Morrision,Darieck Scott,00656,5,11,1,2,5,1,,,,,,,,3,,,,,28,
2016 Spring,African American Studies,AFRICAM,African American Studies,156AC,001,Poetry 4 People:Int,Aya De Leon,00659,1,12,9,5,5,5,,,1,,,,,3,,,,,41,
2016 Spring,African American Studies,AFRICAM,African American Studies,159,001,Spec Top Afam Lit,Cara Stanley,00673,1,1,5,3,2,3,,,,,,,,2,,,,,17,
2016 Spring,African American Studies,AFRICAM,African American Studies,198,003,Directed Group Stdy,Nailah Suad-Bakari,00701,,,,,,,,,,,,,,48,,1,,,49,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C1,001,Intro To Env Econ,Gordon Rausser,01203,6,5,5,3,3,2,9,15,1,,1,,1,4,,1,,1,57,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,100,001,Microecon Theory,Jeffrey Perloff,01218,11,8,23,,5,6,1,7,5,,1,,2,1,,2,,1,73,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C101,001,Environmental Econ,David Roland-Holst,01233,,10,46,26,16,22,19,4,2,,,,2,,,,,,147,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,143,001,Econ Of Innovation,Brian Wright,01278,3,20,18,22,11,5,,2,,,,,,4,,,,,85,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,147,001,Reg Of Energy & Env,Meredith Fowlie,01281,5,13,8,8,11,2,4,,,,,,1,,,1,,,53,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C151,001,Economic Develop,Benjamin Faber,01290,1,,5,10,6,3,1,,,,,,,1,,,,,27,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,162,001,Econ Of Water Res,David Sunding,01311,1,13,6,10,8,3,5,7,7,,2,,,1,,,,1,64,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C175,001,Econ Climate Chg,David Anthoff,01320,,4,9,3,,,,,,,,,,,,,,,16,
2016 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,001,International Trade,Thibault Fally,01323,1,2,,8,8,11,4,2,,,,,,,,,,,36,
2016 Spring,Anthropology,ANTHRO,Anthropology,1,001,Intro To Bio Anthro,Sabrina Agarwal,02303,30,62,40,34,28,19,14,8,6,2,3,1,8,36,,11,,1,303,
2016 Spring,Anthropology,ANTHRO,Anthropology,2AC,001,Intro Archaeology,Jun Sunseri,02372,14,42,56,27,12,7,4,3,1,2,,1,6,71,,6,,,252,
2016 Spring,Anthropology,ANTHRO,Anthropology,3AC,001,Intro Soc/Cult Ac,James Holston,02432,46,201,59,38,21,8,1,2,3,,,,3,54,,4,,3,443,
2016 Spring,Anthropology,ANTHRO,Anthropology,R5B,001,Reading & Comp,Celise Chilcote; Corinne Hayden,02528,3,4,4,1,,1,,,,,,,1,,,,,,14,
2016 Spring,Anthropology,ANTHRO,Anthropology,R5B,002,Reading & Comp,Corinne Hayden; Michael D'Arcy,02531,3,6,5,2,,2,,,,,,,,,,,,,18,
2016 Spring,Anthropology,ANTHRO,Anthropology,R5B,003,Reading & Comp,Corinne Hayden; Kirsten Vacca,02534,2,14,1,,1,,,,,,,,,,,,,,18,
2016 Spring,Anthropology,ANTHRO,Anthropology,R5B,004,Reading & Comp,Callie Maidhof; Corinne Hayden,02537,,5,,2,3,2,1,,,,,,1,,,,,,14,
2016 Spring,Anthropology,ANTHRO,Anthropology,111,001,Human Behavior,Terrence Deacon,02606,9,13,13,12,10,10,6,3,,,,,5,20,,7,,1,109,
2016 Spring,Anthropology,ANTHRO,Anthropology,114,001,Hist/Anthro Thought,Rosemary Joyce,02612,36,49,20,7,7,1,,2,1,,1,,,2,,1,,,127,
2016 Spring,Anthropology,ANTHRO,Anthropology,115,001,Intro Med Anthro,Diane Tober,02648,,14,12,11,7,1,,,,,,,,1,,1,,2,49,
2016 Spring,Anthropology,ANTHRO,Anthropology,126M,001,Geoarchaeology,Lisa Maher,02668,5,5,2,3,1,,,,,,,,,,,,,,16,
2016 Spring,Anthropology,ANTHRO,Anthropology,134,001,Anal Archaeo Record,Kent Lightfoot,02678,1,10,7,3,,,,,,,,,,,,,,,21,
2016 Spring,Anthropology,ANTHRO,Anthropology,137,001,Energy/Cult/Soc Org,Laura Nader,02684,16,23,24,10,8,4,4,,,,,,,4,,,,1,94,
2016 Spring,Anthropology,ANTHRO,Anthropology,138B,001,Ethnographic Film,Nathan Kwame Braun,02687,,1,7,,2,,,,,,,,,,,,,,10,
2016 Spring,Anthropology,ANTHRO,Anthropology,149,001,Psychological Anth,Stefania Pandolfo,02693,4,35,9,12,4,1,2,,,,,,,2,,3,,1,73,
2016 Spring,Anthropology,ANTHRO,Anthropology,162,001,Topics In Folklore,Amanda Morrison,02708,,27,6,2,,,,,,,,,,,,,,,35,
2016 Spring,Anthropology,ANTHRO,Anthropology,170,001,China,Xin Liu,02711,,6,8,10,8,10,7,2,,,,,,9,,1,,,61,
2016 Spring,Anthropology,ANTHRO,Anthropology,179,001,The Maya,William Hanks,02714,8,15,19,15,5,2,5,,1,1,1,,5,15,,1,,1,94,
2016 Spring,Anthropology,ANTHRO,Anthropology,184,001,South Asia,Lawrence Cohen,02716,6,18,8,1,1,,,,,,,,3,4,,,,1,42,
2016 Spring,Anthropology,ANTHRO,Anthropology,189,001,Spec Top:Soc/Cult,Corinne Hayden,02717,6,18,4,6,3,2,,1,,,,,,1,,,,1,42,
2016 Spring,Anthropology,ANTHRO,Anthropology,189,002,Spec Top:Soc/Cult,Clara Mantini-Briggs,02719,20,,3,,,,,2,,,,,,1,,,,,26,
2016 Spring,Anthropology,ANTHRO,Anthropology,189A,001,Topics:Culture Area,Aihwa Ong,02720,,3,8,1,3,,,,,,,,,1,,,,,16,
2016 Spring,Architecture,ARCH,Architecture,11B,001,Intro To Design,William Atwood,03753,1,13,11,16,12,2,,,,,,,,2,,,,,57,
