CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC,1,1,B STONE,6,2,3,1,0,1,0,0,0,0,0,0,0
AFRICAM, 004A,1,G NWOKEJI,0,9,9,22,26,9,6,1,4,1,2,1,1
AFRICAM, 005B,1,R ALLEN,9,20,15,14,7,12,3,2,6,0,0,0,2
AFRICAM, 027AC,1,P HINTZEN,2,18,26,20,17,7,8,4,3,0,1,2,2
AFRICAM, 039B,1,J PATTON,1,8,3,4,2,0,0,0,1,0,0,0,0
AFRICAM, 039B,2,C STANLEY,1,1,5,2,6,2,0,0,0,0,0,0,0
AFRICAM,100,1,L RAIFORD,1,6,3,4,1,4,2,0,1,0,0,1,1
AFRICAM, 112A,1,P HINTZEN,0,7,11,8,10,5,1,1,0,0,0,0,3
AFRICAM,116,1,U TAYLOR,0,5,2,7,6,0,5,2,4,2,1,4,2
AFRICAM,138,1,C HENRY,0,5,7,2,13,6,4,2,0,1,0,0,1
AFRICAM, 142AC,1,M COHEN,0,19,14,13,19,1,2,3,1,0,0,0,1
AFRICAM,155,1,A NANDA,2,7,8,7,4,0,1,1,0,0,0,0,0
AFRICAM,159,1,D SCOTT,0,6,11,5,2,4,4,1,0,1,0,0,3
AFRICAM,159,2,A DE LEON,0,3,4,4,4,0,0,1,0,0,0,0,0
AFRICAM,C011A,1,S MCHOMBO,1,8,2,1,0,1,0,0,0,0,0,0,0
AFRICAM,C011A,2,S MCHOMBO,1,5,3,1,0,0,1,0,0,0,0,0,0
AFRICAM,C134,1,M LAGUERRE,0,6,2,0,1,2,0,0,1,0,0,0,0
AFRICAM,R001A,1,U TAYLOR,0,8,7,13,2,1,0,1,0,0,1,0,0
AFRICAM,R001B,1,A NANDA,2,5,7,8,7,2,1,1,1,0,0,0,1
AMERSTD,10,1,K MORAN,0,25,19,17,23,6,2,5,0,0,0,0,1
AMERSTD,101,1,C PALMER,0,3,8,7,12,7,5,0,3,0,3,0,3
AMERSTD,102,1,K BIESTMAN,0,3,5,0,9,4,1,6,1,2,0,2,1
AMERSTD, 139AC,1,M BRILLIANT,1,3,4,6,18,9,7,6,5,1,2,1,4
AMERSTD,C111E,1,S OTTER,0,2,6,6,6,5,2,1,0,0,0,0,0
AMERSTD,C112A,1,P GROTH,0,5,7,3,5,5,4,3,5,0,1,0,2
AMERSTD,C132B,1,D HOLLINGER,0,2,1,3,2,2,0,0,2,0,1,0,2
AMERSTD,C134,1,M LAGUERRE,0,10,3,0,0,2,2,0,0,0,0,0,0
AMERSTD,H110,1,D MCQUADE,0,8,3,0,0,0,0,0,0,0,0,0,0
ANTHRO, 002AC,1,K LIGHTFOOT,10,108,73,36,26,10,14,8,3,2,2,1,5
ANTHRO, 003AC,1,L HUBBARD,1,71,150,62,59,41,18,9,6,2,0,1,8
ANTHRO,112,3,T DEACON,0,10,10,10,7,6,3,4,1,0,0,0,2
ANTHRO,115,1,L COHEN,5,33,22,11,4,2,0,0,0,0,0,0,1
ANTHRO, 121AC,1,L WILKIE,4,51,16,18,38,7,6,6,5,1,0,0,1
ANTHRO, 127A,1,S AGARWAL,4,5,4,1,2,0,0,1,0,0,0,0,0
ANTHRO, 132A,1,A RODDICK,4,2,3,1,2,0,1,1,0,0,0,0,0
ANTHRO, 136H,1,M CONKEY,9,3,3,3,1,2,0,0,0,0,0,0,1
ANTHRO,137,1,L NADER,7,42,67,43,22,18,13,5,3,2,4,1,4
ANTHRO,141,1,X LIU,5,11,4,5,1,3,2,0,0,0,0,0,0
ANTHRO, 160AC,1,C BRIGGS,13,66,43,26,31,13,5,1,1,0,0,0,6
ANTHRO, 169B,1,M FERME,0,5,3,4,1,2,0,0,0,0,0,0,0
ANTHRO, 172AC,1,A SCHWITTAY,8,13,6,6,0,0,0,1,0,0,0,1,0
ANTHRO,179,1,W HANKS,0,17,27,14,3,0,0,0,0,0,0,0,0
ANTHRO,189,1,S BRANDES,2,22,18,8,9,5,1,2,0,0,0,0,5
ANTHRO,189,2,J HOLSTON,0,16,10,3,1,2,0,0,0,0,0,0,0
ANTHRO,C125A,1,J HABU,1,5,4,7,7,1,3,0,0,0,0,0,1
ANTHRO,C147B,1,D ALFONSO,2,12,18,4,4,0,0,0,1,0,0,0,0
ARABIC, 001A,2,K SCHWARTZ,1,3,6,4,0,0,1,0,0,0,0,0,0
ARABIC, 001A,3,K EL GENDY,1,4,2,1,4,0,1,0,1,0,0,0,0
ARABIC, 001A,4,R ABUSAAD,1,3,4,2,1,0,0,0,0,0,0,0,0
ARABIC, 001A,5,H BAZIAN,8,5,3,1,0,0,0,0,0,0,0,0,0
ARABIC, 001A,6,M EL-SHERIF,1,2,1,5,4,0,1,0,0,0,0,0,0
ARABIC, 001A,7,H NEALE,3,3,4,3,0,0,0,0,0,0,0,0,0
ARABIC, 020A,1,H BAZIAN,4,6,3,0,0,0,0,0,0,0,0,0,0
ARABIC, 020A,3,S S'HIRI,2,9,2,3,1,0,0,0,0,0,0,0,0
ARABIC, 100A,1,M SIDDIQ,4,2,2,1,2,0,0,0,0,0,0,0,0
ARABIC, 105B,1,M LARKIN,1,4,3,1,2,0,0,0,0,0,0,0,0
ARABIC,107,1,J HAYES,0,7,3,0,0,0,0,1,0,0,0,0,0
ARCH, 100A,1,R DAVIDS,4,12,12,10,11,8,5,0,0,1,0,0,0
ARCH, 100B,1,K PLYMALE,0,15,17,8,13,4,4,2,1,0,1,0,3
ARCH, 110AC,1,G CRANZ,7,32,32,12,28,10,0,10,2,2,4,0,6
ARCH,120,1,S DAVIS,0,11,20,36,25,20,11,6,0,0,1,0,2
ARCH, 149A,1,C SALTER,1,6,5,4,3,1,0,1,2,0,0,0,0
ARCH,150,1,D MONK,5,28,15,21,23,12,11,11,3,0,4,0,3
ARCH, 170A,1,A SHANKEN,0,23,26,39,64,27,13,14,5,0,1,1,10
ART,8,1,J MCNAMARA,36,49,18,0,0,0,0,0,0,0,0,0,2
ART,12,2,S CARNWATH,2,7,8,1,4,0,0,0,0,0,0,0,0
ART,12,3,L RODRIGUEZ,5,6,5,3,1,0,0,0,0,0,0,0,0
ART,13,1,C NAGASAWA,0,11,0,0,0,0,0,1,0,0,0,0,0
ART,13,2,J MCNAMARA,0,22,4,1,0,0,0,0,0,0,0,0,0
ART,14,1,R HUSSONG,2,3,9,0,1,0,0,0,0,0,0,0,0
ART,14,3,M VAN DEN DOOL,0,2,1,8,0,3,0,0,0,0,0,0,0
ART,16,2,R HUSSONG,1,8,6,1,0,0,0,0,0,0,0,0,0
ART, 023AC,1,J MCKAY,12,13,7,5,4,2,2,1,1,2,1,0,1
ART,102,1,C NAGASAWA,0,23,1,0,0,0,0,0,0,0,0,0,0
ART,102,2,A EBTEKAR,3,14,2,0,1,0,0,0,0,0,0,0,0
ART,102,103,K SHERWOOD,0,6,6,4,1,0,2,1,0,0,0,0,0
ART,117,1,V DEJESUS,7,10,3,0,0,0,0,0,0,0,0,0,0
ART,118,1,R SHAW,0,14,0,13,1,1,1,1,0,0,0,0,0
ART,118,2,A GAMEZ,2,11,4,4,1,0,1,0,0,0,0,0,0
ART,120,1,R HUSSONG,3,5,8,1,0,0,0,0,0,0,0,0,0
ART,132,1,L REINERTSON,1,4,4,4,0,2,0,1,0,0,0,0,0
ART,133,1,B REIMAN,5,11,1,0,2,0,0,0,0,0,0,0,0
ART,137,1,R SHAW,0,13,0,0,2,0,0,0,0,0,0,0,0
ART,141,1,K RADLEY,9,6,1,1,1,0,0,0,0,0,0,0,0
ART,160,1,K SHERWOOD,1,4,1,2,1,1,1,0,0,0,0,0,0
ART,160,3,J WOFFORD,1,3,5,6,2,0,1,0,0,0,0,0,0
