Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,2,Ivy Mills,,2,1,3,3,3,,,2,,,,1,,,,,
AFRICAM,R1B,1,Aparajita Nanda,1,3,4,5,3,,,,,1,,,,,,1,,1
AFRICAM,R1B,2,Jessyka Finley,,7,7,5,2,2,,1,,,,,,,,,,
AFRICAM,R1B,3,Michael Mcgee; Nailah Suad-Bakari,,9,3,2,3,1,,,,,,,,,,,,
AFRICAM,4A,1,G. Ugo Nwokeji,1,7,15,11,9,8,2,3,2,1,,1,,7,,1,,1
AFRICAM,5A,1,Brandi Catanese,,8,12,9,9,4,3,8,5,,1,2,1,4,,1,,
AFRICAM,11A,1,David Kyeu,,5,3,2,4,5,,,,,,,,1,,1,,
AFRICAM,11A,2,Edwin Okongo,2,4,,1,,,1,2,,,,,,,,,,
AFRICAM,11A,3,Edwin Okongo,5,3,,1,,,1,,,,,,,,,,,
AFRICAM,24,1,Sam Mchombo,,,,,,,,,,,,,,16,,,,2
AFRICAM,27AC,1,Michael Cohen,,20,21,15,15,5,,3,1,,1,1,2,19,,,,1
AFRICAM,28AC,1,Frederick Vincent,4,14,2,4,3,,1,2,,,,,,17,,2,,1
AFRICAM,98,8,Nailah Suad-Bakari,,,,,,,,,,,,,,33,,1,,
AFRICAM,100,1,Leigh Raiford,,7,2,2,2,2,1,3,,1,2,,1,,,,,
AFRICAM,111,1,Jessyka Finley,,7,9,2,10,4,2,,,,,,,1,,,,2
AFRICAM,112A,1,Kwame Nimako,,8,16,3,3,3,1,1,,,,,,3,,,,1
AFRICAM,115,1,Sam Mchombo,2,15,8,4,3,1,1,1,,,,,,4,,,,2
AFRICAM,116,1,Essence Harden; Ula Taylor,,4,8,9,1,5,5,4,,,,,1,2,,2,,
AFRICAM,C133A,1,Nailah Suad-Bakari,2,14,7,1,1,,,,,,,,1,,,,,2
AFRICAM,155,1,Aparajita Nanda,,4,3,5,2,,,,,,,,,,,1,,
AFRICAM,159,1,Aya De Leon,,5,1,2,3,,,,,,,,2,1,,1,,1
AFRICAM,159,2,Aparajita Nanda,,5,3,2,3,1,,,,,,,,1,,,,
ENVECON,C1,1,Matthew Van Dusen,1,13,6,7,9,3,3,2,2,,,,,5,,4,,
ENVECON,100,1,Ethan Ligon,11,23,14,7,9,4,4,2,,,,,1,,,1,,1
ENVECON,C102,1,Larry Karp,1,8,8,4,4,6,2,1,,,3,,2,4,,2,1,1
ENVECON,C115,1,Wayne Getz,2,4,3,2,4,1,1,1,1,,1,,1,,,1,,
ENVECON,C118,1,Elisabeth Sadoulet,4,5,3,6,8,9,2,4,2,,,,1,,,,,
ENVECON,145,1,Steven Buck,2,11,1,12,8,7,,2,2,1,,,,5,,2,,2
ENVECON,C151,1,Alain Dejanvry,2,9,7,11,18,5,6,7,2,,,,,3,,1,,
ENVECON,152,1,Jeremy Magruder,2,4,1,3,3,1,,1,1,,,,1,1,,,,
ENVECON,153,1,Robin Marsh,,14,12,8,3,5,2,2,,,,,,1,,,,
ENVECON,C175,1,Christian Traeger,3,2,6,4,5,3,2,,,,,,,2,,2,,
ENVECON,C181,1,Asrat Tesfayesus,3,5,13,14,9,2,1,1,,,,,1,4,,3,,
ANTHRO,2AC,1,Jun Sunseri,14,64,70,56,25,12,5,3,1,1,,1,3,63,,5,,
ANTHRO,3AC,1,Xin Liu,25,171,142,49,32,7,3,4,1,,2,1,1,32,,,,2
ANTHRO,R5B,1,Mary Berry; Ruth Goldstein,,9,6,2,,1,,,,,,,,,,,,
ANTHRO,R5B,2,Mary Berry; Saleem Al-Bahloly,,7,4,2,,1,,,,,,,,,,,,
ANTHRO,R5B,3,Khashayar Beigi; Mary Berry,,4,8,2,2,,,,,,,,,,,,,
ANTHRO,R5B,4,Di Hu; Mary Berry,,7,5,1,1,1,,,,,,,,,,,,
ANTHRO,106,1,Patrick Beauchesne,4,14,23,7,7,4,1,,,,,,,11,,,,
ANTHRO,119,1,Stefania Pandolfo,4,10,13,7,8,,1,,,,,,,2,,1,,1
ANTHRO,121AC,1,Kimberly Christensen,42,42,22,14,6,,2,,1,,1,,1,44,,,,1
ANTHRO,124A,1,Patrick Kirch,9,9,7,8,7,1,,,,,1,,,5,,,,
ANTHRO,C125A,1,Junko Habu,2,12,4,7,3,2,,2,,,,,,,,,,
ANTHRO,127A,1,Patrick Beauchesne,2,5,4,1,4,2,,,,,,,,3,,,,
ANTHRO,C129F,1,Laurie Wilkie; Sabrina Agarwal,8,12,13,3,12,3,,,,,,,,3,,,,
ANTHRO,134,1,Kent Lightfoot,1,12,4,3,,,,,,,,,,,,,,
ANTHRO,134,2,Lisa Maher,3,7,2,3,1,,,,,,1,,,,,,,
ANTHRO,140,1,Christine Hastorf; Stanley Brandes,4,35,10,10,9,3,1,2,,,,,,5,,2,,1
ANTHRO,C147B,1,Jacqueline Asher,,1,6,3,2,,,,1,,,,3,3,,1,,
ANTHRO,148,1,Donald Moore,,5,5,6,3,1,,2,1,,,,,,,1,,2
