CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 001B,1,K PARKER,0,2,5,3,1,1,3,3,0,0,0,0,2
AEROSPC, 002B,1,K PARKER,4,2,4,2,0,0,1,0,0,1,0,0,1
AFRICAM, 004B,1,G NWOKEJI,0,10,23,10,7,1,2,0,1,1,0,0,1
AFRICAM, 005B,1,R ALLEN,7,5,7,4,9,6,5,7,3,0,0,0,2
AFRICAM, 011B,1,S MCHOMBO,3,7,5,1,1,2,0,0,0,0,0,0,0
AFRICAM, 011B,2,S MCHOMBO,1,5,7,4,1,1,1,0,0,0,0,0,0
AFRICAM, 039G,1,L RAIFORD,0,9,2,0,1,0,0,0,0,0,0,0,0
AFRICAM,107,1,C HENRY,2,6,3,2,6,0,0,0,0,0,0,0,1
AFRICAM, 112B,1,P HINTZEN,0,10,7,3,16,1,3,3,0,0,0,0,0
AFRICAM,117,1,L RAIFORD,0,2,3,6,2,7,3,2,1,0,1,0,2
AFRICAM,122,1,H FRYE,6,6,15,13,5,1,0,0,0,0,0,0,0
AFRICAM,123,1,S SMALL,0,7,1,6,5,0,0,1,0,0,0,0,0
AFRICAM,125,1,F VINCENT,1,17,3,3,10,1,0,1,0,0,0,0,2
AFRICAM,131,1,M LAGUERRE,0,10,13,4,2,0,0,0,0,0,0,0,0
AFRICAM, 142AC,1,M COHEN,0,44,33,9,2,1,0,0,0,0,0,0,0
AFRICAM, 150B,1,D SCOTT,1,10,8,9,2,2,1,0,3,0,1,0,0
AFRICAM, 156AC,1,A DE LEON,7,34,4,6,2,0,0,1,0,0,0,0,0
AFRICAM,159,1,B CATANESE,0,6,13,1,2,0,0,0,0,0,0,0,0
AFRICAM,159,2,J PATTON,0,3,4,4,12,1,3,1,0,0,0,0,1
AFRICAM,R001A,1,A NANDA,0,3,4,5,3,2,0,0,0,0,0,0,1
AFRICAM,R001B,1,A NANDA,1,2,2,4,3,1,0,3,0,0,0,0,1
AMERSTD, 010AC,1,M COHEN,0,46,16,12,8,11,5,3,0,1,1,1,2
AMERSTD, 101AC,1,D HENKIN,0,1,6,8,9,2,2,0,1,0,0,0,0
AMERSTD,102,1,K MORAN,0,20,11,8,13,7,2,2,0,0,0,0,1
AMERSTD,102,2,S STEEN,0,2,7,1,1,2,4,0,2,0,0,0,1
AMERSTD,102,3,G PADILLA,0,6,1,2,1,0,0,0,0,0,0,0,1
AMERSTD,191,1,K BIESTMAN,0,4,4,1,1,3,1,0,0,0,1,0,1
AMERSTD,191,2,K BIESTMAN,0,2,3,0,2,4,0,0,1,0,0,0,3
AMERSTD,191,3,C PALMER,0,4,4,2,2,2,1,3,0,0,0,0,0
AMERSTD,C111E,1,R HUTSON,0,0,1,4,3,2,0,1,2,0,0,0,1
AMERSTD,C112B,1,P GROTH,0,6,4,9,6,1,2,1,1,0,1,0,1
AMERSTD,C172,1,C ROSEN,0,4,4,5,8,5,5,4,4,0,1,0,0
AMERSTD,H110,1,D MCQUADE,1,12,0,0,0,0,0,0,0,0,0,0,0
AMERSTD,H195,1,C PALMER,2,4,6,0,0,0,0,0,0,0,0,0,0
ANTHRO,1,1,T DEACON,9,42,45,69,58,39,52,20,17,6,2,0,3
ANTHRO, 002AC,1,K LIGHTFOOT,9,90,53,36,27,10,3,3,3,0,0,1,0
ANTHRO, 003AC,1,B ERICKSON,3,50,62,38,27,9,3,6,1,0,0,0,4
ANTHRO,112,1, MILLIGAN NEWMARK,0,13,13,15,6,6,5,3,7,1,2,0,0
ANTHRO,114,1,L COHEN,9,59,37,23,16,6,3,3,0,0,0,0,3
ANTHRO,119,1,N SCHEPER-HUGHES,0,9,5,5,1,0,0,0,0,0,0,0,0
ANTHRO, 123B,1,D COHEN,5,10,11,2,4,1,0,1,0,1,0,0,0
ANTHRO, 134B,1,M SHACKLEY,6,9,0,0,0,0,0,0,0,0,0,0,0
ANTHRO, 136E,1,M ASHLEY,3,12,1,0,0,0,0,0,0,0,0,0,0
ANTHRO,137,1,L NADER,7,13,21,25,33,30,21,9,13,5,0,1,2
ANTHRO, 138B,1,N BRAUN,0,5,2,2,2,0,1,0,0,0,0,0,0
ANTHRO,158,1,B ERICKSON,8,12,4,1,3,0,0,0,0,0,0,0,0
ANTHRO,170,1,X LIU,5,15,9,3,4,4,3,4,2,0,1,1,1
ANTHRO,179,1,W HANKS,7,32,20,7,6,1,2,1,0,0,0,0,0
ANTHRO,180,1,S BRANDES,1,6,12,11,3,1,0,0,0,0,0,0,0
ANTHRO,196,1, MILLIGAN NEWMARK,0,4,3,1,2,4,1,0,1,0,0,0,0
ANTHRO,C100,1,K BRUDVIK,1,4,1,6,1,0,2,1,0,0,0,1,0
ANTHRO,C123F,1,B PORTER,0,3,7,2,2,0,0,1,0,0,0,0,1
ANTHRO,C129D,1,P KIRCH,2,4,7,2,1,0,0,0,0,0,0,0,0
ANTHRO,C129F,1,L WILKIE,42,21,0,0,0,0,1,0,0,0,0,0,1
ANTHRO,C136K,1,R TRINGHAM,6,7,1,0,0,0,0,0,0,0,0,0,1
ANTHRO,R005B,1,E DUBUISSON,0,1,6,5,1,1,0,0,0,0,0,0,0
ANTHRO,R005B,2,M GOODWIN,0,4,8,1,1,0,0,0,0,0,0,0,0
ANTHRO,R005B,3,A BELIAEV,1,3,5,1,0,0,1,0,0,0,0,0,0
ANTHRO,R005B,4,D HUSMAN,0,3,5,3,3,1,0,0,0,0,0,0,0
ANTHRO,R005B,6,R GIRAUDO,1,4,2,2,1,1,1,0,0,0,0,0,0
ANTHRO,R005B,7,M GOODWIN,0,2,9,2,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,8,K CHRISTENSEN,4,8,0,0,0,2,0,0,0,0,0,0,0
ANTHRO,R005B,9,M GOODWIN,0,2,6,5,2,0,0,0,0,0,0,0,0
ARABIC, 001B,2,E SAYLOR,3,10,1,0,1,0,0,0,0,0,0,0,0
ARABIC, 001B,3,A ZILDZIC,7,5,1,0,0,0,0,0,0,0,0,0,0
ARABIC, 020B,1,S S'HIRI,1,8,8,1,0,0,0,0,0,0,0,0,0
ARABIC, 020B,2,H BAZIAN,4,8,6,1,0,0,0,0,0,0,0,0,0
ARABIC, 100B,1,H BAZIAN,5,7,5,1,0,0,0,0,0,0,0,0,0
ARCH, 100A,1,R RAEL,0,8,17,14,15,6,5,3,0,2,1,0,3
