Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
THEATER,168,1,William Leggett,,9,,,1,,,,,,,,,,,,,
ENV DES,106,3,Emily Pilloton,,3,7,,,,,,,,,,,,,,,
DES INV,190,3,Robert Hennigar,,,7,3,,,,,,,,,,,,,,
EDUC,390B,1,Amy Bloodgood,,8,2,,,,,,,,,,,,,,,
MCELLBI,292,117,Jennifer Doudna,,9,,,,,,,,,,,,,,,,1
COMPSCI,199,29,Joseph Gonzalez,,,,,,,,,,,,,,9,,1,,
PB HLTH,293,9,Jennifer Lachance; Stefano Bertozzi,,8,,,,,,,,,,,,,2,,,
"ENE, RES",299,5,Duncan Callaway,,2,,,,,,,,,,,,,8,,,
INTEGBI,230,1,Jonathon Stillman,,,,,,,,,,,,,,6,4,,,
ART,102,2,James Pitt,1,9,,,,,,,,,,,,,,,,
PB HLTH,298,18,Jason Corburn,,7,,,,,,,,,,,,,3,,,
SOCIOL,198BC,3,Griselda Mora,,,,,,,,,,,,,,8,,2,,
NATAMST,198,8,Victoria Robinson,,,,,,,,,,,,,,9,,1,,
PSYCH,299,20,Dacher Keltner,,7,,,,,,,,,,,,,3,,,
MEC ENG,284,1,David Steigmann,,7,,,,,,,,,,,,,3,,,
LD ARCH,204,1,David Meyer,,7,3,,,,,,,,,,,,,,,
EDUC,295C,1,Cherise Mcbride; Lanette Jimerson,,7,3,,,,,,,,,,,,,,,
PHILOS,198,2,Timothy Crockett,,,,,,,,,,,,,,8,,2,,
LEGALST,258.2,1,Susan Mac Cormac Taylor; William Fitzpatrick,,2,,,,,,,,,,,,8,,,,
AEROSPC,2B,1,Austin Hirsch; Christopher Carroll,3,7,,,,,,,,,,,,,,,,
VIETNMS,39,3,Hanh Tran; Maria Barrios-Leblanc,,6,4,,,,,,,,,,,,,,,
ARMENI,101B,1,Hasmig Seropian,2,8,,,,,,,,,,,,,,,,
CHM ENG,299,1,Nitash Balsara,,8,2,,,,,,,,,,,,,,,
ESPM,198,3,Kurt Spreyer,,,,,,,,,,,,,,9,,1,,
JOURN,298,4,Elena Conis,,9,,,,,1,,,,,,,,,,,
COMPSCI,294,43,Alexei Efros; Alexei Efros; Trevor Darrell; Trevor Darrell,,9,,,,,,,,,,,,,1,,,
EDUC,244C,1,Lanette Jimerson,,6,4,,,,,,,,,,,,,,,
MCELLBI,198,4,Ivan Zheludev; Susan Marqusee,,,,,,,,,,,,,,9,,1,,
FILM,181,1,J Kopell,,8,2,,,,,,,,,,,,,,,
FILM,187,1,J Kopell,,9,1,,,,,,,,,,,,,,,
MATH,375,1,Jon Wilkening; Shelly Manber,,,,,,,,,,,,,,3,7,,,
LATIN,270,1,Kim Shelton,,8,2,,,,,,,,,,,,,,,
LEGALST,251.6,1,Stavros Gkantinis,,1,,,,,,,,,,,,9,,,,
NATAMST,198,2,Keith Feldman,,,,,,,,,,,,,,9,,1,,
EDUC,202D,1,Elliot Turiel,,8,,,,,,,,,,,,,2,,,
PUB POL,290,22,Daniel Mulhern; Daniel Mulhern,,7,4,,,,,,,,,,,,,,,
ENGLISH,198BC,5,Aileen Liu; David Landreth,,,,,,,,,,,,,,10,,1,,
