Grade Distribution for Fall 2013 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2013 Fall,African American Studies,AFRICAM,African American Studies,R1A,002,Fresh Composition,Ivy Mills,00503,,2,1,3,3,3,,,2,,,,1,,,,,,15
2013 Fall,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,1,3,4,5,3,,,,,1,,,,,,1,,1,19
2013 Fall,African American Studies,AFRICAM,African American Studies,R1B,002,Freshmn Composition,Jessyka Finley,00515,,7,7,5,2,2,,1,,,,,,,,,,,24
2013 Fall,African American Studies,AFRICAM,African American Studies,R1B,003,Freshmn Composition,Michael Mcgee; Nailah Suad-Bakari,00520,,9,3,2,3,1,,,,,,,,,,,,,18
2013 Fall,African American Studies,AFRICAM,African American Studies,4A,001,Africa: Hist & Cul,G. Ugo Nwokeji,00521,1,7,15,11,9,8,2,3,2,1,,1,,7,,1,,1,69
2013 Fall,African American Studies,AFRICAM,African American Studies,5A,001,Afam Life & Cul U S,Brandi Catanese,00533,,8,12,9,9,4,3,8,5,,1,2,1,4,,1,,,67
2013 Fall,African American Studies,AFRICAM,African American Studies,11A,001,Elementary Swahili,David Kyeu,00554,,5,3,2,4,5,,,,,,,,1,,1,,,21
2013 Fall,African American Studies,AFRICAM,African American Studies,11A,002,Elementary Swahili,Edwin Okongo,00557,2,4,,1,,,1,2,,,,,,,,,,,10
2013 Fall,African American Studies,AFRICAM,African American Studies,11A,003,Elementary Swahili,Edwin Okongo,00559,5,3,,1,,,1,,,,,,,,,,,,10
2013 Fall,African American Studies,AFRICAM,African American Studies,24,001,Freshman Seminars,Sam Mchombo,00563,,,,,,,,,,,,,,16,,,,2,18
2013 Fall,African American Studies,AFRICAM,African American Studies,27AC,001,Lives/Strug/Maj Cul,Michael Cohen,00566,,20,21,15,15,5,,3,1,,1,1,2,19,,,,1,104
2013 Fall,African American Studies,AFRICAM,African American Studies,28AC,001,Glob & Min Am Comm,Frederick Vincent,00581,4,14,2,4,3,,1,2,,,,,,17,,2,,1,50
