Grade Distribution for Fall 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall  (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Fall,African American Studies,AFRICAM,African American Studies,R1A,002,Fresh Composition,Aparajita Nanda,00503,1,3,5,3,3,,,,,,,,1,,,,,,16
2014 Fall,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,,4,3,7,1,,,1,,,,,,,,,,,16
2014 Fall,African American Studies,AFRICAM,African American Studies,R1B,002,Freshmn Composition,Ivy Mills,00515,,1,4,3,2,3,1,1,,,,,,,,,,,15
2014 Fall,African American Studies,AFRICAM,African American Studies,4A,001,Africa: Hist & Cul,G. Ugo Nwokeji,00521,2,6,10,11,11,10,4,2,2,2,,,,6,,1,,2,69
2014 Fall,African American Studies,AFRICAM,African American Studies,5A,001,Afam Life & Cul U S,Brandi Catanese,00533,,9,3,7,14,3,3,5,5,1,1,,4,6,,5,,,66
2014 Fall,African American Studies,AFRICAM,African American Studies,27AC,001,Lives/Strug/Maj Cul,Michael Cohen,00575,,38,17,13,15,7,3,1,1,,,,3,19,,5,,4,126
2014 Fall,African American Studies,AFRICAM,African American Studies,98,002,Directed Group Stdy,Nailah Suad-Bakari,00596,,,,,,,,,,,,,,42,,1,,,43
2014 Fall,African American Studies,AFRICAM,African American Studies,98,010,Directed Group Stdy,Nailah Suad-Bakari,00617,,,,,,,,,,,,,,24,,1,,,25
2014 Fall,African American Studies,AFRICAM,African American Studies,100,001,Black Intllctl Thgh,Leigh Raiford,00623,,1,3,2,5,2,1,1,1,,1,1,,,,,,,18
2014 Fall,African American Studies,AFRICAM,African American Studies,109,001,Black/Male Am Life,Hardy Frye,00634,2,2,7,3,2,,1,1,,,,,,,,,,1,19
2014 Fall,African American Studies,AFRICAM,African American Studies,112A,001,Pol/Eco Dev 3rd Wld,Kwame Nimako,00635,,2,13,7,9,7,2,1,2,1,,1,,,,,,,45
2014 Fall,African American Studies,AFRICAM,African American Studies,116,001,Slavery And African,Ula Taylor,00637,,,6,3,,3,1,1,2,,,,4,,,,,,20
2014 Fall,African American Studies,AFRICAM,African American Studies,121,001,"Blk Pol Life, U S",James Taylor,00644,,2,2,3,,,,,,,,1,,,,,,3,11
2014 Fall,African American Studies,AFRICAM,African American Studies,131,001,"Carib Soc, Cultures",Michel Laguerre,00650,,12,11,3,7,1,,,,,,,,7,,,,,41
2014 Fall,African American Studies,AFRICAM,African American Studies,C133A,001,Race Urban Sch,Nailah Suad-Bakari,00653,7,5,12,5,1,,,,,,,,,1,,,,1,32
2014 Fall,African American Studies,AFRICAM,African American Studies,C134,001,Info Tech And Soc,Michel Laguerre,00656,,11,1,2,1,,2,,,,,,,1,,,,3,21
2014 Fall,African American Studies,AFRICAM,African American Studies,139,001,Sel Top:Africam Soc,Nikki Jones,00659,2,11,3,3,3,1,,,,,,,1,1,,,,1,26
2014 Fall,African American Studies,AFRICAM,African American Studies,159,001,Spec Top Afam Lit,Aya De Leon,00668,,6,4,1,2,1,,,,,,,1,3,,,,1,19
