Grade Distribution for Fall 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 2/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2016 Fall,African American Studies,AFRICAM,African American Studies,R1A,1,Fresh Composition,Aparajita Nanda,12448,,5,7,2,2,1,,,,,,,1,,,,,,18
2016 Fall,African American Studies,AFRICAM,African American Studies,R1B,1,Freshmn Composition,Aparajita Nanda,12461,,3,5,4,1,3,,,,,,,,,,,,,16
2016 Fall,African American Studies,AFRICAM,African American Studies,R1B,2,Freshmn Composition,Christina Bush,32298,,1,,1,8,5,1,,,,,,,,,,,,16
2016 Fall,African American Studies,AFRICAM,African American Studies,4A,1,Africa: Hist & Cul,G. Ugo NWOKEJ,12436,9,20,9,10,3,3,2,,1,1,,,2,6,,2,,1,69
2016 Fall,African American Studies,AFRICAM,African American Studies,5A,1,Afam Life & Cul U S,Brandi Catanese,12475,2,15,8,5,12,2,5,3,4,,1,2,1,8,,5,,,73
2016 Fall,African American Studies,AFRICAM,African American Studies,11A,1,Elementary Swahili,David Kyeu,12435,,14,,,,,,,,,,,,,1,,,,15
2016 Fall,African American Studies,AFRICAM,African American Studies,27AC,1,Lives/Strug/Maj Cul,Michael Cohen,12454,,76,48,13,11,4,1,2,4,2,,,,20,,2,,1,184
2016 Fall,African American Studies,AFRICAM,African American Studies,100,1,Black Intllctl Thgh,Leigh Raiford,12440,,7,6,8,3,2,1,,,,,,,4,,,,2,33
2016 Fall,African American Studies,AFRICAM,African American Studies,111,1,Race Class Gen U S,Stephen Small,12405,8,6,20,14,6,3,,2,,,,,,10,,2,,,71
2016 Fall,African American Studies,AFRICAM,African American Studies,116,1,Slavery And African,Ula Taylor,12398,,5,5,4,2,4,5,3,2,,1,,,1,,1,,2,35
2016 Fall,African American Studies,AFRICAM,African American Studies,123,1,Social & Political,Stephen Small,31800,,6,6,12,3,1,,,,,,,3,3,,1,,2,37
2016 Fall,African American Studies,AFRICAM,African American Studies,C134,1,Info Tech And Soc,Michel Laguerre,12389,,7,6,,,,,,,,,,,1,,,,,14
2016 Fall,African American Studies,AFRICAM,African American Studies,137,1,Multicultural Comm,Michel Laguerre,12393,,13,5,2,,1,,,,,,,,,,,,2,23
2016 Fall,African American Studies,AFRICAM,African American Studies,139,1,Sel Top:Africam Soc,Nikki Jones,12390,2,21,6,3,2,2,1,,,,,,,1,,,,2,40
2016 Fall,African American Studies,AFRICAM,African American Studies,158A,1,Poetry 4 Peop:Teach,Aya De Leon,12406,,11,1,,1,,,,,,,,,,,,,1,14
2016 Fall,African American Studies,AFRICAM,African American Studies,159,1,Spec Top Afam Lit,Aya De Leon,12451,,9,2,1,2,1,,,1,,,,,,,,,,16
2016 Fall,African American Studies,AFRICAM,African American Studies,159,2,Spec Top Afam Lit,Chiyuma Elliott,12452,1,5,1,2,,,,,1,,,,,,,,,,10
2016 Fall,African American Studies,AFRICAM,African American Studies,198,3,Directed Group Stdy,Leigh Raiford,12396,,,,,,,,,,,,,,43,,2,,,45
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C1,1,Intro To Env Econ,Peter Berck,25076,,5,8,9,13,5,13,11,,,,,2,4,,1,,,71
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,100,1,Microecon Theory,Ethan Ligon,25062,1,33,28,15,3,3,,,1,1,,,1,6,,2,,,94
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C102,1,Nat Res Econ,Larry Karp,25054,2,13,3,10,18,7,,3,1,,1,,1,,,,,,59
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C118,1,Intro Econometrics,Elisabeth Sadoulet,25081,8,8,10,11,12,16,10,10,8,,1,,1,,,1,,1,97
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,141,1,Ag & Environ Policy,David Zilberman,32389,10,16,20,8,6,,,,,,,,,1,,,,,61
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,145,1,Hlth & Env Econ,Michael Anderson,25050,4,14,15,14,23,9,6,6,5,,,1,,,,,,1,98
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C151,1,Economic Develop,Aprajit Mahajan,25100,,15,11,15,10,9,7,5,2,1,,,,4,,1,,,80
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,152,1,Adv Topics Dev/Trad,Jeremy Magruder,25116,4,4,3,7,4,5,2,,,,,,1,3,,,,,33
2016 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,1,International Trade,Thibault Fally,25109,4,3,2,1,6,7,3,6,11,,1,,1,,,,,3,48
2016 Fall,Anthropology,ANTHRO,Anthropology,1,1,Intro To Bio Anthro,Lisa Johnson,31342,12,34,27,24,16,9,4,6,1,3,1,1,5,19,,4,,,166
2016 Fall,Anthropology,ANTHRO,Anthropology,2AC,1,Intro Archaeology,Michael Grone,12741,9,77,49,34,24,15,7,2,8,2,3,,4,28,,7,,,269
2016 Fall,Anthropology,ANTHRO,Anthropology,3AC,1,Intro Soc/Cult Ac,James Holston,12569,12,208,113,46,27,6,4,8,2,,4,,4,38,,3,,,475
2016 Fall,Anthropology,ANTHRO,Anthropology,R5B,1,Reading & Comp,Laurie Wilkie,12512,3,13,,1,,,,,,,,,,,,,,,17
2016 Fall,Anthropology,ANTHRO,Anthropology,R5B,2,Reading & Comp,Samuele Collu,12513,1,8,4,1,2,1,,,,,,,,,,,,,17
2016 Fall,Anthropology,ANTHRO,Anthropology,R5B,3,Reading & Comp,Laurie Wilkie,12514,,7,8,1,,1,,,,,,,,,,,,,17
2016 Fall,Anthropology,ANTHRO,Anthropology,R5B,4,Reading & Comp,Laurie Wilkie,12515,5,4,5,1,,,,,,2,,,,,,,,,17
