UC Berkeley Spring 2007 Course Grades,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 002B,001,EVOLUT OF AIR POWER,"HENSON, A S       ",2,1,3,3,0,1,1,1,0,0,0,0,0
AFRICAM, 004B,001,AFRICA:  HIST & CUL,"NWOKEJI, G        ",0,17,22,23,6,0,0,1,0,1,1,0,2
AFRICAM, 005B,001,AFAM LIFE & CUL U S,"ALLEN, R          ",6,10,16,11,4,5,3,2,4,0,4,0,0
AFRICAM, 100,001,INT AFRICAN AMERSTD,"RAIFORD, L        ",1,4,5,3,6,2,0,1,0,0,0,2,0
AFRICAM, 111,001,RACE CLASS GEN U S ,"FRYE, H T         ",3,2,3,1,6,2,1,0,1,0,0,0,0
AFRICAM, 117,001,AFRIC AM:INDUST AGE,"TAYLOR, U Y       ",0,3,2,7,9,2,3,2,0,0,1,0,1
AFRICAM, 121,001,"BLK POL LIFE, U S  ","HENRY, C P        ",0,9,4,4,12,1,0,2,0,0,0,0,1
AFRICAM, 122,001,"AFAM FAMILY, AM SOC","FRYE, H T         ",0,12,3,6,9,3,2,0,4,0,0,1,1
AFRICAM, 126,001,AFRICN AM WOMEN HIS,"TAYLOR, U Y       ",0,3,8,3,4,3,2,0,1,0,0,0,0
AFRICAM, 139,002,SEL TOP:AFRICAM SOC,"KNAUS, C          ",0,16,14,3,8,0,5,2,1,0,1,0,1
AFRICAM, 144,001,CULTURAL STUDIES   ,"RAIFORD, L        ",1,6,8,1,2,0,2,0,0,0,0,0,0
AFRICAM, 154,001,FRENCH AFRICAM LIT ,"CLARK, V          ",7,3,4,3,0,0,0,0,0,0,0,0,0
AFRICAM, 156AC,001,POETRY 4 PEOPLE:INT,"DE LEON, A        ",2,29,13,3,3,3,0,0,0,0,1,0,2
AFRICAM, 159,001,SPEC TOP AFAM LIT  ,"NANDA, A          ",0,1,4,2,2,2,0,0,0,0,0,0,1
AFRICAM, 190AC,001,ADV SEM AFR DIA STD,"HENRY, C P        ",0,5,1,0,3,3,0,1,0,0,0,0,0
AFRICAM,R001A,001,FRESH COMPOSITION  ,"NANDA, A          ",2,9,5,4,3,2,0,0,0,0,0,0,0
AFRICAM,R001B,001,FRESHMN COMPOSITION,"NANDA, A          ",0,5,7,3,6,4,2,2,0,0,0,0,0
AFRICAM,R001B,002,FRESHMN COMPOSITION,"KNAUS, C          ",1,10,3,1,4,2,2,2,1,0,0,0,1
AMERSTD, 010,001,INTRO AMERICAN STDY,"COHEN, M M        ",1,13,4,7,12,6,5,1,1,2,1,0,4
AMERSTD, 010,002,INTRO AMERICAN STDY,"CANDIDA SMITH, R  ",4,3,12,12,2,2,0,0,0,0,0,0,0
AMERSTD, 101,001,US CULTURES IN TIME,"SHANKEN, A        ",2,7,2,6,2,4,0,1,1,0,1,1,1
AMERSTD, 101,002,US CULTURES IN TIME,"PALMER, C         ",0,2,4,3,7,3,2,0,0,0,0,1,2
AMERSTD, 101AC,001,US CULTURES IN TIME,"HENKIN, D M       ",0,0,13,10,18,12,4,4,0,0,0,0,2
AMERSTD, 102,001,US CULTURES/PLACE  ,"BIESTMAN, K W     ",0,3,2,2,16,15,6,7,2,0,0,0,0
AMERSTD, 110,001,SPECIAL TOPICS     ,"BRILLIANT, M      ",0,2,7,1,3,0,1,0,0,0,1,0,0
AMERSTD, 191,001,SENIOR SEMINAR     ,"PALMER, C         ",0,0,6,4,1,1,2,0,0,0,0,0,3
AMERSTD, 191,002,SENIOR SEMINAR     ,"PALMER, C         ",0,6,1,4,5,1,0,1,0,0,0,0,0
AMERSTD, 191,004,SENIOR SEMINAR     ,"FOLETTA, M        ",0,4,2,1,1,4,1,0,0,0,0,0,0
AMERSTD,C112B,001,"AM LANDSCAPE,1900--","GROTH, P E        ",1,6,4,3,3,6,1,0,0,0,0,0,1
AMERSTD,C172,001,BUS HISTORICAL ENV ,"ROSEN, C A        ",0,2,12,9,12,1,5,3,0,0,0,0,1
AMERSTD,H195,001,HONORS THESIS      ,"BIESTMAN, K W     ",0,10,3,0,2,0,0,0,0,0,0,0,1
ANTHRO, 001,001,INTRO TO BIO ANTHRO,"HOLLIMON, S E     ",22,162,56,24,40,7,4,6,2,6,0,0,12
ANTHRO, 002AC,001,INTRO ARCHAEOLOGY  ,"CONKEY, M W       ",35,48,29,23,27,16,9,10,5,0,3,0,1
ANTHRO, 003,001,INTRO SOC/CULT ANTH,"BRANDES, S H      ",3,27,85,61,36,17,7,7,4,1,2,1,4
