UC Berkeley Spring 2009 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AFRICAM, 004B,001,AFRICA:  HIST & CUL,"HIMMELMAN, N      ",1,10,16,12,15,14,5,0,1,2,0,0,0
AFRICAM, 005A,001,AFAM LIFE & CUL U S,"CATANESE, B N     ",3,11,8,7,13,9,5,4,1,1,1,1,2
AFRICAM, 109,001,BLACK/MALE AM LIFE ,"ALLEN, R          ",0,19,2,2,1,0,0,0,0,0,0,0,0
AFRICAM, 112B,001,POL/ECO DEV 3RD WLD,"HINTZEN, P C      ",0,9,9,10,14,0,0,3,1,0,0,0,2
AFRICAM, 117,001,AFRIC AM:INDUST AGE,"TAYLOR, U Y       ",1,8,5,4,3,6,0,2,6,2,1,1,4
AFRICAM, 122,001,"AFAM FAMILY, AM SOC","FRYE, H T         ",0,9,9,12,8,4,0,2,1,0,0,0,1
AFRICAM, 144,002,CULTURAL STUDIES   ,"RAIFORD, L        ",0,3,9,13,3,2,1,0,1,0,1,0,0
AFRICAM, 156AC,001,POETRY 4 PEOPLE:INT,"DE LEON, A        ",0,55,20,5,0,3,3,1,0,0,0,0,0
AFRICAM, 159,001,SPEC TOP AFAM LIT  ,"SCOTT, D          ",0,6,3,4,1,3,3,3,1,0,1,0,4
AFRICAM, 159,002,SPEC TOP AFAM LIT  ,"SCOTT, D          ",1,6,1,1,1,1,1,0,0,0,0,0,0
AFRICAM, 159,004,SPEC TOP AFAM LIT  ,"NANDA, A          ",1,2,2,4,2,0,0,0,0,0,0,0,0
AFRICAM,C011B,001,ELEMENTARY SWAHILI ,"MCHOMBO, S A      ",2,2,3,1,2,1,0,0,0,0,0,0,0
AFRICAM,C011B,002,ELEMENTARY SWAHILI ,"MCHOMBO, S A      ",1,2,4,0,1,1,2,0,0,0,0,0,0
AFRICAM,R001A,001,FRESH COMPOSITION  ,"NANDA, A          ",2,3,7,8,2,1,2,0,0,0,0,0,1
AFRICAM,R001B,001,FRESHMN COMPOSITION,"NANDA, A          ",2,6,7,10,10,1,2,1,0,0,0,0,1
AFRICAM,R001B,002,FRESHMN COMPOSITION,"GIULIANETTI, L M  ",0,4,8,3,4,0,1,1,0,0,0,0,1
AMERSTD, 010,001,INTRO AMERICAN STDY,"MORAN, K S        ",0,17,27,23,16,17,5,5,0,0,0,0,3
AMERSTD, 010AC,001,INTRO AMERICAN STDY,"COHEN, M M        ",0,14,3,7,10,1,5,2,0,0,1,1,1
AMERSTD, 101,001,US CULTURES IN TIME,"PALMER, C         ",0,1,9,13,8,7,9,6,4,0,0,0,2
AMERSTD, 101,002,US CULTURES IN TIME,"SAUL, S A         ",0,5,3,4,3,0,1,1,1,0,0,0,0
AMERSTD, 102,001,US CULTURES/PLACE  ,"STEEN, S          ",0,7,6,8,4,4,3,3,2,1,0,1,1
AMERSTD, 102,002,US CULTURES/PLACE  ,"MORAN, K S        ",2,4,7,5,10,7,2,2,0,0,1,0,2
AMERSTD, 191,001,SENIOR SEMINAR     ,"BIESTMAN, K W     ",0,4,3,2,1,3,2,0,3,0,0,0,1
AMERSTD, 191,002,SENIOR SEMINAR     ,"PALMER, C         ",0,4,4,2,0,3,4,0,0,0,0,0,0
AMERSTD, 191,003,SENIOR SEMINAR     ,"BIESTMAN, K W     ",0,4,2,2,4,4,2,0,1,0,1,0,1
AMERSTD,C112B,001,"AM LANDSCAPE,1900--","GROTH, P E        ",0,2,2,1,7,2,1,5,3,0,1,0,2
AMERSTD,C171,001,AMER DSGN LAND 1850,"MOZINGO, L A      ",1,2,1,4,5,0,0,0,0,0,0,0,1
AMERSTD,C172,001,BUS HISTORICAL ENV ,"ROSEN, C A        ",0,3,7,15,13,7,2,0,0,0,2,0,1
ANTHRO, 001,001,INTRO TO BIO ANTHRO,"DEACON, T W       ",7,45,46,48,41,43,41,25,8,0,3,0,2
ANTHRO, 002AC,001,INTRO ARCHAEOLOGY  ,"WILKIE, L A       ",3,23,36,26,52,21,6,13,3,1,3,2,7
ANTHRO, 003AC,001,INTRO SOC/CULT AC  ,"SCHEPER-HUGHES, N ",0,44,65,42,32,17,14,3,3,0,1,0,6
ANTHRO, 114,001,HIST/ANTHRO THOUGHT,"LIU, X            ",6,31,34,28,15,11,7,9,0,1,1,1,5
ANTHRO, 124AC,001,HAWAIIAN ETHNOHIST ,"KIRCH, P V        ",6,19,16,4,12,6,2,1,0,0,1,0,0
ANTHRO, 129C,001,HUNTER-GATHERER ARC,"HABU, J           ",0,10,13,4,7,0,0,0,0,0,0,0,0
ANTHRO, 134B,001,ARCH PRACTICUM     ,"SHACKLEY, M S     ",2,10,0,0,0,0,0,0,0,0,0,0,0
ANTHRO, 135,001,PALEOETHNOBOTANY   ,"HASTORF, C        ",0,5,2,1,2,1,0,1,0,0,0,0,1
ANTHRO, 138B,001,ETHNOGRAPHIC FILM  ,"BRAUN, N          ",0,2,5,5,3,0,0,0,0,0,0,0,0
ANTHRO, 139,001,CONTROL PROC       ,"NADER, L          ",2,52,59,28,29,6,5,3,0,0,0,0,4
ANTHRO, 156B,001,CULT & POWER       ,"RABINOW, P M      ",6,10,7,5,4,0,1,0,2,0,0,0,0
ANTHRO, 158,001,RELIGION & ANTHRO  ,"HIRSCHKIND, C K   ",2,10,7,9,4,3,2,0,0,0,0,0,0
ANTHRO, 162,001,TOPICS IN FOLKLORE ,"YOUNG, K G        ",0,10,4,2,3,2,1,1,0,0,0,0,0
ANTHRO, 166,002,"LANG,CULTURE,SOCITY","JACOBS, J E       ",0,17,14,6,5,1,0,1,1,0,3,0,2
ANTHRO, 174AC,001,CA HISTORICAL ANTH ,"LIGHTFOOT, K G    ",2,40,35,11,12,4,2,3,0,0,0,0,1
ANTHRO, 181,001,MIDDLE EAST & ISLAM,"MAHMOOD, S        ",1,7,12,11,8,3,0,0,1,0,1,0,1
ANTHRO, 183,001,ANTHRO OF AFRICA   ,"HUBBARD, L        ",0,7,12,11,10,1,1,1,0,0,1,0,1
ANTHRO, 189,002,SPEC TOP:SOC/CULT  ,"PANDOLFO, S       ",3,18,4,0,0,0,0,0,0,0,0,0,0
