Grade Distribution for Spring 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Spring,African American Studies,AFRICAM,African American Studies,R1A,001,Fresh Composition,Aparajita Nanda,00503,,5,8,3,3,1,,,,,,,,,,,,,20
2014 Spring,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,1,6,3,3,3,3,,1,1,,,,1,,,,,,22
2014 Spring,African American Studies,AFRICAM,African American Studies,R1B,002,Freshmn Composition,Jessyka Finley,00515,1,9,3,2,1,,1,,,,,,,,,,,,17
2014 Spring,African American Studies,AFRICAM,African American Studies,R1B,003,Freshmn Composition,Gabrielle Williams; Nailah Suad-Bakari,00521,,4,6,1,3,2,,,,,,,1,,,,,,17
2014 Spring,African American Studies,AFRICAM,African American Studies,4B,001,Africa: Hist & Cul,G. Ugo NWOKEJI,00527,2,11,17,10,11,4,2,2,2,,,,,12,,,,1,74
2014 Spring,African American Studies,AFRICAM,African American Studies,5B,001,Afam Life & Cul U S,Jessyka Finley,00550,,10,15,10,8,4,2,1,3,1,,,1,1,,1,,,57
2014 Spring,African American Studies,AFRICAM,African American Studies,11B,001,Elementary Swahili,David Kyeu,00560,1,4,,1,7,,,,,,,,,1,,,,1,15
2014 Spring,African American Studies,AFRICAM,African American Studies,24,002,Freshman Seminars,William Banks,00571,,,,,,,,,,,,,,11,,1,,,12
2014 Spring,African American Studies,AFRICAM,African American Studies,39F,001,Fresh/Soph Seminar,Cara Stanley,00572,1,,3,2,3,2,1,,,,,,,1,,,,,13
2014 Spring,African American Studies,AFRICAM,African American Studies,98,004,Directed Group Stdy,Harris Quraishi; Ula Taylor,00581,,,,,,,,,,,,,,10,,1,,,11
2014 Spring,African American Studies,AFRICAM,African American Studies,98,005,Directed Group Stdy,Nailah Suad-Bakari,00584,,,,,,,,,,,,,,46,,2,,,48
2014 Spring,African American Studies,AFRICAM,African American Studies,112B,001,Pol/Eco Dev 3rd Wld,Kwame Nimako,00617,2,13,21,4,1,2,,1,,,,,,,,,,2,46
2014 Spring,African American Studies,AFRICAM,African American Studies,117,001,Afric Am:Indust Age,Ula Taylor,00626,,6,5,1,2,2,,3,2,1,1,1,2,2,1,,,,29
2014 Spring,African American Studies,AFRICAM,African American Studies,122,001,"Afam Family, Am Soc",Hardy Frye,00632,5,10,1,5,4,3,5,2,1,4,,,1,3,,,,2,46
2014 Spring,African American Studies,AFRICAM,African American Studies,134,001,Info Tech And Soc,Michel Laguerre,00636,,14,1,1,,,,,,,,,,,,,,3,19
2014 Spring,African American Studies,AFRICAM,African American Studies,142AC,001,Race/American Film,Michael Cohen,00788,,16,14,16,18,10,5,4,2,,,,,14,,2,,1,102
