Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,African American Studies,AFRICAM,African American Studies,R1A,001,Fresh Composition,Aparajita Nanda,00503,,6,2,7,1,,1,1,,,,,,,,1,,,19
2015 Spring,African American Studies,AFRICAM,African American Studies,R1B,001,Freshmn Composition,Aparajita Nanda,00509,2,4,4,6,3,,,,,,,,,,,,,,19
2015 Spring,African American Studies,AFRICAM,African American Studies,R1B,002,Freshmn Composition,Charisse Burden-Stelly; Nailah Suad-Bakari,00515,,2,4,3,4,1,1,,,,,,,,,,,2,17
2015 Spring,African American Studies,AFRICAM,African American Studies,R1B,003,Freshmn Composition,Nailah Suad-Bakari,00521,,4,3,4,1,1,,,,,,,,,,,,1,14
2015 Spring,African American Studies,AFRICAM,African American Studies,5B,001,Afam Life & Cul U S,Nikki Jones,00527,6,17,11,6,2,4,1,,1,1,,,1,6,,,,,56
2015 Spring,African American Studies,AFRICAM,African American Studies,11B,001,Elementary Swahili,David Kyeu,00548,2,3,6,,,,,,,,,,,,1,,,,12
2015 Spring,African American Studies,AFRICAM,African American Studies,24,002,Freshman Seminars,William Banks,00562,,,,,,,,,,,,,,9,,1,,,10
2015 Spring,African American Studies,AFRICAM,African American Studies,28AC,001,Glob & Min Am Comm,Frederick Vincent,00563,4,18,6,1,3,1,,,1,,,,,9,,1,,,44
2015 Spring,African American Studies,AFRICAM,African American Studies,112B,001,Pol/Eco Dev 3rd Wld,Kwame Nimako,00611,,23,24,7,5,3,,2,2,,,,2,4,,,,,72
2015 Spring,African American Studies,AFRICAM,African American Studies,115,001,Lang Soc Iss Africa,Sam Mchombo,00617,2,7,12,7,2,,,,,,,,,1,,,,,31
2015 Spring,African American Studies,AFRICAM,African American Studies,117,001,Afric Am:Indust Age,Ula Taylor,00619,,2,2,4,2,5,2,1,1,,,,,2,,,,2,23
2015 Spring,African American Studies,AFRICAM,African American Studies,122,001,"Afam Family, Am Soc",Hardy Frye,00620,1,12,10,7,4,1,,,,,,,3,3,,,,,41
2015 Spring,African American Studies,AFRICAM,African American Studies,126,001,Africn Am Women His,Ula Taylor,00623,,5,3,3,3,5,,1,2,1,1,,,4,,2,,1,31
2015 Spring,African American Studies,AFRICAM,African American Studies,138,001,Black Nationalism,James Taylor,00629,,10,6,4,4,2,1,1,1,,1,,2,,,1,,1,34
2015 Spring,African American Studies,AFRICAM,African American Studies,142AC,001,Race/American Film,Justin Gomer,00782,1,5,10,5,4,7,7,,1,,,,1,13,,1,,2,57
2015 Spring,African American Studies,AFRICAM,African American Studies,153C,001,Toni Morrision,Darieck Scott,00632,1,8,8,4,2,1,,,,,,,,,,,,1,25
2015 Spring,African American Studies,AFRICAM,African American Studies,156AC,001,Poetry 4 People:Int,Aya De Leon,00635,3,17,5,2,1,,1,,,,,,,1,,,,2,32
2015 Spring,African American Studies,AFRICAM,African American Studies,157,001,Creative Writing,Darieck Scott,00659,,8,,2,1,,,,,,,,,,,,,,11
2015 Spring,African American Studies,AFRICAM,African American Studies,159,001,Spec Top Afam Lit,Nailah Suad-Bakari,00664,,3,7,4,10,3,2,,,,,,,2,,,,3,34
2015 Spring,African American Studies,AFRICAM,African American Studies,198,003,Directed Group Stdy,Nailah Suad-Bakari,00686,,,,,,,,,,,,,,9,,1,,,10
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C1,001,Intro To Env Econ,Gordon Rausser,01203,3,9,6,2,12,6,1,6,1,,,,,4,,1,,,51
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,100,001,Microecon Theory,Calanit Kamala,01218,3,12,5,4,5,5,2,3,2,,1,,,1,,3,,,46
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C101,001,Environmental Econ,Helene Ollivier,01233,10,29,34,15,16,2,1,,,,,,1,4,,2,,1,115
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C118,001,Intro Econometrics,Steven Buck,01254,1,8,4,4,9,10,1,2,1,,1,,1,,,,,1,43
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,142,001,Indust Organization,Kristin Kiesel,01263,,6,19,39,17,3,,,,,,,,2,,,,,86
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,143,001,Econ Of Innovation,Brian Wright,01278,2,14,22,6,10,7,,1,,,,,,5,,,,,67
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,147,001,Reg Of Energy & Env,Meredith Fowlie,01281,4,10,7,8,5,4,3,,,,,,,4,,1,,1,47
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,162,001,Econ Of Water Res,David Sunding,01302,1,5,7,5,7,4,5,6,3,,1,,,2,1,,,,47
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C180,001,Ecol Econ History,David Anthoff; Jalel Sager,01311,2,4,7,8,5,2,1,1,,1,1,,,,,,,,32
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,001,International Trade,Andres Rodriguez-Clare,01314,,3,3,4,18,5,2,5,2,,1,,1,4,,4,,,52
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C183,001,Forest Ecosyst Mgmt,Matthew Potts,01335,,1,1,,4,3,2,,2,1,1,,,,,,,,15
2015 Spring,Anthropology,ANTHRO,Anthropology,1,001,Intro To Bio Anthro,Terrence Deacon,02303,6,38,55,57,45,27,29,14,7,,,,8,48,,9,,,343
2015 Spring,Anthropology,ANTHRO,Anthropology,2,001,Intro To Archaeol,Christine Hastorf,02396,4,20,8,9,18,,1,1,1,,,,2,4,,2,,1,71
2015 Spring,Anthropology,ANTHRO,Anthropology,3AC,001,Intro Soc/Cult Ac,James Holston,02468,32,155,82,46,36,19,6,7,3,1,1,1,2,28,,5,,1,425
2015 Spring,Anthropology,ANTHRO,Anthropology,R5B,001,Reading & Comp,Corinne Hayden; Marlee Tichenor,02549,1,7,2,2,1,3,,1,,,,,,,,,,,17
2015 Spring,Anthropology,ANTHRO,Anthropology,R5B,002,Reading & Comp,Corinne Hayden; Olesya Shayduk-Immerman,02552,,9,2,2,,,1,,,,,,,,,,,,14
2015 Spring,Anthropology,ANTHRO,Anthropology,114,001,Hist/Anthro Thought,Saba Mahmood,02630,10,46,29,13,16,6,3,4,,,,,,1,,2,,1,131
2015 Spring,Anthropology,ANTHRO,Anthropology,115,001,Intro Med Anthro,Lawrence Cohen,02681,1,23,31,8,2,6,,1,,,,,,6,1,,,1,80
2015 Spring,Anthropology,ANTHRO,Anthropology,119,001,Med Anthro Topics,Nancy Scheper-Hughes,02707,3,8,4,,,1,,,,,,,,,,,,,16
2015 Spring,Anthropology,ANTHRO,Anthropology,121C,001,Hist Artifact/Analy,Laurie Wilkie,02708,4,8,1,1,,,,1,,,,,,1,,,,,16
2015 Spring,Anthropology,ANTHRO,Anthropology,124A,001,Arch South Pacific,Patrick Kirch,02713,7,3,3,3,3,1,4,,,,,,,3,,1,,,28
2015 Spring,Anthropology,ANTHRO,Anthropology,C125A,001,Arch East Asia,Kevin Gibbs,02717,1,4,3,1,3,,,,,,,,,,,,,,12
2015 Spring,Anthropology,ANTHRO,Anthropology,128,001,Spec Topics In Arch,Kimberly Christensen,02720,38,11,5,,2,,,1,,,,,,1,,,,2,60
2015 Spring,Anthropology,ANTHRO,Anthropology,128M,001,Topics:Arch/Method,Nicholas Tripcevich,02723,1,5,3,2,1,,,,1,,,,1,1,1,1,,,17
2015 Spring,Anthropology,ANTHRO,Anthropology,129A,001,Prehistoric Art,Timothy Gill,02729,,6,3,4,1,,,,,,,,,,,,,,14
2015 Spring,Anthropology,ANTHRO,Anthropology,137,001,Energy/Cult/Soc Org,Melissa Hatmaker,02738,6,17,5,11,10,7,6,2,7,,3,,5,9,,7,,,95
2015 Spring,Anthropology,ANTHRO,Anthropology,C147B,001,Sexuality Culture,Fouzieyha Towghi,02747,3,9,1,1,,,,,,,,,,2,,,,1,17
2015 Spring,Anthropology,ANTHRO,Anthropology,149,001,Psychological Anth,Stefania Pandolfo,02750,12,28,8,8,2,1,3,,,,,,,7,,,,2,71
2015 Spring,Anthropology,ANTHRO,Anthropology,156,001,Anthro Contemporary,Paul Rabinow,02765,3,10,12,6,10,1,,,,,,,,,,1,,,43
2015 Spring,Anthropology,ANTHRO,Anthropology,162,001,Topics In Folklore,Jeremiah Gillan,02767,1,4,4,3,3,,,,,,,,,,,,,1,16
2015 Spring,Anthropology,ANTHRO,Anthropology,169C,001,Ling Anthr Method,William Hanks,02768,2,5,2,1,,1,,1,,,,,,,,,,1,13
2015 Spring,Anthropology,ANTHRO,Anthropology,170,001,China,Xin Liu,02777,,6,10,10,4,,,1,1,,,,,6,,4,,,42
2015 Spring,Anthropology,ANTHRO,Anthropology,181,001,Middle East & Islam,Fouzieyha Towghi,02780,,7,3,1,,,1,,,,,,,2,,,,,14
2015 Spring,Anthropology,ANTHRO,Anthropology,189,003,Spec Top:Soc/Cult,Charles Hirschkind,02789,3,9,,1,4,,3,1,,,,,1,1,,,,,23
2015 Spring,Anthropology,ANTHRO,Anthropology,189A,001,Topics:Culture Area,Aihwa Ong,02792,,7,10,,1,4,1,,,,,,,,,,,,23
2015 Spring,Anthropology,ANTHRO,Anthropology,189A,003,Topics:Culture Area,Daniel Fisher,02798,1,1,1,3,2,1,,1,,,,,1,1,,,,1,13
2015 Spring,Architecture,ARCH,Architecture,100B,001,Fund Of Arch Design,Gerard Creedon,03674,,5,12,28,24,12,4,7,2,,,,4,1,,2,,1,102
2015 Spring,Architecture,ARCH,Architecture,100D,001,Arch Design Iv,Lisa Iwamoto,03737,1,6,3,4,2,1,,,1,,,,,,,,,,18
2015 Spring,Architecture,ARCH,Architecture,100D,002,Arch Design Iv,Ajay Manthripragada,03740,,2,2,3,3,1,,1,1,,,,,,,,,,13
2015 Spring,Architecture,ARCH,Architecture,100D,003,Arch Design Iv,Rene' Davids,03743,1,1,7,4,,,,,,,,,,,,,,,13
