Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2017 Spring,Theater Dance & Perf Stds,THEATER,Theater Dance & Perf Stds,168,1,Tech Theater Shop,William Leggett,23724,,9,,,1,,,,,,,,,,,,,,10
2017 Spring,Environmental Design,ENV DES,Environmental Design,106,3,Sustanbity Wrkshop,Emily Pilloton,33570,,3,7,,,,,,,,,,,,,,,,10
2017 Spring,Design Innovation,DESINV,Design Innovation,190,3,Spec Topics Des Inv,Robert Hennigar,34338,,,7,3,,,,,,,,,,,,,,,10
2017 Spring,Education,EDUC,Education,390B,1,Supervised Teaching,Amy Bloodgood,28296,,8,2,,,,,,,,,,,,,,,,10
2017 Spring,Molecular & Cell Biology,MCELLBI,Molecular & Cell Biology,292,117,Research,Jennifer Doudna,19383,,9,,,,,,,,,,,,,,,,1,10
2017 Spring,Computer Science,COMPSCI,Computer Science,199,29,Superv Indep Study,Joseph Gonzalez,34760,,,,,,,,,,,,,,9,,1,,,10
2017 Spring,Public Health,PB HLTH,Public Health,293,9,Doctoral Seminar,Jennifer Lachance; Stefano Bertozzi,32666,,8,,,,,,,,,,,,,2,,,,10
2017 Spring,Energy and Resources,"ENE, RES",Energy and Resources,299,5,Indiv Research,Duncan Callaway,24359,,2,,,,,,,,,,,,,8,,,,10
2017 Spring,Integrative Biology,INTEGBI,Integrative Biology,230,1,Marine Sci Review,Jonathon Stillman,16990,,,,,,,,,,,,,,6,4,,,,10
2017 Spring,Art Practice,ART,Art Practice,102,2,Approaches To Ptng,James Pitt,12868,1,9,,,,,,,,,,,,,,,,,10
2017 Spring,Public Health,PB HLTH,Public Health,298,18,Group Study,Jason Corburn,34653,,7,,,,,,,,,,,,,3,,,,10
2017 Spring,Sociology,SOCIOL,Sociology,198BC,3,Directed Group Stud,Griselda Mora,22913,,,,,,,,,,,,,,8,,2,,,10
2017 Spring,Ethnic Studies,NATAMST,Ethnic Studies,198,8,Superv Group Study,Victoria Robinson,15104,,,,,,,,,,,,,,9,,1,,,10
