Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
HISTART,190G,05065,001,American/British,Imogen Hart,under,0,6,2,3,1,1,0,0,0,0,0,0,0,0,0
COM LIT,R1A,17209,003,Engl Comp World Lit,Johnathan Vaknin; Michael Lucey,under,0,3,3,7,2,2,0,0,0,0,0,0,0,0,0
SCANDIN,1A,78703,001,Beginning Swedish,Christian Gullette; Karen Moller,under,0,5,6,0,2,0,0,2,0,0,0,0,1,4,1
POL SCI,C139,71712,001,Urban Sub Nati Poli,Alison Post,under,0,5,8,2,5,3,0,0,1,0,0,0,2,0,1
HISTORY,138T,39564,001,Us Science Calteach,Rebecca Kaplan,under,0,5,5,3,3,0,0,1,0,0,0,0,0,0,0
CY PLAN,140,13761,001,Citybldg/Placemkg,Craig Toocheck; John Ellis; Leah Stockstrom,under,1,19,30,24,5,0,0,0,0,0,0,0,0,0,0
JAPAN,10A,21075,006,Interm Japanese,Maki Takata; Yasuko Baker; Yuriko Caltabiano,under,0,3,4,2,4,0,1,0,0,0,0,0,0,4,1
ITALIAN,R5B,46954,003,Reading & Comp,Albert Ascoli; Julia Nelsen,under,0,3,5,6,2,1,0,0,0,0,0,0,0,0,0
CIV ENG,177,14165,001,Fdn Engrg Design,Richard Short,under,8,14,9,8,5,0,1,0,0,0,1,0,0,0,0
CHEM,3B,11399,002,Chem Struct React,Steven Pedersen,under,10,23,26,40,48,33,35,23,49,0,0,0,19,1,8
PHYSICS,7A,68672,002,Scient Engin Phys,Alex Zettl,under,3,53,8,35,38,11,18,27,8,2,0,0,5,4,4
COLWRIT,R1A,16421,005,College Writing 1a,Michelle Baptiste,under,0,1,3,2,1,3,2,0,0,0,0,0,0,0,0
PHYS ED,1,68114,038,Pe Activities,Russell Ahn,under,0,3,1,1,2,1,0,0,0,0,0,0,0,5,0
JAPAN,101,21117,001,Fourth-Yr:Soc Sci,Yasuko Baker,under,3,6,3,1,3,0,0,0,0,0,0,0,0,0,0
HISTORY,14,39192,001,Japan,Andrew Barshay,under,0,23,15,9,3,4,0,0,0,0,0,0,1,4,0
JAPAN,1A,21015,005,Elementary Japanese,Brendan Morley; Elizabeth Reade; Wakae Kambara,under,0,7,4,2,2,0,0,1,0,0,1,0,1,3,0
ENGLISH,R1A,27874,008,Reading And Comp,David Landreth; Matthew Langione,under,0,4,8,5,2,0,0,0,0,0,0,0,0,0,0
COLWRIT,R1A,16412,001,College Writing 1a,Caroline Cole,under,0,0,2,2,1,2,2,0,0,0,0,4,0,0,1
AMERSTD,191,02105,002,Senior Seminar,Justin Gomer,under,0,3,2,2,2,3,1,1,1,0,0,0,1,0,0
LINGUIS,121,52335,001,Logical Semantics,Michael Bochnak,under,3,7,5,5,2,0,5,0,0,0,1,0,1,1,0
UGBA,178,08518,001,Intro Internatl Bus,Daniel Himelstein,under,1,3,28,22,1,1,1,0,0,0,0,0,1,6,0
MATH,135,54264,001,Intro Theory Sets,Leo Harrington,under,0,5,1,4,0,1,2,9,0,0,0,0,2,3,1
THEATER,179,88219,001,Suprvsd Thtrcl Desn,Carol Smart,under,0,3,7,1,0,0,0,0,0,0,0,0,0,1,0
COMPSCI,161,26613,001,Computer Security,Justin Tygar,under,4,18,10,16,20,10,8,7,5,0,1,0,1,2,2
ENGLISH,45B,27973,001,Lit In English,Janet Sorensen,under,0,20,22,16,16,5,1,1,2,0,1,0,3,3,1
UGBA,155,08499,001,Leadership,Daniel Mulhern,under,0,22,10,4,8,4,1,1,0,0,0,0,0,4,0
CIV ENG,173,14150,001,"Groundwater,Seepage",Yoram Rubin,under,3,6,7,7,3,1,0,0,0,0,0,0,0,1,0
ENGLISH,R1A,27853,001,Reading And Comp,David Landreth; Kathryn Fleishman,under,0,1,0,6,8,1,1,0,0,0,0,0,0,0,0
COM LIT,R1B,17233,004,Engl Comp World Lit,Jordan Greenwald; Kathryn Crim; Michael Lucey,under,0,7,13,8,4,1,0,0,0,0,0,0,1,0,0
BIO ENG,147,06656,001,Prin Of Syn Bio,Adam Arkin,under,1,3,2,3,1,0,1,0,0,0,0,0,1,0,1
CHEM,103,11567,001,Inorg Chem Bio,Christopher Chang; Eva Nichols; Karla Ramos-Torres,under,2,18,15,9,7,9,4,3,4,0,0,0,0,3,0
SOCIOL,5,81663,001,Eval Of Evidence,Kristin Luker,under,4,52,63,31,40,9,6,2,3,1,1,1,5,2,1
JAPAN,1A,21009,003,Elementary Japanese,Elizabeth Reade; Noriko Wallace; Wakae Kambara,under,0,5,5,2,3,0,0,0,0,0,0,0,0,3,2
UGBA,122,08458,001,Fin Info Analysis,Francis Stanton,under,5,29,8,0,9,0,0,0,0,0,0,0,4,8,0
PHILOS,136,67298,001,Perception,Michael Martin,under,0,6,3,8,5,3,3,2,0,0,0,0,3,5,0
MATH,110,54180,001,Linear Algebra,David Nadler,under,14,42,46,32,33,25,24,13,10,0,9,0,2,16,11
NUSCTX,161A,64665,001,Med Nutr Therapy,Mikelle Mccoin,under,0,5,2,9,10,2,0,2,0,0,0,0,0,3,0
MATH,104,54171,004,Intro To Analysis,Gang Liu,under,3,5,7,7,7,0,4,2,2,0,0,0,0,0,0
FILM,180A,31714,001,Screenwriting,J Kopell,under,0,9,2,2,0,0,0,0,0,0,0,0,0,1,0
HISTORY,6A,39078,001,China: Early,Michael Nylan,under,1,21,4,3,1,0,0,0,1,0,0,0,0,3,2
MATH,191,54294,001,Exper Math,Alexander Givental,under,1,19,0,0,0,1,0,0,0,0,0,0,0,2,0
LD ARCH,111,48533,001,Plants In Design,Laura Jerrard,under,3,14,4,5,8,1,0,0,0,0,0,0,0,1,1
INTEGBI,154L,42300,001,Plant Ecology Lab,Andrew Weitz; David Ackerly; Dori Contreras,under,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0
SPANISH,25,86196,001,Read And Analysis,Dru Dougherty; Katherine Lambe,under,0,2,9,0,1,0,0,0,0,0,0,0,0,3,0
NUC ENG,92,64006,001,Iss Nuc Sci & Tech,Karl Van Bibber,under,3,3,7,6,3,2,2,0,1,1,0,0,0,4,0
ENGIN,117,27741,001,Meth Engr Analysis,Neal Snyderman,under,5,23,14,4,8,4,4,1,2,0,0,0,0,1,0
MUSIC,146B,60665,001,Balinese Gamelan,Benjamin Brinner,under,0,12,5,0,1,0,0,0,0,0,0,0,0,0,0
MUSIC,51,60455,001,Musicianship,Michael Orland,under,0,5,3,3,2,0,0,0,0,0,0,0,0,0,0
RHETOR,24,77856,001,Freshman Seminars,Daniel Melia,under,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0
ART,102,04405,002,Approaches To Ptng,Lordy Rodriguez,under,0,7,8,3,0,0,0,0,0,0,0,0,0,1,0
