Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
PLANTBI,C148,70519,001,Micro Genom And Gen,Daniel Barsky; N. Louise Glass,under,1,3,6,5,6,2,4,3,4,0,2,0,2,0,0
POL SCI,191,72558,008,Junior Seminar,Rodney Hero,under,0,0,6,1,4,1,1,1,0,0,0,0,0,2,0
PSYCH,101,73980,001,Res & Data Analysis,Christopher Gade,under,68,80,28,15,11,3,0,2,2,0,0,0,1,1,5
POL SCI,124C,71712,001,Int'L Ethics & Just,Amy Gurowitz,under,0,13,22,23,44,17,9,5,8,0,2,0,7,4,0
HISTORY,118C,39564,001,Japan: 20th Century,Andrew Barshay,under,0,8,8,2,2,1,1,0,1,0,0,0,0,1,0
ARCH,100B,03642,001,Fund Of Arch Design,Gerard Creedon,under,0,7,17,29,24,21,9,15,11,0,0,0,3,0,2
ENGLISH,R1B,27922,013,Reading And Comp,Bradford Taylor; David Landreth,under,0,4,4,3,2,1,1,0,0,0,0,0,0,0,0
MCELLBI,98,57656,002,Directed Group Stdy,David Presti; Julia Truong; Yang Lu,under,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1
MATH,172,54268,001,Combinatorics,Florian Block,under,5,4,3,3,7,5,3,2,1,0,2,0,0,3,1
HISTORY,C192,39744,001,History Of Info,Geoffrey Nunberg; Paul Duguid,under,1,0,4,1,1,1,1,0,1,1,0,0,0,5,0
JAPAN,159,21117,001,Contem Japanese Lit,Patrick Noonan,under,1,12,7,2,2,0,0,0,0,0,0,0,0,0,0
ETH STD,21AC,31021,001,Comp Surv Ethnic Gr,Victoria Robinson,under,1,19,14,3,21,7,3,0,0,0,0,0,1,9,1
PSYCH,C116,74027,001,Hormones & Behavior,Lance Kriegsfeld,under,1,17,4,9,4,2,1,3,2,1,2,0,2,3,10
RHETOR,104,77887,001,Historical Rhetoric,David Bates,under,0,1,2,4,1,1,1,0,1,0,0,0,1,1,0
JAPAN,1B,21015,005,Elementary Japanese,Brendan Morley; Christopher Gregory; Maki Takata; Wakae Kambara,under,1,5,1,1,3,0,1,0,0,0,0,1,0,2,0
MAT SCI,112,53242,001,Corrosi (Chem Prop),Thomas Devine,under,2,2,3,9,9,8,5,6,3,0,0,0,0,0,0
ENGLISH,R1A,27874,008,Reading And Comp,David Landreth; Jonathan Larner-Lewis,under,0,4,6,4,2,0,0,0,0,0,0,0,0,0,0
COLWRIT,R1A,16412,001,College Writing 1a,Caroline Cole,under,0,0,1,2,0,1,2,1,0,0,0,0,2,0,1
CLASSIC,163,14814,001,Topic Greek Philos,Anthony Long,under,2,5,8,6,2,0,0,2,0,0,0,0,0,3,0
GWS,14,32915,001,Gen Sex Rac Glo Pol,Ayse Agis,under,4,37,29,12,7,6,1,2,0,0,0,0,1,22,0
UGBA,157,08638,003,Spec Top Mors,Whitney Hischier,under,0,0,22,6,3,0,0,0,0,0,0,0,0,2,0
ARABIC,1B,62015,005,Elementary Arabic,Elsa Elmahdy,under,0,9,5,0,0,0,0,0,0,0,0,0,0,2,0
LINGUIS,R1B,52206,002,Endangered Language,Jennifer Johnson; Sharon Inkelas,under,0,7,3,3,4,0,0,0,0,0,0,0,0,0,0
RHETOR,121,77908,001,Rhetoric Of Fiction,Benjamin Lempert,under,0,4,7,5,0,1,0,0,0,0,0,0,1,0,0
JOURN,24,48003,001,Freshman Seminars,William Drummond,under,3,5,0,0,0,1,0,1,0,0,0,0,0,3,0
GWS,C146A,32969,001,Rep Sexuality/Lit,Jacqueline Asher,under,0,7,8,2,1,0,0,1,0,0,0,0,0,3,0
COMPSCI,70,26430,001,Discrete Math&Prob,Anant Sahai,under,6,102,46,48,55,56,36,24,23,9,4,6,4,1,9
ANTHRO,183,02705,001,Anthro Of Africa,Donald Moore,under,0,9,2,1,2,2,1,1,0,0,0,0,0,0,0
JAPAN,1B,21009,003,Elementary Japanese,Maki Takata; Michael Craig; Wakae Kambara,under,0,5,5,0,3,1,0,0,0,0,0,0,0,3,1
UGBA,167,08458,001,Spec Topics In Mkt,David Robinson,under,0,3,9,1,1,0,0,0,0,0,0,0,0,9,0
RHETOR,198,78067,002,Directed Group Stdy,Linda Williams,under,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
PORTUG,101B,86618,002,Port Adv Stdy-Wkshp,Catarina De Morais Gama,under,0,2,4,1,3,3,3,0,0,0,0,0,0,0,1
CHICANO,172,13368,001,Chicano & Educ Syst,Blas Guerrero,under,4,7,5,8,0,0,0,0,0,0,0,0,1,1,0
NUSCTX,121,64665,001,Computational Tox,Dale Johnson,under,0,32,11,2,2,0,0,0,0,0,0,0,0,0,0
COLWRIT,R1A,16427,006,College Writing 1a,John Levine,under,0,1,5,1,1,1,1,1,0,1,0,0,0,0,0
MUSIC,49C,60476,001,Harmony,Andrew Ly; David Pereira,under,0,3,1,2,2,5,2,1,0,0,0,0,0,1,0
DUTCH,166,38018,001,Anne Frank & After,Jeroen Dewulf,under,5,27,3,3,2,1,0,0,0,0,0,0,0,1,0
EPS,119,19069,001,Geologic Field Stud,Hans Wenk,under,0,7,12,3,0,0,0,0,0,0,0,0,0,0,0
PHILOS,132,67283,001,Philosophy Of Mind,John Searle,under,3,26,19,18,14,11,3,2,0,0,0,0,1,15,2
NUSCTX,145,64674,001,Nutr Edu Counseling,Mikelle Mccoin,under,6,13,1,0,3,0,0,0,0,0,0,0,0,0,0
PHYS ED,3,68174,005,Pe Activities,Lon Rork,under,0,9,3,2,1,0,0,0,0,0,0,0,0,18,1
