Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
POL SCI,W145A,13959,001,Poli Dev India,Nirvikar Jassal; Pradeep Chhibber,under,0,10,9,13,10,16,3,3,5,2,1,2,5,27,3
SPANISH,3,14013,001,Intermed Spanish,Carlos Macias Prieto; Miriam Hernandez-Rodriguez,under,0,0,3,1,0,2,1,0,0,0,0,0,0,3,0
MATH,N55,15646,004,Discrete Math,Joshua Hull; Richard Borcherds,under,3,3,3,3,3,3,3,2,4,0,0,0,0,1,1
IAS,196,13074,002,Special Research,Breanne Tcheng; Joan Kask; Kelvin Lawrence,under,1,5,4,2,0,0,0,0,0,0,0,0,0,44,0
SEASIAN,160,15530,001,Phil Cult Politics,Maria Barrios-Leblanc,under,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ISF,100A,13702,001,Soc Thry Cult Anlys,Amm Quamruzzaman,under,0,1,2,3,1,2,2,0,0,0,0,0,0,0,0
MATH,N53,15588,002,Multivar Calculus,Ryan Hass,under,3,9,2,4,3,3,0,2,2,0,3,0,3,2,1
MATH,128A,13809,002,Numerical Analysis,Chuyang Chen; Richard Borcherds,under,2,9,0,4,9,0,0,4,0,0,5,0,3,1,1
PSYCH,142,14227,001,App Early Dev Psych,Elena Luchkina,under,0,10,5,1,7,1,0,1,0,0,0,0,0,0,0
MATH,N54,15636,005,Lin Alg & Diff Eqns,Jeffrey Kuan; Richard Borcherds,under,4,10,4,9,2,4,1,3,1,0,0,0,0,0,0
COLWRIT,7D,13509,001,Food Culture,David Wiese; Margi Wald; Peter Vahle,under,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
PHYSICS,7A,13887,001,Scient Engin Phys,William Golightly,under,5,7,3,4,11,6,8,4,1,1,0,0,4,1,0
LINGUIS,146,14422,001,Lang Acquisition,Keith Johnson; Ruthe Foushee,under,2,6,8,7,2,4,0,1,0,0,0,0,0,1,0
UGBA,102A,13173,001A,Intro Fin Account,Torsor Kotee,under,2,3,3,5,5,2,1,0,0,0,0,0,0,2,0
ART,15,15321,001,Ceramics: Fdns,Ehren Tool,under,4,13,0,0,0,0,0,0,0,0,0,0,0,1,0
PSYCH,7,13968,001,Person In Big Data,Sara Gorchoff,under,31,69,27,9,4,1,2,0,0,0,0,0,0,4,0
SOCIOL,145,14221,001,Social Change,Dylan Riley,under,2,4,4,0,2,4,0,0,0,0,0,0,0,1,0
NUSCTX,10,14560,001,Intro Human Nutr,Casey Prince,under,1,11,2,2,13,3,5,2,6,1,2,0,1,7,0
