Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,10018,Todd Fitch,,Evening & Weekend MBA,290T,003,A,Letter Grade,A+,Spec Top Inn/Desgn
1,1,,,10024,Jennifer Chatman,,Evening & Weekend MBA,255,001,A,Letter Grade,A+,Leadership
1,1,,,10033,Denisse Halm Allois; Mathijs De Vaan,,Evening & Weekend MBA,205,32A,A,Letter Grade,A+,Leading People
1,1,,,10046,Clark Kellogg; David Rochlin,,Evening & Weekend MBA,290H,001,A,Letter Grade,A+,Haas@Work
1,1,,,10047,Lynne Heinrich,,Evening & Weekend MBA,292B,011,A,Letter Grade,A+,Nonprofit Boards
1,1,,,10051,Jonathan Leonard,,Evening & Weekend MBA,299,01B,A,Letter Grade,A+,Strat Leadership
1,2,,,10052,Jonathan Leonard,,Evening & Weekend MBA,299,02B,A,Letter Grade,A+,Strat Leadership
1,3,,,10054,Gregory La Blanc,,Evening & Weekend MBA,299,32B,A,Letter Grade,A+,Strat Leadership
1,13,,,10061,Shachar Kariv,,Evening & Weekend MBA,201A,01A,A,Letter Grade,A+,Microeconomics
1,9,,,10062,Shachar Kariv,,Evening & Weekend MBA,201A,02A,A,Letter Grade,A+,Microeconomics
1,4,,,10064,Maximilian Auffhammer,,Evening & Weekend MBA,201A,32A,A,Letter Grade,A+,Microeconomics
1,1,,,10085,Leif Nelson,,Evening & Weekend MBA,293,009,A,Letter Grade,A+,Individual Study
1,1,,,10087,Panos Patatoukas,,Evening & Weekend MBA,293,011,A,Letter Grade,A+,Individual Study
1,1,,,10108,Zsolt Katona,,Evening & Weekend MBA,206,31B,A,Letter Grade,A+,Market Org & Mgmt
1,3,,,10109,Zsolt Katona,,Evening & Weekend MBA,206,32B,A,Letter Grade,A+,Market Org & Mgmt
