Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,10436,Xavier Darzacq,,Molecular & Cell Biology,H196B,111,A,Letter Grade,A+,Honors Research
1,1,,,10437,Abby Dernburg,,Molecular & Cell Biology,H196B,112,A,Letter Grade,A+,Honors Research
1,1,,,10450,Jasper Rine,,Molecular & Cell Biology,H196B,365,A,Letter Grade,A+,Honors Research
1,1,,,10487,John Kuriyan,,Molecular & Cell Biology,H196B,253,A,Letter Grade,A+,Honors Research
1,1,,,10489,Jeremy Thorner,,Molecular & Cell Biology,H196B,445,A,Letter Grade,A+,Honors Research
1,2,,,11417,Jonathan Rittle,,Chemistry,196,051,A,Letter Grade,A+,Special Lab Study
1,1,,,11434,Teresa Head-Gordon,,Chemistry,196,068,A,Letter Grade,A+,Special Lab Study
1,1,,,11436,Anne Baranger,,Chemistry,196,070,A,Letter Grade,A+,Special Lab Study
1,1,,,11475,John Kuriyan,,Chemistry,196,032,A,Letter Grade,A+,Special Lab Study
1,2,,,11479,John Arnold; Maura Daly,,Chemistry,196,036,A,Letter Grade,A+,Special Lab Study
1,1,,,11603,Erica Rosenblum,,"Env Sci, Policy, & Mgmt",H196,070,A,Letter Grade,A+,Honors Research
1,1,,,11630,Wayne Getz,,"Env Sci, Policy, & Mgmt",H196,026,A,Letter Grade,A+,Honors Research
1,1,,,11649,Claudia Carr,,"Env Sci, Policy, & Mgmt",H196,014,A,Letter Grade,A+,Honors Research
1,1,,,11654,Damian Elias,,"Env Sci, Policy, & Mgmt",H196,019,A,Letter Grade,A+,Honors Research
1,1,,,11733,Daniel Nomura,,Chemistry,H194,045,A,Letter Grade,A+,Honors Research
1,2,,,11739,Jonathan Rittle,,Chemistry,H194,051,A,Letter Grade,A+,Honors Research
1,1,,,11751,Matthew Francis,,Chemistry,H194,012,A,Letter Grade,A+,Honors Research
1,1,,,11756,John Hartwig,,Chemistry,H194,017,A,Letter Grade,A+,Honors Research
1,2,,,11772,John Kuriyan,,Chemistry,H194,033,A,Letter Grade,A+,Honors Research
1,9,,,11777,John Arnold; Maura Daly,,Chemistry,H194,038,A,Letter Grade,A+,Honors Research
1,1,,,11782,T Tilley,,Chemistry,H194,056,A,Letter Grade,A+,Honors Research
1,1,,,11792,Ting Xu,,Chemistry,H194,066,A,Letter Grade,A+,Honors Research
1,1,,,11795,David Limmer,,Chemistry,H194,069,A,Letter Grade,A+,Honors Research
