Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,00503,Aparajita Nanda,,African American Studies,R1A,001,A,Letter Grade,A+,Fresh Composition
1,2,,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
1,2,,,00545,David Kyeu,,African American Studies,15B,001,A,Letter Grade,A+,Advanced Swahili
1,1,,,00551,Sam Mchombo,,African American Studies,30B,001,A,Letter Grade,A+,Elementary Chichewa
1,3,,,00617,Tianna Paschel,,African American Studies,112B,001,A,Letter Grade,A+,Pol/Eco Dev 3rd Wld
1,7,,,00625,Sam Mchombo,,African American Studies,115,001,A,Letter Grade,A+,Lang Soc Iss Africa
1,1,,,00638,Michel Laguerre,,African American Studies,131,001,A,Letter Grade,A+,"Carib Soc, Cultures"
1,2,,,00641,Jovan Lewis,,African American Studies,139,001,A,Letter Grade,A+,Sel Top:Africam Soc
1,4,,,00653,Darieck Scott,,African American Studies,152F,001,A,Letter Grade,A+,Neo-Slave Narrative
1,5,,,00656,Darieck Scott,,African American Studies,153C,001,A,Letter Grade,A+,Toni Morrision
1,1,,,00659,Aya De Leon,,African American Studies,156AC,001,A,Letter Grade,A+,Poetry 4 People:Int
1,1,,,00673,Cara Stanley,,African American Studies,159,001,A,Letter Grade,A+,Spec Top Afam Lit
1,6,,,01203,Gordon Rausser,,Environ Econ & Policy,C1,001,A,Letter Grade,A+,Intro To Env Econ
1,11,,,01218,Jeffrey Perloff,,Environ Econ & Policy,100,001,A,Letter Grade,A+,Microecon Theory
1,3,,,01278,Brian Wright,,Environ Econ & Policy,143,001,A,Letter Grade,A+,Econ Of Innovation
1,5,,,01281,Meredith Fowlie,,Environ Econ & Policy,147,001,A,Letter Grade,A+,Reg Of Energy & Env
1,1,,,01290,Benjamin Faber,,Environ Econ & Policy,C151,001,A,Letter Grade,A+,Economic Develop
1,1,,,01311,David Sunding,,Environ Econ & Policy,162,001,A,Letter Grade,A+,Econ Of Water Res
1,1,,,01323,Thibault Fally,,Environ Econ & Policy,C181,001,A,Letter Grade,A+,International Trade
1,3,,,02003,Christine Palmer; Kathleen Moran,,American Studies,10,001,A,Letter Grade,A+,Intro American Stdy
1,1,,,02018,Justin Gomer,,American Studies,10,002,A,Letter Grade,A+,Intro American Stdy
1,1,,,02024,Alex Saragoza,,American Studies,102,001,A,Letter Grade,A+,Us Cultures/Place
1,1,,,02102,Justin Gomer,,American Studies,H195,001,A,Letter Grade,A+,Honors Thesis
1,30,,,02303,Sabrina Agarwal,,Anthropology,1,001,A,Letter Grade,A+,Intro To Bio Anthro
1,14,,,02372,Jun Sunseri,,Anthropology,2AC,001,A,Letter Grade,A+,Intro Archaeology
1,46,,,02432,James Holston,,Anthropology,3AC,001,A,Letter Grade,A+,Intro Soc/Cult Ac
1,3,,,02528,Celise Chilcote; Corinne Hayden,,Anthropology,R5B,001,A,Letter Grade,A+,Reading & Comp
1,3,,,02531,Corinne Hayden; Michael D'Arcy,,Anthropology,R5B,002,A,Letter Grade,A+,Reading & Comp
1,2,,,02534,Corinne Hayden; Kirsten Vacca,,Anthropology,R5B,003,A,Letter Grade,A+,Reading & Comp
1,14,,,02542,Sabrina Agarwal,,Anthropology,84,002,A,Letter Grade,A+,Sophomore Seminar
1,1,,,02600,Timothy White,,Anthropology,C103,001,A,Letter Grade,A+,Intro Human Osteo
1,9,,,02606,Terrence Deacon,,Anthropology,111,001,A,Letter Grade,A+,Human Behavior
1,36,,,02612,Rosemary Joyce,,Anthropology,114,001,A,Letter Grade,A+,Hist/Anthro Thought
1,5,,,02668,Lisa Maher,,Anthropology,126M,001,A,Letter Grade,A+,Geoarchaeology
1,1,,,02678,Kent Lightfoot,,Anthropology,134,001,A,Letter Grade,A+,Anal Archaeo Record
1,16,,,02684,Laura Nader,,Anthropology,137,001,A,Letter Grade,A+,Energy/Cult/Soc Org
1,4,,,02693,Stefania Pandolfo,,Anthropology,149,001,A,Letter Grade,A+,Psychological Anth
1,8,,,02714,William Hanks,,Anthropology,179,001,A,Letter Grade,A+,The Maya
1,6,,,02716,Lawrence Cohen,,Anthropology,184,001,A,Letter Grade,A+,South Asia
1,6,,,02717,Corinne Hayden,,Anthropology,189,001,A,Letter Grade,A+,Spec Top:Soc/Cult
1,20,,,02719,Clara Mantini-Briggs,,Anthropology,189,002,A,Letter Grade,A+,Spec Top:Soc/Cult
1,3,,,02831,Laurie Wilkie,,Anthropology,H195B,017,A,Letter Grade,A+,Senior Honors
1,2,,,02857,Margaret Conkey,,Anthropology,H195B,026,A,Letter Grade,A+,Senior Honors
1,1,,,02860,Stefania Pandolfo,,Anthropology,196,002,A,Letter Grade,A+,Undergrad Sem
1,1,,,03753,William Atwood,,Architecture,11B,001,A,Letter Grade,A+,Intro To Design
1,1,,,03858,Sarah Hirschman,,Architecture,100D,003,A,Letter Grade,A+,Arch Design Iv
1,1,,,03861,Keith Plymale,,Architecture,100D,004,A,Letter Grade,A+,Arch Design Iv
1,1,,,03869,Rene Davids,,Architecture,109,001,A,Letter Grade,A+,Spec Top Arch Des
