Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,2,,,11039,Benjamin Mangan,,Business Admin-MBA,293,005,A,Letter Grade,A+,Individual Study
1,1,,,11043,Christine Parlour,,Business Admin-MBA,293,009,A,Letter Grade,A+,Individual Study
1,1,,,11047,Drew Jacoby-Senghor,,Business Admin-MBA,293,013,A,Letter Grade,A+,Individual Study
1,1,,,11073,Omri Even Tov,,Business Admin-MBA,293,039,A,Letter Grade,A+,Individual Study
1,1,,,11081,William Rosenzweig,,Business Admin-MBA,293,047,A,Letter Grade,A+,Individual Study
1,1,,,11083,Yaniv Konchitchki,,Business Admin-MBA,293,049,A,Letter Grade,A+,Individual Study
1,5,,,11505,Felix Fischer,,Chemistry,299,019,A,Letter Grade,A+,Research
1,1,,,11508,Phillip Geissler,,Chemistry,299,022,A,Letter Grade,A+,Research
1,2,,,11519,John Kuriyan,,Chemistry,299,033,A,Letter Grade,A+,Research
1,1,,,11524,Michael Marletta,,Chemistry,299,038,A,Letter Grade,A+,Research
1,1,,,11550,Ting Xu,,Chemistry,299,075,A,Letter Grade,A+,Research
1,2,,,11551,Omar Yaghi,,Chemistry,299,076,A,Letter Grade,A+,Research
1,2,,,11552,Teresa Head-Gordon,,Chemistry,299,077,A,Letter Grade,A+,Research
1,1,,,11556,Eran Rabani,,Chemistry,299,081,A,Letter Grade,A+,Research
1,1,,,11991,Justin Remais,,Public Health,299,005,A,Letter Grade,A+,Independnt Research
1,1,,,11993,S Hammond,,Public Health,299,007,A,Letter Grade,A+,Independnt Research
1,1,,,11994,Nina Holland,,Public Health,299,008,A,Letter Grade,A+,Independnt Research
1,1,,,12001,Patrick Bradshaw,,Public Health,299,015,A,Letter Grade,A+,Independnt Research
1,3,,,12002,John Colford,,Public Health,299,016,A,Letter Grade,A+,Independnt Research
1,1,,,12005,Arthur Reingold,,Public Health,299,019,A,Letter Grade,A+,Independnt Research
1,2,,,12009,John Marshall,,Public Health,299,023,A,Letter Grade,A+,Independnt Research
1,2,,,12020,Mark van der Laan,,Public Health,299,034,A,Letter Grade,A+,Independnt Research
1,1,,,12027,Kimberly MacPherson,,Public Health,299,041,A,Letter Grade,A+,Independnt Research
1,2,,,12030,Claire Snell-Rood,,Public Health,299,044,A,Letter Grade,A+,Independnt Research
1,1,,,12042,Kristine Madsen,,Public Health,299,056,A,Letter Grade,A+,Independnt Research
1,1,,,12044,Ndola Prata,,Public Health,299,058,A,Letter Grade,A+,Independnt Research
1,7,,,12050,Amani Allen,,Public Health,299,064,A,Letter Grade,A+,Independnt Research
1,2,,,12056,Veronica Miller,,Public Health,299,070,A,Letter Grade,A+,Independnt Research
1,1,,,12061,Charlotte Smith,,Public Health,299,075,A,Letter Grade,A+,Independnt Research
1,1,,,12064,Osagie Obasogie,,Public Health,299,078,A,Letter Grade,A+,Independnt Research
1,10,,,12333,Britt Koskella; Mary Power,,Integrative Biology,290,370,A,Letter Grade,A+,Research Seminar
1,6,,,12334,Bruce Baldwin; Carl Rothfels,,Integrative Biology,290,375,A,Letter Grade,A+,Research Seminar
1,1,,,12399,Dan-Virgil Voiculescu,,Mathematics,299,051,A,Letter Grade,A+,Reading Grad Stdts
1,2,,,12551,George Bentley,,Integrative Biology,298,050,A,Letter Grade,A+,Special Study
1,1,,,12553,Michael Boots,,Integrative Biology,298,065,A,Letter Grade,A+,Special Study
1,1,,,12555,George Brooks,,Integrative Biology,298,080,A,Letter Grade,A+,Special Study
1,1,,,12565,Robert Full,,Integrative Biology,298,170,A,Letter Grade,A+,Special Study
1,1,,,12684,Lin Lin,,Mathematics,295,022,A,Letter Grade,A+,Individual Research
1,1,,,12686,Antonio Montalban,,Mathematics,295,024,A,Letter Grade,A+,Individual Research
1,1,,,12709,Daniel Tataru,,Mathematics,295,047,A,Letter Grade,A+,Individual Research
1,2,,,13237,Ehud Isacoff,,Neuroscience,292,010,A,Letter Grade,A+,Neuroresearch
1,1,,,13241,William Jagust,,Neuroscience,292,014,A,Letter Grade,A+,Neuroresearch
1,1,,,13258,Daniela Kaufer,,Neuroscience,292,038,A,Letter Grade,A+,Neuroresearch
1,1,,,13259,Lance Kriegsfeld,,Neuroscience,292,040,A,Letter Grade,A+,Neuroresearch
1,1,,,13260,Jose Carmena,,Neuroscience,292,041,A,Letter Grade,A+,Neuroresearch
1,2,,,13265,Michael Yartsev,,Neuroscience,292,049,A,Letter Grade,A+,Neuroresearch
1,1,,,13266,Marla Feller,,Neuroscience,292,050,A,Letter Grade,A+,Neuroresearch
1,1,,,13271,Sonia Bishop,,Neuroscience,292,056,A,Letter Grade,A+,Neuroresearch
1,1,,,13279,Andrew Dillin,,Neuroscience,292,064,A,Letter Grade,A+,Neuroresearch
1,3,,,13280,Stephan Lammel,,Neuroscience,292,065,A,Letter Grade,A+,Neuroresearch
1,1,,,13384,Nitash Balsara,,Chemical Engineering,299,001,A,Letter Grade,A+,Research Chem Engin
1,1,,,13388,Teresa Head-Gordon,,Chemical Engineering,299,005,A,Letter Grade,A+,Research Chem Engin
1,1,,,13390,Alexander Katz,,Chemical Engineering,299,007,A,Letter Grade,A+,Research Chem Engin
1,1,,,13401,Berend Smit,,Chemical Engineering,299,018,A,Letter Grade,A+,Research Chem Engin
1,1,,,13434,Benjamin Mangan,,Evening & Weekend MBA,293,004,A,Letter Grade,A+,Individual Study
1,3,,,13439,Kurt Beyer,,Evening & Weekend MBA,293,009,A,Letter Grade,A+,Individual Study
1,1,,,13450,Kurt Beyer,,Evening & Weekend MBA,293,020,A,Letter Grade,A+,Individual Study
1,1,,,13451,Shachar Kariv,,Evening & Weekend MBA,293,021,A,Letter Grade,A+,Individual Study
1,3,,,13775,John Coates,,Plant & Microbial Biology,299,005,A,Letter Grade,A+,Graduate Research
1,1,,,13783,Britt Glaunsinger,,Plant & Microbial Biology,299,013,A,Letter Grade,A+,Graduate Research
1,2,,,13785,Jay Keasling,,Plant & Microbial Biology,299,016,A,Letter Grade,A+,Graduate Research
1,1,,,13787,Arash Komeili,,Plant & Microbial Biology,299,018,A,Letter Grade,A+,Graduate Research
1,1,,,13789,Steven Lindow,,Plant & Microbial Biology,299,020,A,Letter Grade,A+,Graduate Research
1,1,,,13799,Jennifer Lewis,,Plant & Microbial Biology,299,030,A,Letter Grade,A+,Graduate Research
1,2,,,13805,Mary Wildermuth,,Plant & Microbial Biology,299,036,A,Letter Grade,A+,Graduate Research
1,1,,,13807,Rachel Brem,,Plant & Microbial Biology,299,038,A,Letter Grade,A+,Graduate Research
1,1,,,13813,Randy Schekman,,Plant & Microbial Biology,299,044,A,Letter Grade,A+,Graduate Research
1,1,,,13919,Alexandre Bayen,,Engineering,296MB,001,A,Letter Grade,A+,Capstone Project
1,2,,,13920,Alexander Skabardonis,,Engineering,296MB,002,A,Letter Grade,A+,Capstone Project
1,5,,,13921,Alice Agogino,,Engineering,296MB,003,A,Letter Grade,A+,Capstone Project
1,2,,,13922,Alice Agogino; Philip Marcus,,Engineering,296MB,004,A,Letter Grade,A+,Capstone Project
1,3,,,13924,Allen Yang,,Engineering,296MB,006,A,Letter Grade,A+,Capstone Project
1,1,,,13927,Austin Roorda,,Engineering,296MB,009,A,Letter Grade,A+,Capstone Project
1,1,,,13929,Brian Barsky,,Engineering,296MB,011,A,Letter Grade,A+,Capstone Project
1,4,,,13931,Xiaodong Song,,Engineering,296MB,013,A,Letter Grade,A+,Capstone Project
1,1,,,13934,Gabriel Gomes,,Engineering,296MB,016,A,Letter Grade,A+,Capstone Project
1,1,,,13943,Junqiao Wu,,Engineering,296MB,025,A,Letter Grade,A+,Capstone Project
1,2,,,13944,Karl Van Bibber; Lee Bernstein,,Engineering,296MB,026,A,Letter Grade,A+,Capstone Project
1,3,,,13946,Koushil Sreenath,,Engineering,296MB,028,A,Letter Grade,A+,Capstone Project
1,4,,,13949,Lee Fleming,,Engineering,296MB,031,A,Letter Grade,A+,Capstone Project
1,1,,,13950,Lee Fleming,,Engineering,296MB,032,A,Letter Grade,A+,Capstone Project
1,5,,,13968,Syed Hossainy,,Engineering,296MB,050,A,Letter Grade,A+,Capstone Project
1,4,,,13972,Trevor Darrell,,Engineering,296MB,054,A,Letter Grade,A+,Capstone Project
1,4,,,13973,Wayne Delker,,Engineering,296MB,055,A,Letter Grade,A+,Capstone Project
1,2,,,14103,Ozlem Ayduk,,Psychology,299,001,A,Letter Grade,A+,Research
1,3,,,14104,Sonia Bishop,,Psychology,299,002,A,Letter Grade,A+,Research
1,2,,,14120,Oliver John,,Psychology,299,018,A,Letter Grade,A+,Research
1,1,,,14121,Sheri Johnson,,Psychology,299,019,A,Letter Grade,A+,Research
1,2,,,14125,Lance Kriegsfeld,,Psychology,299,023,A,Letter Grade,A+,Research
1,1,,,14134,Kevin Weiner,,Psychology,299,032,A,Letter Grade,A+,Research
1,1,,,14136,Matthew Walker,,Psychology,299,034,A,Letter Grade,A+,Research
1,3,,,14138,David Whitney,,Psychology,299,036,A,Letter Grade,A+,Research
1,2,,,14139,Linda Wilbrecht,,Psychology,299,037,A,Letter Grade,A+,Research
1,1,,,14143,Celeste Kidd,,Psychology,299,041,A,Letter Grade,A+,Research
1,2,,,14145,Jason Okonofua,,Psychology,299,043,A,Letter Grade,A+,Research
1,2,,,14146,Steven Piantadosi,,Psychology,299,044,A,Letter Grade,A+,Research
1,2,,,14449,Bin Yu,,Statistics,298,033,A,Letter Grade,A+,Directed Study
1,3,,,14540,Oliver John,,Psychology,298,015,A,Letter Grade,A+,Directed Study
1,1,,,14559,Celeste Kidd; Steven Piantadosi,,Psychology,298,039,A,Letter Grade,A+,Directed Study
1,1,,,14651,Fernando Perez,,Statistics,299,014,A,Letter Grade,A+,Research
1,2,,,14654,James Brown,,Statistics,299,017,A,Letter Grade,A+,Research
1,1,,,14663,Yun Song,,Statistics,299,026,A,Letter Grade,A+,Research
1,1,,,14667,Mark van der Laan,,Statistics,299,030,A,Letter Grade,A+,Research
1,1,,,14669,Martin Wainwright,,Statistics,299,032,A,Letter Grade,A+,Research
1,4,,,14670,Bin Yu,,Statistics,299,033,A,Letter Grade,A+,Research
1,2,,,14673,Peng Ding,,Statistics,299,036,A,Letter Grade,A+,Research
1,2,,,14674,Sabrina Agarwal,,Anthropology,298,001,A,Letter Grade,A+,Dir Read
1,2,,,14690,Seth Holmes,,Anthropology,298,017,A,Letter Grade,A+,Dir Read
1,4,,,14704,Lisa Maher,,Anthropology,298,034,A,Letter Grade,A+,Dir Read
1,1,,,14818,Suzanne Fleiszig,,Vision Science,299,009,A,Letter Grade,A+,Res Vision Science
1,2,,,14825,Dennis Levi,,Vision Science,299,017,A,Letter Grade,A+,Res Vision Science
1,1,,,14831,Karsten Gronert,,Vision Science,299,024,A,Letter Grade,A+,Res Vision Science
1,1,,,14838,Deborah Orel-Bixler,,Vision Science,299,031,A,Letter Grade,A+,Res Vision Science
1,2,,,14840,John Flannery,,Vision Science,299,033,A,Letter Grade,A+,Res Vision Science
1,1,,,14843,Sabrina Agarwal,,Anthropology,299,001,A,Letter Grade,A+,Directed Research
1,1,,,14846,Lawrence Cohen,,Anthropology,299,004,A,Letter Grade,A+,Directed Research
1,1,,,14859,Seth Holmes,,Anthropology,299,017,A,Letter Grade,A+,Directed Research
1,1,,,14863,Stefania Pandolfo,,Anthropology,299,021,A,Letter Grade,A+,Directed Research
1,1,,,14865,Nancy Scheper-Hughes,,Anthropology,299,023,A,Letter Grade,A+,Directed Research
1,3,,,14866,Laurie Wilkie,,Anthropology,299,024,A,Letter Grade,A+,Directed Research
1,4,,,14868,Jun Sunseri,,Anthropology,299,026,A,Letter Grade,A+,Directed Research
1,3,,,14873,Lisa Maher,,Anthropology,299,031,A,Letter Grade,A+,Directed Research
1,2,,,15100,Eveline Chang,,Social Welfare,296,007,A,Letter Grade,A+,Individual Study
1,1,,,15108,Erin Kerrison,,Social Welfare,296,019,A,Letter Grade,A+,Individual Study
