Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,2,,,12585,Sabrina Agarwal,,Anthropology,N299,029,A,Letter Grade,A+,Directed Research
1,1,,,13460,Mark Anderson,,Architecture,209,001,A,Letter Grade,A+,Spec Top Arch Des
1,3,,,19405,Susan Cheng,,Evening & Weekend MBA,231,011,A,Letter Grade,A+,Corp Finance
1,4,,,19415,Peter Goodson,,Evening & Weekend MBA,237,001,A,Letter Grade,A+,Topics In Finance
1,3,,,19903,Gregory La Blanc,,Executive MBA,200S,001,A,Letter Grade,A+,Data And Decisions
1,2,,,19904,Catherine Wolfram,,Executive MBA,201A,001,A,Letter Grade,A+,Managerial Econ
1,1,,,22960,Phillip Geissler,,Chemistry,N299,056,A,Letter Grade,A+,Research
1,3,,,32360,Haluk Ergin,,Economics,204,001,A,Letter Grade,A+,Math Tools For Econ
1,2,,,33390,Larry Nucci,,Education,211B,001,A,Letter Grade,A+,Soc & Enit Develop
1,2,,,33410,Verda Delp,,Education,249C,001,A,Letter Grade,A+,Foundations In Rdg
1,6,,,33465,P Pearson,,Education,298C,001,A,Letter Grade,A+,Group Study-Dcemst
1,2,,,33630,Nives Wetzel De Cediel,,Education,392C,001,A,Letter Grade,A+,Art In Elem Class
1,1,,,36135,Michel Maharbiz,,Electrical Engineering,299,035,A,Letter Grade,A+,Indiv Research
1,1,,,36290,Ana Arias,,Electrical Engineering,299,066,A,Letter Grade,A+,Indiv Research
1,2,,,44465,Ramon Grosfoguel,,Ethnic Studies Grad Group,299,011,A,Letter Grade,A+,Directed Reading
1,1,,,48105,Kamla Ahluwalia,,Health & Medical Sciences,201,001,A,Letter Grade,A+,Hum Anat & Develop
1,1,,,50815,Tyrone Hayes,,Integrative Biology,N298,007,A,Letter Grade,A+,Special Study
1,1,,,57610,Domingo Tavella,,Financial Engineering,230D,001,A,Letter Grade,A+,Deriv: Quant Meth
1,2,,,57615,Richard Stanton,,Financial Engineering,230I,001,A,Letter Grade,A+,Fixed Income Markts
1,1,,,67615,Diana Bautista,,Molecular & Cell Biology,N292,001,A,Letter Grade,A+,Research
1,1,,,67625,Lior Pachter,,Molecular & Cell Biology,N292,003,A,Letter Grade,A+,Research
1,1,,,67635,Polina Lishko,,Molecular & Cell Biology,N292,005,A,Letter Grade,A+,Research
