Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,10120,Aparajita Nanda,,African American Studies,R1B,002,A,Letter Grade,A+,Freshmn Composition
1,12,,,10130,Arif Gamal,,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
1,1,,,10150,Cara Stanley,,African American Studies,39D,001,A,Letter Grade,A+,Fresh/Soph Seminar
1,1,,,10170,Stephen Small,,African American Studies,W111,001,A,Letter Grade,A+,"Race, Class & Gen"
1,2,,,10180,Frederick Vincent,,African American Studies,139,001,A,Letter Grade,A+,Sel Top:Africam Soc
1,1,,,11518,Hertha Wong,,American Studies,110AC,002,A,Letter Grade,A+,Special Topics Ac
1,1,,,11535,Leigh Raiford,,American Studies,181B,001,A,Letter Grade,A+,Visual Culture
1,1,,,12105,Annelise Morris,,Anthropology,2AC,001,A,Letter Grade,A+,Intro Archaeology
1,1,,,12130,Mather George,,Anthropology,3AC,001,A,Letter Grade,A+,Intro Soc/Cult Ac
1,4,,,12170,Corinne Hayden; Katherine Chiou,,Anthropology,R5B,004,A,Letter Grade,A+,Reading & Comp
1,2,,,12185,Corinne Hayden; Jason Price,,Anthropology,R5B,007,A,Letter Grade,A+,Reading & Comp
1,2,,,12195,Christopher Ames,,Anthropology,112,001,A,Letter Grade,A+,Sp Topics: Bio Anth
1,9,,,12230,Kimberly Christensen,,Anthropology,129E,001,A,Letter Grade,A+,Household Arch
1,16,,,12245,Clara Mantini-Briggs,,Anthropology,189,001,A,Letter Grade,A+,Spec Top:Soc/Cult
1,4,,,13305,Mark Schatz,,Architecture,108,001,A,Letter Grade,A+,Arch Internship
1,3,,,13340,Brendon Levitt,,Architecture,149,001,A,Letter Grade,A+,Spec Top Erg Envir
1,2,,,14005,Tanja Geis,,Art Practice,8,001,A,Letter Grade,A+,Intro Vis Thinking
1,2,,,14015,Lee Lavy,,Art Practice,8,003,A,Letter Grade,A+,Intro Vis Thinking
1,8,,,14023,Leslie Dreyer,,Art Practice,8,005,A,Letter Grade,A+,Intro Vis Thinking
1,3,,,14025,Indira Morre,,Art Practice,12,001,A,Letter Grade,A+,Lang Of Draw
1,3,,,14030,Aida Gamez,,Art Practice,12,002,A,Letter Grade,A+,Lang Of Draw
1,4,,,14060,Jenifer Wofford,,Art Practice,119,001,A,Letter Grade,A+,Gpca
1,1,,,14605,Andrew Stewart; Kailani Polzak,,History of Art,R1B,001,A,Letter Grade,A+,Visual Experience
1,1,,,15205,Anna Leong; Mihiri Tillakaratne,,Asian American Studies,R2A,002,A,Letter Grade,A+,Reading&Composition
1,1,,,16310,Aaron Lee,,Astronomy,10,001,A,Letter Grade,A+,General Astronomy
1,2,,,17245,Dorian Liepmann,,Bioengineering,196,016,A,Letter Grade,A+,Hon Underg Des Res
1,1,,,18005,James Baxter; Mark Barnby; Michael Meighan,,Biology,1A,001,A,Letter Grade,A+,General Biology Lec
1,1,,,18025,James Baxter; Mark Barnby; Michael Meighan,,Biology,1AL,001,A,Letter Grade,A+,General Biology Lab
1,2,,,18060,Alan Shabel; Joshua Povich,,Biology,1B,001,A,Letter Grade,A+,General Biology
