CUNEIF,100A
CUNEIF,100B
LINGUIS,1A
LINGUIS,1B
LINGUIS,2A
ARABIC,1A
ARABIC,1B
ARABIC,15B
ARABIC,20A
ARABIC,20B
ARABIC,100A
ARABIC,100B
SEMITIC,100A
SEMITIC,100B
ARMENI,1A
ARMENI,1B
ARMENI,101A
ARMENI,101B
BANGLA,1A
BANGLA,1B
BANGLA,101A
BANGLA,101B
BOSCRSR,27A
BOSCRSR,27B
BOSCRSR,117A
BOSCRSR,117B
CELTIC,102A
CELTIC,102B
BULGARI,28A
BULGARI,28B
BULGARI,118A
BULGARI,118B
CATALAN,101
AFRICAM,30A
AFRICAM,30B
AFRICAM,31A
AFRICAM,31B
CHINESE,1A
CHINESE,1B
CHINESE,1X
CHINESE,1Y
CHINESE,10A
CHINESE,10B
CHINESE,10X
CHINESE,10Y
CHINESE,100A
CHINESE,100B
CHINESE,100XA
CHINESE,100XB
CHINESE,111
CHINESE,112
EGYPT,102A
EGYPT,102B
CZECH,26A
CZECH,26B
CZECH,116A
CZECH,116B
DANISH,1A
DANISH,1B
DUTCH,1
DUTCH,2
DUTCH,110
DUTCH,125
EGYPT,100A
EGYPT,100B
EGYPT,101A
EGYPT,101B
FILIPN,1A
FILIPN,1B
FILIPN,100A
FILIPN,100B
FILIPN,101A
FILIPN,101B
S,SEASN,100A
S,SEASN,100B
FINNISH,1A
FINNISH,1B
FINNISH,102A
FINNISH,102B
FRENCH,1
FRENCH,2
FRENCH,3
FRENCH,4
FRENCH,13
FRENCH,14
FRENCH,35
FRENCH,102
FRENCH,138
GERMAN,1
GERMAN,1E
GERMAN,2
GERMAN,3
GERMAN,4
GERMAN,40
GERMAN,101
GERMAN,102A
GERMAN,102D
GERMAN,105
GERMAN,172
GREEK,1
GREEK,2
GREEK,10
GREEK,40
COM LIT,112A
COM LIT,112B
HEBREW,1A
HEBREW,1B
HEBREW,20A
HEBREW,20B
HEBREW,100A
HEBREW,100B
HIN-URD,1A
HIN-URD,1B
HIN-URD,100A
HIN-URD,100B
CUNEIF,106A
CUNEIF,106B
HUNGARI,1A
HUNGARI,1B
ICELAND,1A
ICELAND,1B
MALAY/I,1A
MALAY/I,1B
MALAY/I,100A
MALAY/I,100B
CELTIC,15
CELTIC,85
CELTIC,105A
CELTIC,145A
CELTIC,145B
ITALIAN,1
ITALIAN,2
ITALIAN,3
ITALIAN,4
ITALIAN,12
ITALIAN,101A
ITALIAN,101B
JAPAN,1A
JAPAN,1B
JAPAN,10A
JAPAN,10B
JAPAN,10X
JAPAN,100A
JAPAN,100B
JAPAN,100X
KHMER,1A
KHMER,1B
KHMER,100A
KHMER,100B
KHMER,101A
KHMER,101B
KOREAN,1A
KOREAN,1AX
KOREAN,1B
KOREAN,1BX
KOREAN,10A
KOREAN,10B
KOREAN,10BX
KOREAN,100A
KOREAN,100AX
KOREAN,100B
KOREAN,100BX
KOREAN,111
KOREAN,112
LATIN,1
LATIN,2
LATIN,10
LATIN,40
MONGOLN,1A
MONGOLN,1B
SCANDIN,101A
SCANDIN,101B
NORWEGN,1A
NORWEGN,1B
IRANIAN,110A
PERSIAN,1A
PERSIAN,1B
PERSIAN,11A
PERSIAN,11B
PERSIAN,100A
PERSIAN,100B
POLISH,25A
POLISH,25B
POLISH,115A
POLISH,115B
PORTUG,101A
PORTUG,101B
PORTUG,103
PUNJABI,1A
PUNJABI,1B
PUNJABI,100A
PUNJABI,100B
ROMANI,1A
ROMANI,1B
ROMANI,102A
ROMANI,102B
RUSSIAN,1
RUSSIAN,2
RUSSIAN,3
RUSSIAN,4
RUSSIAN,6A
RUSSIAN,6B
RUSSIAN,101
RUSSIAN,103A
RUSSIAN,103B
RUSSIAN,106A
RUSSIAN,106B
RUSSIAN,109
RUSSIAN,120A
RUSSIAN,120B
SANSKR,100A
SANSKR,100B
SANSKR,101A
SANSKR,101B
SPANISH,1
SPANISH,2
SPANISH,3
SPANISH,4
SPANISH,21
SPANISH,22
SPANISH,102A
CUNEIF,102A
CUNEIF,102B
SWEDISH,1A
SWEDISH,1B
SCANDIN,100A
SCANDIN,100B
AFRICAM,10A
AFRICAM,10B
AFRICAM,11A
AFRICAM,11B
AFRICAM,15A
AFRICAM,15B
TAMIL,1A
TAMIL,1B
TAMIL,101A
TAMIL,101B
S,SEASN,1A
S,SEASN,1B
TELUGU,1A
TELUGU,1B
THAI,1A
THAI,1B
THAI,100A
THAI,100B
THAI,101A
THAI,101B
TIBETAN,1A
TIBETAN,1B
TIBETAN,10A
TIBETAN,10B
TURKISH,1A
TURKISH,1B
TURKISH,100A
TURKISH,100B
HIN-URD,2A
HIN-URD,2B
HIN-URD,103A
HIN-URD,103B
HIN-URD,104A
HIN-URD,104B
VIETNMS,1A
VIETNMS,1B
VIETNMS,100A
VIETNMS,100B
VIETNMS,101A
VIETNMS,101B
CELTIC,16
CELTIC,86
CELTIC,144A
CELTIC,144B
CELTIC,146A
CELTIC,146B
AFRICAM,7A
AFRICAM,7B
AFRICAM,8A
AFRICAM,8B
AFRICAM,9A
AFRICAM,9B
YIDDISH,101
YIDDISH,102
AFRICAM,13A
AFRICAM,13B
AFRICAM,14A
AFRICAM,14B
AFRICAM,19A
AFRICAM,19B
JEWISH,101
PERSIAN,20A
PERSIAN,20B
SPANISH,12
SPANISH,26
SPANISH,8
KOREAN,10AX
GERMAN,102
GERMAN,110
POLISH,155B
SANSKR,101C
TURKISH,10A
HEBREW,106A
HEBREW,106B
ITALIAN,1S
CATALAN,102
CUNEIF,200A
CUNEIF,200B
PORTUG,102
PORTUG,11
PORTUG,12
PORTUG,26
PORTUG,8
BERMESE,1A
BERMESE,1B
SEMETIC,100A
SEMETIC,100B
SEMETIC,205A
SEMETIC,205B
